t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 433, 150, 425, 150, 417, 149, 419, 150, 424, 150, 425, 
10, 150, 433, 150, 425, 149, 417, 149, 419, 150, 425, 150, 425, 
15, 150, 433, 149, 425, 149, 417, 149, 419, 150, 424, 150, 425, 
20, 150, 433, 150, 425, 150, 417, 150, 419, 150, 425, 150, 425, 
25, 150, 432, 150, 425, 149, 417, 149, 419, 150, 425, 150, 425, 
30, 150, 433, 150, 424, 149, 417, 149, 419, 150, 424, 150, 425, 
35, 150, 429, 150, 420, 149, 413, 149, 414, 150, 421, 150, 422, 
40, 150, 426, 150, 417, 150, 411, 150, 414, 150, 419, 150, 421, 
45, 150, 424, 150, 416, 149, 410, 149, 412, 150, 418, 150, 420, 
50, 150, 422, 150, 414, 149, 405, 149, 407, 150, 413, 150, 417, 
55, 150, 419, 150, 411, 150, 404, 149, 406, 150, 412, 150, 415, 
60, 150, 416, 150, 409, 149, 403, 149, 405, 150, 411, 150, 413, 
65, 150, 415, 150, 407, 149, 401, 150, 404, 150, 410, 149, 411, 
70, 150, 415, 150, 407, 150, 400, 150, 402, 150, 410, 150, 412, 
75, 150, 415, 150, 407, 149, 400, 149, 401, 150, 411, 148, 407, 
80, 150, 415, 150, 408, 149, 400, 149, 401, 150, 410, 150, 410, 
85, 150, 415, 150, 407, 150, 400, 150, 401, 150, 410, 150, 409, 
90, 150, 414, 150, 407, 149, 399, 149, 401, 150, 409, 150, 409, 
95, 150, 414, 150, 407, 149, 399, 150, 400, 150, 409, 150, 409, 
100, 150, 414, 150, 407, 149, 399, 150, 400, 150, 408, 150, 409, 
105, 150, 414, 150, 406, 149, 398, 150, 399, 150, 408, 150, 408, 
110, 150, 413, 150, 406, 149, 398, 149, 399, 150, 407, 150, 408, 
115, 150, 412, 150, 406, 149, 397, 149, 398, 150, 407, 150, 408, 
120, 150, 413, 150, 406, 149, 397, 150, 398, 150, 406, 150, 408, 
125, 150, 413, 150, 407, 149, 397, 149, 398, 150, 406, 150, 408, 
130, 150, 413, 150, 406, 149, 397, 149, 397, 150, 405, 150, 407, 
135, 150, 413, 150, 407, 149, 397, 150, 397, 150, 405, 150, 407, 
140, 150, 413, 150, 407, 149, 397, 149, 397, 150, 405, 150, 407, 
145, 150, 414, 150, 407, 149, 397, 149, 397, 150, 405, 150, 407, 
150, 150, 414, 150, 406, 149, 398, 150, 397, 150, 405, 150, 406, 
155, 150, 414, 150, 406, 149, 398, 149, 397, 150, 405, 150, 406, 
160, 150, 414, 150, 406, 150, 398, 150, 397, 150, 405, 150, 407, 
165, 150, 414, 150, 406, 149, 399, 149, 397, 150, 406, 149, 406, 
170, 150, 414, 150, 406, 149, 399, 149, 398, 150, 406, 150, 407, 
175, 150, 414, 150, 406, 149, 399, 150, 398, 150, 406, 150, 407, 
180, 150, 414, 150, 406, 149, 400, 149, 398, 150, 407, 150, 407, 
185, 150, 414, 150, 406, 149, 400, 150, 399, 150, 408, 150, 407, 
190, 150, 413, 150, 406, 149, 400, 149, 399, 150, 407, 150, 409, 
195, 150, 413, 150, 406, 150, 400, 149, 399, 150, 407, 149, 406, 
200, 150, 413, 150, 406, 149, 400, 149, 400, 150, 408, 150, 408, 
205, 150, 413, 150, 406, 149, 400, 149, 400, 150, 408, 150, 408, 
210, 150, 413, 150, 405, 149, 400, 149, 400, 150, 409, 150, 409, 
215, 150, 413, 150, 405, 149, 400, 149, 400, 150, 408, 149, 407, 
220, 150, 413, 150, 405, 150, 401, 149, 401, 150, 409, 150, 409, 
225, 150, 412, 150, 405, 149, 400, 150, 401, 150, 408, 150, 409, 
230, 150, 412, 150, 405, 150, 400, 149, 402, 150, 408, 150, 410, 
235, 150, 412, 150, 405, 150, 401, 150, 402, 150, 408, 149, 410, 
240, 150, 412, 150, 404, 149, 400, 150, 401, 150, 408, 150, 410, 
245, 150, 411, 150, 404, 149, 400, 150, 401, 150, 408, 149, 410, 
250, 150, 411, 150, 404, 149, 400, 150, 401, 150, 409, 150, 411, 
255, 150, 411, 150, 404, 149, 400, 149, 401, 150, 408, 149, 410, 
260, 150, 411, 150, 404, 149, 400, 149, 401, 150, 408, 150, 410, 
265, 150, 410, 150, 404, 149, 400, 149, 401, 150, 407, 150, 410, 
270, 150, 410, 150, 403, 149, 400, 149, 400, 150, 407, 150, 411, 
275, 150, 410, 150, 403, 149, 400, 150, 400, 150, 407, 150, 410, 
280, 150, 410, 150, 403, 149, 399, 149, 400, 150, 407, 150, 410, 
285, 150, 409, 150, 403, 149, 399, 150, 400, 150, 407, 150, 410, 
290, 150, 409, 150, 403, 149, 399, 149, 400, 150, 406, 150, 412, 
295, 150, 409, 150, 403, 150, 399, 149, 400, 150, 406, 150, 410, 
300, 150, 409, 150, 402, 150, 399, 150, 399, 150, 406, 150, 410, 
305, 150, 409, 150, 402, 149, 399, 149, 399, 150, 406, 150, 410, 
310, 150, 409, 150, 402, 149, 398, 149, 399, 150, 406, 150, 410, 
315, 150, 409, 150, 402, 149, 398, 149, 399, 150, 406, 150, 410, 
320, 150, 409, 150, 402, 149, 398, 149, 399, 150, 405, 150, 409, 
325, 150, 408, 150, 402, 149, 398, 149, 399, 150, 406, 150, 409, 
330, 150, 408, 150, 401, 149, 398, 149, 399, 150, 405, 150, 409, 
