t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 451, 150, 439, 149, 444, 149, 446, 150, 444, 150, 441, 
10, 149, 451, 150, 439, 149, 444, 149, 446, 150, 444, 150, 441, 
15, 150, 451, 150, 439, 149, 443, 149, 446, 150, 443, 150, 441, 
20, 150, 451, 150, 439, 150, 444, 149, 446, 150, 443, 150, 440, 
25, 150, 451, 150, 438, 149, 443, 149, 446, 150, 444, 150, 440, 
30, 150, 451, 150, 439, 149, 443, 149, 446, 150, 443, 150, 442, 
35, 150, 450, 150, 437, 149, 442, 149, 444, 150, 442, 150, 439, 
40, 150, 447, 149, 434, 149, 438, 149, 443, 149, 437, 150, 437, 
45, 150, 444, 150, 434, 149, 439, 150, 442, 150, 437, 150, 436, 
50, 150, 442, 150, 432, 149, 437, 150, 440, 150, 435, 150, 433, 
55, 150, 440, 150, 431, 149, 435, 149, 439, 150, 435, 150, 431, 
60, 150, 440, 150, 430, 149, 435, 149, 439, 150, 434, 150, 430, 
65, 150, 440, 150, 430, 149, 435, 149, 438, 150, 434, 150, 429, 
70, 150, 439, 150, 430, 150, 435, 149, 438, 150, 434, 150, 430, 
75, 150, 440, 150, 429, 149, 435, 149, 438, 150, 434, 150, 430, 
80, 150, 439, 150, 429, 149, 435, 149, 437, 150, 433, 150, 430, 
85, 150, 439, 150, 429, 150, 435, 149, 436, 150, 433, 150, 430, 
90, 150, 438, 150, 429, 149, 435, 149, 436, 150, 432, 150, 430, 
95, 150, 438, 150, 430, 150, 435, 149, 435, 150, 432, 150, 429, 
100, 150, 437, 150, 430, 150, 434, 149, 435, 150, 431, 150, 428, 
105, 150, 437, 150, 430, 149, 434, 149, 434, 150, 431, 149, 427, 
110, 150, 436, 150, 430, 150, 434, 150, 433, 150, 430, 149, 426, 
115, 150, 435, 150, 429, 150, 433, 150, 432, 150, 429, 150, 425, 
120, 150, 434, 150, 429, 149, 433, 150, 432, 150, 429, 150, 425, 
125, 150, 434, 150, 428, 150, 433, 149, 432, 150, 429, 150, 424, 
130, 150, 433, 150, 427, 149, 432, 149, 431, 150, 428, 150, 423, 
135, 150, 432, 150, 428, 150, 432, 149, 431, 150, 428, 148, 420, 
140, 150, 432, 150, 426, 149, 432, 149, 431, 150, 428, 150, 422, 
145, 150, 432, 149, 425, 150, 433, 150, 431, 150, 427, 150, 422, 
150, 150, 432, 150, 426, 149, 432, 150, 431, 150, 427, 150, 422, 
155, 150, 433, 150, 425, 150, 432, 149, 430, 150, 427, 150, 421, 
160, 150, 431, 150, 424, 150, 432, 149, 430, 150, 427, 150, 421, 
165, 150, 431, 150, 424, 149, 431, 149, 430, 150, 427, 150, 420, 
170, 150, 430, 150, 422, 150, 431, 149, 429, 150, 427, 150, 420, 
175, 150, 430, 150, 422, 149, 431, 149, 429, 150, 427, 150, 420, 
180, 150, 430, 150, 421, 149, 430, 149, 429, 150, 427, 150, 419, 
185, 150, 430, 150, 420, 149, 429, 149, 428, 150, 426, 150, 419, 
190, 150, 430, 150, 420, 149, 429, 149, 428, 150, 426, 150, 419, 
195, 150, 430, 150, 419, 149, 429, 149, 428, 150, 426, 150, 419, 
200, 150, 430, 150, 419, 149, 428, 149, 429, 150, 426, 149, 419, 
205, 150, 430, 150, 418, 149, 428, 149, 428, 150, 426, 150, 419, 
210, 150, 430, 150, 417, 149, 428, 149, 428, 150, 425, 150, 419, 
215, 150, 430, 150, 417, 149, 427, 149, 428, 150, 425, 150, 419, 
220, 150, 430, 150, 416, 149, 427, 149, 428, 150, 425, 149, 419, 
225, 150, 430, 150, 416, 150, 427, 149, 428, 150, 425, 150, 419, 
230, 150, 430, 149, 415, 149, 426, 149, 427, 150, 424, 150, 420, 
235, 150, 430, 150, 415, 149, 425, 149, 427, 150, 424, 149, 416, 
240, 150, 430, 150, 414, 150, 425, 149, 427, 150, 424, 150, 419, 
245, 150, 430, 149, 413, 149, 425, 149, 427, 150, 424, 150, 420, 
250, 150, 430, 150, 413, 149, 424, 149, 427, 150, 423, 150, 418, 
255, 150, 430, 149, 413, 150, 424, 149, 426, 150, 423, 150, 418, 
260, 150, 430, 150, 413, 149, 423, 149, 427, 150, 423, 150, 420, 
265, 150, 430, 150, 412, 149, 423, 149, 426, 150, 422, 150, 418, 
270, 150, 430, 149, 410, 149, 422, 149, 426, 150, 422, 150, 417, 
275, 149, 427, 149, 411, 149, 420, 150, 426, 150, 422, 150, 417, 
280, 149, 429, 150, 410, 149, 421, 149, 426, 150, 422, 150, 417, 
285, 150, 430, 150, 410, 150, 422, 149, 425, 150, 421, 150, 417, 
290, 150, 430, 150, 409, 149, 418, 149, 425, 150, 421, 150, 416, 
295, 150, 430, 149, 408, 149, 418, 149, 425, 150, 421, 150, 416, 
300, 150, 429, 150, 408, 149, 419, 150, 424, 150, 421, 150, 416, 
305, 150, 429, 150, 408, 150, 418, 149, 424, 150, 421, 150, 415, 
310, 150, 430, 150, 407, 149, 418, 149, 424, 150, 421, 150, 415, 
315, 150, 429, 150, 406, 150, 417, 149, 424, 150, 421, 150, 415, 
320, 150, 429, 150, 405, 150, 417, 149, 424, 150, 420, 150, 415, 
325, 150, 429, 150, 405, 149, 416, 149, 423, 150, 420, 149, 413, 
330, 150, 429, 150, 405, 149, 415, 149, 423, 150, 420, 150, 414, 
