t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 452, 150, 436, 149, 429, 150, 429, 150, 436, 150, 443, 
10, 150, 452, 150, 436, 150, 429, 149, 429, 150, 437, 150, 444, 
15, 150, 451, 150, 436, 149, 429, 149, 429, 150, 437, 150, 443, 
20, 150, 451, 150, 436, 150, 431, 149, 429, 150, 439, 150, 443, 
25, 150, 451, 150, 435, 149, 428, 149, 428, 150, 437, 149, 443, 
30, 150, 451, 149, 434, 149, 428, 149, 428, 150, 437, 150, 443, 
35, 150, 451, 149, 434, 149, 428, 150, 428, 150, 437, 150, 443, 
40, 150, 451, 149, 433, 149, 428, 149, 428, 150, 437, 150, 442, 
45, 150, 450, 150, 435, 150, 428, 150, 428, 150, 437, 150, 442, 
50, 150, 450, 150, 434, 149, 428, 149, 428, 150, 437, 150, 442, 
55, 150, 450, 150, 435, 149, 427, 149, 428, 150, 437, 150, 442, 
60, 150, 450, 150, 435, 149, 427, 149, 427, 150, 436, 150, 441, 
65, 150, 450, 150, 435, 149, 427, 149, 427, 150, 436, 150, 441, 
70, 150, 450, 150, 434, 150, 426, 150, 426, 150, 435, 150, 441, 
75, 150, 449, 150, 434, 149, 425, 149, 425, 150, 435, 150, 440, 
80, 150, 449, 150, 434, 149, 425, 149, 424, 150, 434, 149, 441, 
85, 149, 448, 150, 434, 150, 426, 150, 425, 150, 433, 149, 441, 
90, 150, 449, 150, 435, 149, 426, 149, 423, 150, 431, 150, 440, 
95, 150, 449, 150, 434, 150, 427, 149, 423, 150, 430, 150, 439, 
100, 150, 448, 150, 435, 149, 428, 150, 423, 150, 431, 151, 445, 
105, 150, 448, 150, 435, 149, 428, 150, 423, 150, 432, 150, 442, 
110, 150, 448, 150, 434, 149, 428, 149, 424, 150, 432, 151, 445, 
115, 150, 446, 150, 434, 149, 427, 149, 425, 150, 433, 149, 441, 
120, 150, 446, 150, 434, 149, 427, 149, 425, 150, 434, 150, 445, 
125, 150, 445, 150, 433, 150, 427, 149, 426, 150, 435, 150, 443, 
130, 150, 445, 150, 432, 149, 428, 149, 427, 150, 437, 151, 448, 
135, 149, 443, 150, 431, 150, 429, 149, 428, 150, 438, 149, 443, 
140, 150, 444, 150, 430, 149, 426, 149, 427, 150, 435, 150, 443, 
145, 150, 444, 150, 430, 149, 420, 149, 422, 150, 428, 150, 439, 
150, 150, 443, 150, 429, 149, 414, 149, 419, 150, 424, 151, 437, 
155, 150, 443, 150, 428, 149, 410, 150, 417, 150, 421, 150, 431, 
160, 150, 442, 150, 427, 149, 408, 149, 415, 150, 420, 150, 428, 
165, 150, 441, 150, 426, 149, 408, 149, 414, 150, 419, 150, 426, 
170, 150, 441, 150, 425, 149, 409, 149, 413, 150, 419, 150, 426, 
175, 150, 440, 150, 424, 149, 410, 150, 413, 150, 419, 150, 426, 
180, 150, 440, 150, 424, 149, 410, 149, 412, 150, 418, 150, 427, 
185, 150, 439, 150, 423, 149, 409, 149, 411, 150, 417, 150, 428, 
190, 150, 439, 150, 423, 149, 409, 149, 411, 150, 416, 150, 429, 
195, 150, 439, 150, 423, 150, 409, 149, 411, 150, 415, 149, 430, 
200, 150, 439, 150, 423, 150, 409, 149, 411, 150, 415, 150, 430, 
205, 150, 438, 150, 422, 150, 409, 150, 411, 150, 414, 150, 430, 
210, 150, 438, 150, 422, 150, 408, 150, 411, 150, 414, 150, 431, 
215, 150, 437, 150, 422, 149, 408, 149, 411, 150, 413, 150, 430, 
220, 150, 437, 150, 421, 149, 408, 149, 410, 150, 413, 150, 430, 
225, 150, 436, 150, 421, 149, 409, 149, 410, 150, 413, 150, 431, 
230, 150, 436, 150, 420, 149, 409, 149, 409, 150, 413, 150, 430, 
235, 150, 435, 150, 420, 149, 409, 149, 409, 150, 412, 150, 430, 
240, 150, 435, 150, 419, 149, 409, 149, 408, 150, 412, 150, 429, 
245, 150, 435, 150, 419, 150, 410, 150, 408, 150, 411, 149, 426, 
250, 150, 434, 150, 418, 150, 410, 150, 407, 150, 411, 150, 428, 
255, 149, 434, 150, 418, 149, 410, 149, 406, 150, 411, 150, 428, 
260, 150, 434, 150, 418, 150, 411, 149, 405, 150, 410, 150, 427, 
265, 150, 433, 150, 417, 149, 410, 149, 405, 150, 410, 150, 429, 
270, 150, 433, 150, 417, 150, 411, 150, 404, 150, 410, 150, 426, 
275, 150, 433, 150, 416, 150, 411, 150, 403, 150, 410, 150, 425, 
280, 150, 432, 150, 416, 149, 411, 149, 403, 150, 409, 150, 425, 
285, 150, 432, 150, 415, 150, 411, 149, 402, 150, 409, 150, 424, 
290, 150, 432, 150, 415, 149, 411, 150, 403, 150, 409, 150, 424, 
295, 150, 432, 150, 414, 149, 411, 150, 402, 150, 409, 150, 423, 
300, 150, 431, 150, 414, 149, 411, 150, 400, 150, 408, 150, 422, 
305, 150, 431, 150, 413, 149, 410, 149, 400, 150, 408, 150, 421, 
310, 150, 431, 150, 412, 149, 410, 149, 399, 150, 408, 150, 420, 
315, 150, 430, 150, 412, 150, 410, 149, 399, 150, 408, 150, 419, 
320, 150, 430, 150, 411, 149, 410, 150, 398, 150, 407, 149, 419, 
325, 150, 430, 150, 411, 149, 410, 150, 398, 150, 408, 150, 419, 
330, 150, 429, 150, 410, 149, 409, 149, 398, 150, 407, 150, 418, 
