t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 415, 150, 412, 149, 404, 149, 418, 150, 412, 150, 412, 
10, 150, 419, 150, 415, 149, 407, 149, 421, 150, 414, 150, 413, 
15, 149, 419, 150, 417, 149, 409, 149, 423, 150, 415, 150, 413, 
20, 150, 422, 150, 418, 149, 410, 149, 423, 150, 415, 150, 413, 
25, 150, 422, 150, 418, 150, 410, 149, 423, 150, 416, 150, 413, 
30, 150, 423, 150, 419, 150, 410, 149, 423, 150, 416, 150, 413, 
35, 150, 424, 150, 419, 149, 411, 150, 424, 150, 416, 150, 413, 
40, 150, 421, 150, 418, 150, 409, 149, 423, 150, 414, 150, 411, 
45, 150, 421, 150, 419, 149, 410, 150, 423, 150, 416, 150, 413, 
50, 150, 421, 150, 418, 149, 409, 149, 423, 149, 416, 150, 412, 
55, 150, 420, 150, 418, 150, 409, 149, 423, 150, 416, 150, 411, 
60, 149, 419, 150, 417, 149, 409, 149, 422, 150, 416, 150, 411, 
65, 150, 418, 150, 416, 149, 408, 150, 421, 150, 415, 150, 410, 
70, 150, 417, 150, 415, 149, 407, 149, 420, 150, 415, 150, 410, 
75, 150, 417, 150, 414, 149, 407, 149, 418, 150, 414, 150, 409, 
80, 150, 416, 150, 413, 149, 407, 150, 418, 150, 413, 150, 409, 
85, 150, 416, 150, 412, 150, 407, 149, 417, 150, 413, 150, 408, 
90, 150, 417, 150, 411, 150, 406, 149, 417, 150, 411, 150, 408, 
95, 150, 417, 150, 411, 149, 405, 149, 417, 150, 411, 150, 407, 
100, 150, 418, 150, 411, 149, 404, 150, 418, 150, 410, 150, 407, 
105, 150, 419, 150, 412, 149, 403, 149, 418, 150, 410, 150, 407, 
110, 150, 420, 150, 412, 149, 403, 149, 419, 149, 409, 149, 406, 
115, 150, 421, 150, 413, 149, 403, 149, 420, 150, 410, 150, 408, 
120, 150, 423, 150, 413, 149, 403, 150, 421, 150, 412, 149, 404, 
125, 150, 426, 150, 413, 150, 403, 149, 422, 150, 412, 150, 405, 
130, 150, 426, 150, 415, 149, 403, 150, 423, 150, 413, 150, 404, 
135, 150, 427, 150, 415, 149, 403, 149, 425, 150, 414, 150, 405, 
140, 150, 429, 150, 416, 150, 404, 149, 426, 150, 415, 150, 403, 
145, 149, 430, 150, 418, 149, 404, 149, 428, 150, 416, 150, 403, 
150, 150, 432, 150, 419, 150, 404, 149, 429, 150, 417, 150, 402, 
155, 150, 434, 150, 420, 149, 405, 149, 431, 150, 419, 150, 403, 
160, 150, 430, 150, 417, 149, 403, 149, 427, 150, 415, 149, 399, 
165, 150, 422, 150, 411, 149, 402, 149, 419, 150, 409, 150, 397, 
170, 150, 413, 150, 404, 150, 397, 149, 410, 150, 402, 150, 394, 
175, 150, 406, 150, 399, 149, 393, 150, 405, 150, 395, 150, 390, 
180, 150, 400, 150, 395, 149, 390, 149, 401, 150, 390, 150, 387, 
185, 149, 396, 150, 391, 149, 387, 149, 398, 150, 387, 150, 384, 
190, 150, 394, 150, 388, 149, 386, 149, 396, 150, 387, 149, 381, 
195, 150, 392, 150, 387, 149, 385, 149, 395, 150, 387, 150, 380, 
200, 150, 391, 150, 386, 149, 384, 149, 394, 150, 387, 150, 377, 
205, 150, 391, 150, 384, 149, 383, 150, 394, 150, 387, 149, 375, 
210, 150, 391, 150, 383, 150, 383, 150, 394, 150, 387, 150, 374, 
215, 150, 390, 150, 382, 149, 382, 150, 393, 150, 387, 150, 373, 
220, 150, 390, 150, 381, 149, 381, 149, 393, 150, 386, 150, 372, 
225, 149, 389, 150, 379, 149, 380, 149, 392, 150, 386, 150, 372, 
230, 150, 389, 150, 378, 149, 380, 149, 392, 150, 385, 150, 372, 
235, 150, 389, 150, 376, 149, 379, 149, 391, 150, 384, 150, 372, 
240, 150, 388, 150, 375, 150, 379, 149, 390, 150, 384, 150, 372, 
245, 150, 388, 150, 374, 149, 378, 149, 389, 150, 383, 150, 372, 
250, 150, 388, 150, 374, 149, 378, 149, 389, 150, 382, 150, 372, 
255, 150, 388, 150, 373, 149, 377, 150, 389, 150, 381, 150, 372, 
260, 150, 388, 150, 372, 150, 376, 150, 388, 150, 380, 150, 372, 
265, 150, 388, 150, 371, 149, 375, 150, 388, 150, 379, 150, 372, 
270, 150, 388, 150, 371, 149, 375, 149, 387, 150, 379, 150, 374, 
275, 150, 388, 150, 370, 149, 374, 149, 386, 150, 378, 149, 373, 
280, 150, 388, 150, 370, 150, 373, 150, 385, 150, 378, 150, 373, 
285, 150, 387, 150, 369, 150, 373, 149, 384, 150, 378, 150, 373, 
290, 150, 387, 150, 368, 150, 372, 149, 384, 150, 377, 150, 373, 
295, 149, 386, 150, 368, 149, 371, 149, 383, 150, 377, 150, 373, 
300, 149, 386, 150, 368, 150, 371, 149, 380, 150, 377, 150, 373, 
305, 150, 386, 150, 366, 149, 370, 150, 379, 150, 377, 150, 373, 
310, 150, 386, 150, 366, 149, 370, 150, 378, 150, 377, 150, 373, 
315, 150, 385, 150, 365, 149, 369, 150, 376, 150, 376, 150, 373, 
320, 150, 385, 150, 364, 149, 369, 149, 375, 150, 376, 150, 372, 
325, 150, 385, 150, 364, 149, 369, 150, 373, 150, 376, 150, 372, 
330, 150, 384, 150, 363, 150, 369, 149, 371, 150, 376, 150, 371, 
