t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 429, 150, 417, 149, 418, 149, 422, 150, 418, 150, 420, 
10, 150, 433, 150, 421, 149, 422, 150, 424, 150, 420, 150, 421, 
15, 150, 435, 150, 423, 150, 423, 149, 426, 150, 421, 150, 422, 
20, 150, 437, 150, 424, 149, 424, 149, 426, 150, 421, 150, 422, 
25, 150, 438, 150, 425, 149, 425, 149, 428, 150, 422, 150, 422, 
30, 150, 439, 149, 426, 149, 426, 150, 429, 150, 422, 150, 422, 
35, 150, 440, 150, 428, 149, 427, 149, 429, 150, 422, 150, 423, 
40, 150, 440, 150, 428, 149, 429, 149, 431, 150, 423, 150, 423, 
45, 150, 440, 150, 429, 149, 430, 149, 432, 150, 424, 150, 423, 
50, 150, 441, 150, 430, 150, 434, 150, 432, 150, 425, 150, 423, 
55, 150, 441, 150, 431, 149, 431, 150, 433, 150, 426, 150, 424, 
60, 150, 442, 150, 433, 150, 431, 150, 434, 150, 426, 150, 425, 
65, 150, 442, 150, 433, 150, 432, 149, 434, 150, 426, 150, 426, 
70, 150, 443, 150, 433, 150, 432, 149, 432, 150, 426, 150, 426, 
75, 150, 443, 150, 434, 149, 432, 149, 432, 150, 425, 150, 425, 
80, 150, 442, 150, 433, 150, 432, 149, 430, 150, 424, 150, 425, 
85, 150, 442, 150, 432, 150, 431, 149, 429, 150, 423, 150, 425, 
90, 150, 441, 150, 430, 149, 431, 149, 428, 150, 422, 150, 424, 
95, 150, 441, 150, 430, 149, 430, 149, 427, 150, 421, 149, 423, 
100, 150, 440, 150, 429, 149, 430, 149, 426, 150, 420, 150, 423, 
105, 149, 439, 150, 428, 149, 430, 150, 425, 150, 419, 150, 423, 
110, 150, 439, 150, 428, 149, 430, 149, 424, 150, 418, 150, 423, 
115, 150, 439, 150, 427, 150, 429, 149, 424, 150, 418, 150, 422, 
120, 150, 438, 150, 427, 149, 428, 149, 423, 150, 418, 150, 421, 
125, 150, 438, 150, 427, 149, 426, 149, 422, 150, 419, 150, 420, 
130, 150, 438, 150, 426, 149, 424, 149, 422, 150, 420, 150, 420, 
135, 150, 438, 150, 426, 150, 423, 149, 421, 150, 421, 150, 420, 
140, 150, 438, 150, 426, 149, 421, 150, 421, 150, 421, 150, 419, 
145, 150, 438, 150, 425, 149, 421, 149, 420, 150, 422, 150, 419, 
150, 150, 438, 150, 425, 150, 420, 150, 419, 150, 423, 150, 419, 
155, 150, 438, 150, 424, 149, 420, 149, 419, 150, 424, 150, 419, 
160, 150, 438, 150, 424, 150, 419, 149, 418, 150, 425, 150, 419, 
165, 150, 438, 150, 423, 149, 419, 149, 417, 150, 425, 150, 419, 
170, 150, 438, 150, 423, 150, 419, 150, 417, 150, 426, 150, 419, 
175, 150, 438, 150, 423, 149, 419, 149, 416, 150, 426, 150, 419, 
180, 150, 438, 150, 422, 150, 419, 149, 414, 150, 426, 150, 419, 
185, 150, 438, 150, 422, 149, 419, 149, 413, 150, 426, 150, 419, 
190, 150, 438, 150, 422, 149, 419, 150, 412, 150, 426, 150, 419, 
195, 150, 437, 150, 421, 149, 417, 149, 412, 150, 426, 150, 419, 
200, 150, 437, 150, 421, 149, 419, 149, 410, 150, 426, 150, 419, 
205, 150, 437, 150, 421, 149, 418, 150, 409, 150, 426, 150, 419, 
210, 150, 438, 150, 420, 149, 418, 150, 408, 150, 426, 150, 421, 
215, 150, 436, 150, 420, 149, 418, 149, 407, 150, 426, 150, 418, 
220, 150, 436, 150, 419, 149, 417, 149, 406, 150, 425, 150, 418, 
225, 150, 436, 150, 418, 149, 417, 149, 405, 150, 425, 150, 418, 
230, 150, 435, 150, 418, 149, 416, 149, 405, 150, 425, 150, 417, 
235, 150, 435, 150, 418, 149, 416, 149, 404, 150, 424, 150, 417, 
240, 149, 434, 150, 417, 149, 415, 149, 403, 150, 424, 149, 417, 
245, 150, 434, 150, 417, 149, 415, 149, 402, 150, 424, 150, 416, 
250, 150, 434, 150, 416, 149, 414, 149, 402, 150, 423, 150, 416, 
255, 149, 433, 150, 416, 149, 414, 150, 400, 150, 423, 149, 415, 
260, 150, 433, 150, 415, 149, 413, 149, 400, 150, 423, 150, 415, 
265, 150, 433, 150, 415, 149, 413, 149, 398, 150, 422, 150, 415, 
270, 150, 433, 150, 414, 149, 413, 149, 398, 150, 422, 150, 415, 
275, 150, 432, 150, 414, 149, 412, 149, 397, 150, 421, 150, 416, 
280, 150, 431, 150, 413, 149, 412, 149, 397, 150, 421, 150, 414, 
285, 150, 431, 150, 413, 148, 408, 150, 396, 150, 420, 150, 413, 
290, 150, 430, 150, 413, 150, 412, 149, 395, 150, 419, 150, 413, 
295, 150, 430, 150, 412, 150, 411, 149, 394, 150, 419, 150, 413, 
300, 150, 429, 150, 411, 150, 411, 150, 393, 150, 418, 150, 413, 
305, 150, 429, 150, 411, 149, 409, 150, 393, 150, 418, 150, 413, 
310, 150, 428, 150, 410, 149, 409, 150, 392, 150, 417, 150, 413, 
315, 150, 427, 150, 409, 149, 408, 149, 391, 150, 417, 150, 412, 
320, 150, 426, 150, 409, 149, 408, 149, 390, 150, 416, 150, 412, 
325, 150, 425, 150, 408, 149, 407, 149, 389, 150, 415, 150, 412, 
330, 150, 424, 150, 407, 149, 407, 150, 389, 150, 414, 149, 411, 
