t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 428, 150, 414, 150, 405, 150, 416, 150, 412, 149, 417, 
10, 150, 432, 150, 418, 150, 408, 149, 417, 150, 414, 150, 418, 
15, 150, 435, 150, 420, 149, 410, 150, 419, 150, 415, 150, 419, 
20, 150, 436, 150, 421, 149, 411, 149, 419, 150, 415, 150, 419, 
25, 150, 437, 150, 422, 149, 412, 150, 420, 150, 416, 150, 419, 
30, 150, 439, 150, 424, 149, 413, 150, 421, 150, 416, 150, 420, 
35, 150, 439, 150, 424, 149, 413, 149, 422, 150, 416, 150, 420, 
40, 150, 439, 150, 425, 150, 413, 149, 422, 150, 417, 150, 420, 
45, 150, 439, 150, 425, 149, 414, 150, 426, 150, 418, 150, 421, 
50, 150, 438, 150, 426, 149, 414, 150, 425, 150, 418, 150, 421, 
55, 150, 438, 150, 427, 149, 414, 149, 423, 150, 418, 150, 421, 
60, 150, 436, 150, 428, 149, 414, 149, 424, 150, 419, 150, 421, 
65, 150, 434, 150, 428, 149, 414, 150, 424, 150, 419, 150, 420, 
70, 150, 432, 150, 426, 149, 413, 149, 422, 150, 419, 150, 420, 
75, 150, 430, 150, 426, 149, 413, 149, 422, 150, 417, 150, 419, 
80, 150, 430, 150, 425, 150, 413, 149, 421, 150, 416, 150, 419, 
85, 150, 429, 150, 424, 149, 413, 149, 421, 150, 415, 150, 418, 
90, 150, 429, 150, 422, 150, 413, 150, 420, 150, 414, 150, 418, 
95, 150, 428, 150, 420, 149, 413, 150, 419, 150, 413, 150, 418, 
100, 150, 428, 150, 419, 149, 412, 149, 417, 150, 412, 150, 417, 
105, 150, 428, 150, 417, 149, 411, 150, 417, 150, 411, 150, 416, 
110, 150, 427, 150, 416, 149, 411, 149, 416, 150, 410, 150, 416, 
115, 150, 427, 150, 415, 149, 410, 149, 415, 150, 409, 150, 416, 
120, 150, 427, 150, 415, 149, 410, 150, 414, 150, 409, 150, 416, 
125, 150, 427, 150, 414, 149, 409, 149, 413, 150, 408, 150, 416, 
130, 150, 427, 150, 414, 149, 408, 150, 414, 150, 408, 150, 417, 
135, 150, 427, 150, 415, 149, 407, 150, 414, 150, 408, 150, 417, 
140, 150, 427, 150, 415, 149, 407, 149, 413, 150, 407, 150, 418, 
145, 150, 427, 150, 415, 149, 406, 149, 414, 150, 408, 150, 419, 
150, 150, 427, 150, 416, 149, 406, 149, 413, 150, 408, 150, 419, 
155, 150, 427, 150, 416, 149, 406, 149, 413, 150, 408, 150, 420, 
160, 150, 427, 150, 416, 150, 406, 150, 414, 150, 408, 150, 421, 
165, 150, 427, 150, 417, 149, 406, 149, 413, 150, 408, 150, 422, 
170, 150, 427, 150, 416, 150, 405, 150, 413, 150, 408, 150, 422, 
175, 150, 427, 150, 416, 149, 405, 149, 414, 150, 409, 150, 422, 
180, 150, 427, 150, 415, 150, 405, 149, 413, 150, 409, 150, 422, 
185, 150, 427, 150, 416, 150, 405, 150, 415, 150, 409, 150, 423, 
190, 150, 427, 150, 415, 149, 404, 150, 413, 150, 409, 150, 422, 
195, 150, 427, 150, 414, 149, 404, 150, 413, 150, 409, 150, 422, 
200, 150, 427, 150, 413, 149, 404, 150, 412, 150, 409, 150, 422, 
205, 150, 427, 150, 412, 149, 404, 149, 411, 150, 409, 150, 422, 
210, 150, 427, 149, 411, 149, 404, 149, 409, 150, 409, 150, 422, 
215, 150, 426, 150, 411, 150, 404, 149, 410, 150, 409, 150, 422, 
220, 150, 426, 150, 410, 149, 404, 149, 410, 150, 409, 150, 421, 
225, 150, 426, 150, 409, 149, 404, 149, 409, 150, 409, 150, 421, 
230, 150, 425, 150, 408, 149, 405, 150, 409, 150, 409, 150, 421, 
235, 150, 425, 150, 407, 150, 405, 150, 408, 150, 409, 150, 420, 
240, 150, 424, 150, 405, 149, 405, 149, 408, 150, 408, 150, 420, 
245, 150, 424, 150, 405, 149, 405, 150, 407, 150, 408, 150, 419, 
250, 150, 423, 150, 403, 150, 405, 150, 408, 150, 407, 150, 419, 
255, 150, 423, 150, 402, 150, 405, 149, 407, 150, 407, 150, 418, 
260, 150, 422, 150, 401, 149, 405, 150, 406, 150, 406, 150, 418, 
265, 150, 422, 150, 399, 150, 404, 149, 405, 150, 406, 150, 418, 
270, 150, 421, 149, 397, 149, 405, 150, 404, 150, 406, 150, 417, 
275, 150, 420, 150, 397, 149, 404, 149, 403, 150, 405, 150, 417, 
280, 150, 420, 150, 395, 150, 404, 150, 403, 150, 405, 150, 416, 
285, 150, 419, 150, 394, 149, 404, 150, 402, 150, 404, 150, 415, 
290, 150, 418, 150, 393, 150, 403, 150, 402, 150, 404, 150, 415, 
295, 150, 418, 150, 392, 149, 403, 150, 401, 150, 403, 150, 414, 
300, 150, 417, 150, 389, 149, 402, 150, 400, 150, 402, 150, 414, 
305, 150, 416, 150, 389, 150, 402, 150, 400, 150, 402, 150, 413, 
310, 150, 415, 150, 387, 149, 402, 149, 398, 150, 401, 150, 413, 
315, 150, 415, 150, 386, 150, 401, 150, 398, 150, 401, 150, 413, 
320, 150, 414, 150, 385, 150, 401, 150, 396, 150, 400, 149, 412, 
325, 150, 413, 150, 384, 149, 400, 149, 394, 150, 400, 150, 412, 
330, 150, 412, 150, 382, 149, 400, 149, 395, 150, 399, 150, 412, 
