t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 457, 150, 437, 150, 434, 149, 439, 150, 447, 150, 447, 
10, 150, 457, 150, 437, 149, 434, 150, 440, 149, 446, 150, 448, 
15, 150, 457, 150, 437, 149, 434, 149, 441, 150, 448, 150, 448, 
20, 150, 457, 150, 437, 149, 434, 149, 441, 150, 448, 150, 448, 
25, 150, 457, 150, 437, 149, 434, 149, 440, 150, 448, 150, 448, 
30, 150, 457, 150, 437, 149, 434, 150, 442, 150, 448, 150, 449, 
35, 150, 457, 150, 437, 149, 435, 149, 441, 150, 448, 150, 448, 
40, 150, 457, 150, 437, 149, 435, 150, 441, 150, 447, 150, 448, 
45, 150, 455, 150, 436, 149, 434, 150, 440, 150, 446, 150, 446, 
50, 150, 454, 150, 434, 149, 432, 150, 439, 150, 444, 150, 445, 
55, 150, 452, 150, 433, 149, 431, 149, 437, 149, 443, 150, 444, 
60, 150, 451, 150, 432, 149, 429, 149, 437, 150, 442, 150, 443, 
65, 150, 451, 150, 432, 149, 430, 150, 436, 150, 442, 150, 443, 
70, 150, 450, 150, 432, 149, 429, 150, 436, 149, 442, 150, 443, 
75, 150, 450, 150, 431, 149, 429, 149, 435, 150, 441, 150, 442, 
80, 150, 449, 150, 431, 150, 429, 149, 435, 150, 442, 150, 442, 
85, 150, 449, 150, 431, 149, 428, 149, 435, 149, 441, 150, 442, 
90, 150, 448, 150, 430, 149, 428, 150, 434, 150, 442, 150, 441, 
95, 150, 447, 150, 429, 150, 427, 150, 434, 150, 440, 150, 440, 
100, 150, 447, 150, 429, 149, 426, 149, 432, 150, 440, 150, 440, 
105, 150, 446, 150, 428, 149, 426, 150, 432, 150, 439, 150, 439, 
110, 150, 445, 150, 428, 149, 425, 149, 431, 150, 439, 150, 438, 
115, 150, 444, 150, 427, 149, 424, 150, 430, 150, 438, 150, 438, 
120, 150, 444, 150, 427, 149, 422, 149, 429, 150, 437, 150, 437, 
125, 150, 443, 150, 426, 149, 423, 149, 429, 150, 437, 150, 437, 
130, 150, 443, 150, 425, 149, 423, 150, 429, 150, 437, 150, 437, 
135, 150, 442, 150, 425, 149, 423, 149, 428, 150, 437, 150, 437, 
140, 150, 442, 150, 425, 150, 423, 150, 428, 150, 436, 149, 437, 
145, 150, 442, 150, 424, 149, 422, 150, 428, 150, 436, 150, 437, 
150, 150, 442, 150, 424, 149, 422, 150, 427, 150, 436, 150, 437, 
155, 150, 442, 150, 424, 149, 422, 149, 427, 150, 436, 150, 437, 
160, 150, 442, 150, 424, 149, 422, 149, 426, 150, 436, 150, 437, 
165, 150, 442, 150, 423, 149, 423, 150, 427, 150, 436, 150, 437, 
170, 150, 442, 150, 423, 149, 422, 150, 427, 150, 436, 150, 437, 
175, 150, 442, 150, 423, 149, 422, 149, 426, 150, 436, 150, 437, 
180, 150, 442, 150, 423, 150, 423, 149, 426, 150, 436, 150, 437, 
185, 150, 442, 150, 422, 150, 422, 149, 426, 150, 435, 150, 437, 
190, 150, 442, 150, 422, 149, 422, 150, 426, 150, 435, 150, 437, 
195, 150, 442, 150, 422, 149, 422, 150, 426, 150, 435, 150, 436, 
200, 150, 443, 150, 422, 149, 421, 149, 425, 150, 435, 150, 436, 
205, 150, 443, 150, 422, 149, 420, 149, 425, 150, 436, 150, 436, 
210, 150, 443, 150, 422, 149, 422, 149, 425, 149, 434, 150, 436, 
215, 150, 442, 150, 422, 150, 423, 150, 425, 150, 435, 150, 436, 
220, 150, 443, 150, 422, 150, 422, 149, 426, 150, 435, 150, 436, 
225, 150, 443, 150, 421, 150, 422, 150, 426, 150, 435, 150, 435, 
230, 150, 443, 150, 421, 150, 423, 149, 425, 150, 435, 150, 435, 
235, 150, 443, 150, 421, 149, 422, 149, 426, 150, 435, 150, 435, 
240, 150, 443, 150, 421, 149, 421, 150, 426, 150, 435, 149, 435, 
245, 150, 443, 150, 421, 150, 422, 149, 425, 150, 437, 149, 435, 
250, 150, 443, 150, 421, 149, 421, 150, 426, 150, 436, 150, 435, 
255, 150, 443, 150, 421, 149, 421, 150, 427, 150, 435, 150, 435, 
260, 150, 443, 150, 421, 150, 421, 149, 426, 150, 435, 150, 435, 
265, 150, 443, 150, 420, 149, 420, 150, 426, 150, 436, 150, 435, 
270, 150, 443, 150, 420, 149, 421, 149, 426, 150, 435, 150, 435, 
275, 150, 443, 150, 421, 150, 421, 150, 426, 150, 436, 150, 434, 
280, 150, 443, 150, 420, 149, 421, 150, 425, 150, 436, 150, 434, 
285, 150, 443, 150, 420, 149, 421, 149, 426, 150, 436, 150, 434, 
290, 150, 443, 150, 420, 150, 422, 149, 426, 150, 436, 150, 434, 
295, 150, 443, 150, 420, 149, 421, 149, 425, 150, 436, 150, 434, 
300, 150, 443, 150, 420, 149, 418, 149, 425, 150, 436, 150, 434, 
305, 150, 443, 150, 420, 149, 420, 150, 425, 149, 435, 150, 434, 
310, 150, 443, 150, 420, 149, 420, 150, 425, 150, 436, 150, 434, 
315, 150, 443, 150, 420, 150, 420, 150, 424, 150, 435, 150, 434, 
320, 150, 443, 150, 420, 149, 420, 150, 424, 150, 436, 150, 434, 
325, 150, 443, 150, 419, 149, 420, 150, 425, 150, 436, 150, 434, 
330, 150, 443, 150, 419, 149, 420, 149, 424, 150, 435, 150, 434, 
