t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 503, 150, 497, 149, 485, 149, 500, 150, 492, 150, 493, 
10, 150, 508, 150, 503, 150, 490, 149, 504, 150, 494, 150, 494, 
15, 150, 511, 150, 506, 150, 493, 149, 506, 150, 496, 150, 494, 
20, 150, 513, 150, 508, 149, 495, 149, 507, 150, 496, 150, 496, 
25, 150, 514, 150, 510, 149, 496, 149, 509, 150, 496, 150, 494, 
30, 150, 515, 150, 511, 149, 497, 149, 509, 150, 497, 150, 494, 
35, 150, 515, 150, 511, 149, 498, 150, 509, 150, 497, 150, 494, 
40, 150, 512, 150, 506, 149, 493, 150, 506, 150, 494, 150, 491, 
45, 150, 509, 150, 501, 149, 490, 149, 504, 150, 491, 150, 487, 
50, 150, 502, 150, 491, 149, 481, 149, 495, 150, 483, 150, 480, 
55, 150, 495, 150, 485, 149, 475, 149, 487, 150, 477, 150, 474, 
60, 150, 488, 150, 483, 149, 471, 150, 481, 150, 472, 149, 468, 
65, 150, 484, 150, 483, 149, 471, 149, 477, 150, 468, 150, 465, 
70, 150, 482, 150, 482, 149, 471, 149, 474, 150, 465, 150, 462, 
75, 150, 481, 150, 481, 149, 471, 149, 473, 150, 463, 150, 461, 
80, 150, 480, 150, 478, 149, 470, 149, 471, 150, 461, 150, 460, 
85, 150, 478, 150, 476, 149, 470, 149, 469, 150, 460, 150, 459, 
90, 150, 477, 150, 474, 149, 469, 149, 469, 150, 459, 150, 458, 
95, 150, 476, 150, 473, 149, 468, 149, 467, 150, 458, 149, 456, 
100, 150, 475, 150, 472, 150, 466, 150, 467, 150, 457, 149, 455, 
105, 150, 475, 150, 472, 150, 465, 149, 466, 150, 456, 150, 455, 
110, 150, 474, 150, 471, 149, 464, 149, 466, 150, 456, 149, 454, 
115, 150, 474, 150, 471, 148, 459, 149, 465, 150, 456, 149, 453, 
120, 150, 473, 150, 470, 149, 462, 149, 464, 150, 455, 150, 453, 
125, 150, 474, 150, 470, 150, 462, 149, 465, 150, 455, 150, 454, 
130, 150, 473, 150, 470, 150, 461, 149, 465, 150, 455, 150, 455, 
135, 150, 474, 150, 469, 149, 461, 149, 466, 150, 455, 150, 456, 
140, 150, 473, 150, 469, 149, 461, 150, 466, 150, 455, 150, 457, 
145, 150, 474, 150, 469, 149, 460, 150, 465, 150, 455, 150, 457, 
150, 150, 473, 150, 468, 150, 459, 149, 465, 150, 455, 149, 457, 
155, 150, 473, 150, 468, 149, 458, 149, 466, 150, 456, 150, 458, 
160, 150, 473, 150, 468, 149, 457, 149, 466, 150, 456, 149, 458, 
165, 150, 473, 150, 467, 149, 456, 150, 466, 150, 456, 150, 460, 
170, 150, 473, 150, 467, 149, 455, 149, 467, 150, 456, 149, 460, 
175, 150, 473, 150, 467, 150, 454, 150, 467, 150, 456, 150, 461, 
180, 150, 473, 150, 467, 149, 453, 150, 467, 150, 456, 150, 462, 
185, 150, 473, 150, 466, 149, 452, 150, 467, 150, 456, 150, 463, 
190, 150, 473, 150, 466, 149, 451, 150, 468, 150, 456, 150, 464, 
195, 150, 473, 150, 466, 149, 451, 150, 469, 150, 456, 150, 463, 
200, 150, 473, 150, 466, 150, 451, 150, 468, 150, 456, 150, 464, 
205, 150, 473, 150, 466, 149, 450, 150, 467, 150, 457, 151, 467, 
210, 150, 473, 150, 466, 149, 450, 150, 468, 150, 457, 150, 465, 
215, 150, 473, 150, 466, 149, 449, 150, 468, 150, 456, 150, 464, 
220, 150, 473, 150, 465, 149, 449, 150, 468, 150, 457, 149, 464, 
225, 150, 473, 150, 465, 149, 449, 150, 467, 150, 457, 150, 464, 
230, 150, 473, 150, 465, 149, 448, 150, 467, 150, 457, 150, 464, 
235, 150, 472, 150, 465, 149, 448, 150, 468, 150, 456, 150, 464, 
240, 150, 472, 150, 465, 149, 448, 149, 466, 150, 456, 149, 463, 
245, 150, 472, 150, 464, 149, 447, 150, 467, 150, 456, 150, 464, 
250, 150, 472, 150, 464, 149, 448, 149, 465, 150, 456, 149, 463, 
255, 150, 472, 150, 463, 149, 447, 150, 465, 150, 456, 149, 463, 
260, 150, 471, 150, 463, 149, 447, 150, 465, 150, 456, 150, 464, 
265, 150, 471, 150, 462, 149, 447, 150, 466, 150, 455, 150, 463, 
270, 150, 471, 150, 462, 149, 446, 149, 463, 150, 455, 150, 463, 
275, 150, 470, 150, 462, 149, 446, 150, 463, 150, 454, 150, 463, 
280, 150, 470, 150, 461, 150, 446, 149, 462, 150, 454, 150, 463, 
285, 150, 470, 150, 460, 149, 445, 150, 460, 150, 454, 150, 463, 
290, 150, 470, 150, 460, 150, 445, 150, 460, 150, 453, 149, 462, 
295, 150, 469, 150, 459, 150, 444, 150, 458, 150, 452, 150, 463, 
300, 150, 469, 150, 458, 149, 444, 150, 458, 150, 450, 150, 462, 
305, 150, 468, 150, 457, 150, 443, 150, 457, 150, 449, 150, 462, 
310, 150, 468, 150, 457, 149, 443, 150, 456, 150, 448, 150, 462, 
315, 150, 466, 150, 456, 149, 442, 150, 455, 150, 447, 150, 461, 
320, 150, 466, 150, 456, 150, 442, 150, 454, 150, 446, 150, 461, 
325, 150, 465, 150, 455, 149, 441, 149, 453, 150, 445, 150, 461, 
330, 150, 464, 150, 454, 149, 441, 149, 453, 150, 444, 150, 460, 
