t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 1071, 149, 1075, 150, 1084, 149, 1079, 149, 1078, 150, 1110, 
10, 150, 1077, 149, 1084, 149, 1096, 149, 1096, 149, 1096, 149, 1130, 
15, 150, 1077, 150, 1091, 150, 1105, 150, 1109, 149, 1107, 150, 1144, 
20, 150, 1076, 150, 1092, 150, 1108, 149, 1111, 150, 1118, 150, 1149, 
25, 150, 1077, 149, 1092, 149, 1105, 149, 1112, 149, 1117, 149, 1153, 
30, 150, 1076, 149, 1093, 150, 1110, 150, 1117, 149, 1118, 150, 1158, 
35, 150, 1075, 150, 1093, 150, 1107, 149, 1116, 150, 1122, 150, 1159, 
40, 150, 1074, 149, 1091, 150, 1106, 149, 1115, 149, 1119, 150, 1162, 
45, 149, 1071, 149, 1089, 149, 1102, 150, 1115, 149, 1120, 149, 1159, 
50, 150, 1074, 150, 1089, 150, 1106, 150, 1118, 149, 1121, 150, 1166, 
55, 150, 1072, 150, 1087, 150, 1103, 149, 1113, 150, 1123, 150, 1163, 
60, 149, 1068, 150, 1086, 149, 1102, 150, 1113, 149, 1124, 150, 1164, 
65, 150, 1070, 149, 1085, 149, 1101, 149, 1107, 149, 1124, 149, 1163, 
70, 150, 1069, 150, 1086, 150, 1103, 150, 1110, 149, 1128, 150, 1166, 
75, 149, 1068, 149, 1087, 149, 1101, 149, 1107, 149, 1130, 150, 1164, 
80, 149, 1066, 150, 1088, 149, 1103, 149, 1104, 149, 1131, 150, 1162, 
85, 150, 1068, 149, 1083, 149, 1105, 149, 1102, 149, 1133, 149, 1159, 
90, 149, 1067, 149, 1089, 150, 1113, 150, 1108, 149, 1137, 150, 1164, 
95, 149, 1067, 149, 1092, 149, 1113, 149, 1104, 149, 1142, 149, 1156, 
100, 150, 1067, 149, 1095, 150, 1118, 149, 1107, 149, 1148, 150, 1160, 
105, 149, 1070, 149, 1097, 150, 1122, 149, 1107, 149, 1153, 150, 1162, 
110, 149, 1071, 149, 1100, 149, 1125, 149, 1109, 149, 1157, 149, 1163, 
115, 150, 1077, 149, 1103, 150, 1134, 150, 1117, 149, 1163, 150, 1172, 
120, 149, 1079, 149, 1105, 150, 1138, 150, 1118, 149, 1170, 150, 1172, 
125, 149, 1084, 149, 1110, 150, 1144, 150, 1120, 150, 1179, 150, 1175, 
130, 150, 1093, 150, 1114, 150, 1150, 149, 1120, 149, 1187, 149, 1176, 
135, 150, 1102, 149, 1119, 149, 1155, 149, 1125, 149, 1195, 150, 1181, 
140, 150, 1106, 149, 1125, 150, 1161, 150, 1128, 149, 1201, 150, 1185, 
145, 150, 1112, 149, 1126, 149, 1166, 149, 1127, 149, 1206, 149, 1186, 
150, 149, 1119, 150, 1130, 150, 1168, 150, 1135, 149, 1218, 150, 1193, 
155, 149, 1126, 150, 1131, 149, 1170, 150, 1135, 150, 1229, 150, 1195, 
160, 149, 1132, 150, 1132, 149, 1172, 149, 1134, 149, 1239, 149, 1196, 
165, 148, 1137, 150, 1132, 150, 1176, 149, 1133, 150, 1258, 150, 1203, 
170, 148, 1138, 150, 1132, 150, 1177, 149, 1134, 150, 1268, 149, 1207, 
175, 148, 1140, 150, 1133, 149, 1178, 149, 1134, 150, 1280, 149, 1213, 
180, 150, 1159, 149, 1134, 150, 1181, 149, 1132, 149, 1287, 150, 1219, 
185, 149, 1153, 149, 1134, 150, 1183, 150, 1133, 150, 1301, 150, 1224, 
190, 148, 1147, 150, 1135, 149, 1182, 149, 1129, 149, 1313, 150, 1227, 
195, 150, 1170, 149, 1131, 149, 1188, 149, 1130, 149, 1323, 150, 1226, 
200, 150, 1174, 150, 1129, 149, 1190, 149, 1128, 149, 1328, 149, 1225, 
205, 151, 1180, 150, 1128, 150, 1199, 149, 1128, 149, 1342, 150, 1229, 
210, 149, 1170, 149, 1126, 149, 1202, 149, 1126, 149, 1348, 149, 1228, 
215, 150, 1173, 149, 1126, 149, 1209, 149, 1126, 149, 1349, 149, 1228, 
220, 149, 1172, 149, 1127, 149, 1216, 149, 1125, 149, 1349, 149, 1229, 
225, 150, 1175, 150, 1132, 150, 1223, 149, 1126, 150, 1352, 150, 1230, 
230, 149, 1177, 149, 1132, 149, 1227, 149, 1128, 149, 1351, 149, 1230, 
235, 150, 1179, 150, 1135, 149, 1238, 149, 1127, 149, 1351, 150, 1232, 
240, 149, 1176, 149, 1136, 149, 1243, 149, 1127, 149, 1346, 150, 1234, 
245, 149, 1176, 150, 1139, 150, 1249, 149, 1125, 149, 1345, 149, 1230, 
250, 150, 1177, 150, 1143, 150, 1255, 149, 1127, 149, 1352, 150, 1237, 
255, 150, 1171, 149, 1145, 149, 1254, 149, 1123, 150, 1356, 149, 1237, 
260, 150, 1168, 150, 1151, 149, 1263, 149, 1126, 149, 1355, 150, 1241, 
265, 149, 1165, 150, 1156, 150, 1270, 150, 1131, 150, 1365, 150, 1248, 
270, 149, 1164, 149, 1159, 149, 1264, 149, 1127, 149, 1360, 150, 1242, 
275, 150, 1164, 149, 1156, 148, 1243, 148, 1113, 148, 1351, 148, 1229, 
280, 150, 1164, 149, 1173, 150, 1253, 150, 1134, 150, 1369, 150, 1250, 
