t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 409, 150, 414, 150, 400, 149, 408, 150, 405, 150, 399, 
10, 150, 411, 150, 417, 149, 402, 149, 410, 150, 407, 150, 400, 
15, 150, 413, 150, 419, 150, 404, 149, 411, 150, 408, 150, 400, 
20, 150, 414, 150, 420, 150, 405, 149, 412, 150, 408, 150, 401, 
25, 150, 415, 150, 421, 150, 406, 149, 414, 150, 408, 150, 401, 
30, 150, 415, 150, 421, 149, 406, 149, 413, 150, 409, 150, 401, 
35, 150, 415, 150, 421, 149, 407, 149, 414, 150, 409, 150, 401, 
40, 150, 416, 150, 422, 150, 408, 149, 416, 150, 410, 149, 401, 
45, 150, 416, 150, 424, 150, 409, 149, 417, 150, 411, 150, 402, 
50, 150, 416, 150, 424, 149, 408, 149, 418, 150, 411, 150, 401, 
55, 150, 415, 150, 424, 150, 408, 149, 419, 150, 412, 150, 401, 
60, 150, 418, 150, 427, 150, 411, 149, 422, 150, 416, 150, 404, 
65, 150, 419, 150, 428, 149, 411, 149, 424, 150, 417, 150, 404, 
70, 150, 418, 150, 428, 150, 411, 150, 423, 150, 417, 150, 404, 
75, 150, 418, 150, 429, 150, 411, 149, 423, 150, 417, 150, 404, 
80, 150, 418, 150, 429, 149, 411, 150, 424, 150, 417, 150, 404, 
85, 150, 418, 150, 429, 150, 411, 150, 424, 150, 416, 150, 402, 
90, 150, 418, 150, 428, 149, 410, 150, 423, 150, 416, 150, 402, 
95, 150, 417, 150, 429, 149, 410, 149, 422, 150, 415, 150, 401, 
100, 150, 417, 150, 427, 149, 410, 150, 423, 150, 415, 150, 401, 
105, 150, 417, 150, 427, 149, 409, 150, 423, 150, 414, 150, 400, 
110, 150, 416, 150, 426, 149, 409, 150, 423, 150, 413, 150, 400, 
115, 150, 416, 150, 425, 149, 409, 149, 421, 150, 412, 150, 399, 
120, 150, 416, 150, 424, 149, 409, 150, 422, 150, 411, 150, 399, 
125, 150, 416, 150, 424, 149, 408, 150, 422, 150, 411, 150, 398, 
130, 150, 416, 150, 424, 150, 408, 150, 421, 150, 410, 150, 399, 
135, 150, 415, 150, 423, 149, 408, 150, 421, 150, 409, 150, 398, 
140, 150, 415, 150, 423, 149, 407, 149, 420, 150, 409, 150, 398, 
145, 150, 415, 150, 423, 149, 407, 150, 419, 150, 408, 150, 398, 
150, 150, 415, 150, 423, 149, 407, 149, 419, 150, 408, 150, 398, 
155, 150, 415, 150, 423, 150, 408, 150, 421, 150, 407, 150, 398, 
160, 150, 416, 150, 423, 150, 409, 149, 421, 150, 407, 150, 398, 
165, 150, 416, 150, 423, 150, 409, 149, 421, 150, 407, 150, 399, 
170, 150, 416, 150, 422, 149, 410, 149, 421, 150, 407, 150, 399, 
175, 150, 417, 150, 423, 149, 410, 149, 422, 150, 407, 150, 400, 
180, 150, 417, 150, 423, 149, 412, 149, 422, 150, 407, 150, 400, 
185, 150, 418, 150, 422, 149, 412, 149, 423, 150, 406, 150, 400, 
190, 150, 419, 150, 423, 149, 411, 150, 424, 150, 407, 150, 401, 
195, 150, 420, 150, 423, 150, 414, 150, 425, 150, 407, 150, 402, 
200, 150, 420, 150, 422, 150, 416, 149, 426, 150, 407, 150, 403, 
205, 150, 421, 150, 422, 149, 415, 149, 428, 150, 407, 150, 404, 
210, 150, 423, 150, 423, 149, 416, 150, 428, 150, 407, 150, 404, 
215, 150, 423, 150, 423, 149, 417, 149, 430, 150, 407, 149, 405, 
220, 150, 424, 150, 422, 149, 417, 149, 431, 150, 407, 150, 406, 
225, 150, 426, 150, 422, 149, 418, 149, 431, 150, 408, 150, 407, 
230, 150, 427, 150, 423, 149, 419, 149, 433, 150, 408, 150, 408, 
235, 150, 428, 150, 423, 149, 420, 150, 434, 150, 408, 150, 410, 
240, 150, 429, 150, 423, 150, 422, 149, 434, 150, 408, 150, 411, 
245, 150, 430, 150, 423, 150, 422, 149, 435, 150, 409, 150, 413, 
250, 150, 431, 150, 423, 149, 423, 149, 436, 150, 409, 150, 414, 
255, 150, 433, 150, 423, 149, 424, 149, 437, 150, 409, 150, 415, 
260, 150, 434, 150, 423, 149, 425, 149, 438, 150, 409, 150, 416, 
265, 150, 434, 150, 423, 150, 426, 150, 438, 150, 410, 150, 418, 
270, 150, 435, 150, 423, 149, 427, 149, 438, 150, 410, 150, 419, 
275, 150, 436, 150, 423, 150, 427, 150, 439, 150, 410, 150, 421, 
280, 150, 436, 150, 423, 149, 428, 149, 440, 150, 410, 151, 426, 
285, 150, 437, 150, 423, 149, 429, 149, 440, 150, 410, 149, 422, 
290, 150, 438, 150, 423, 149, 429, 149, 440, 150, 410, 149, 423, 
295, 150, 438, 150, 423, 150, 430, 149, 441, 150, 411, 150, 425, 
300, 150, 439, 150, 422, 150, 431, 150, 442, 150, 411, 150, 426, 
305, 150, 439, 150, 422, 149, 431, 149, 442, 150, 411, 150, 427, 
310, 150, 440, 150, 422, 149, 431, 150, 441, 150, 411, 150, 428, 
315, 150, 441, 150, 421, 149, 432, 150, 441, 150, 412, 150, 430, 
320, 150, 441, 150, 420, 149, 432, 149, 441, 150, 412, 150, 430, 
325, 150, 442, 150, 420, 149, 433, 149, 440, 150, 412, 150, 432, 
330, 150, 442, 150, 419, 149, 433, 150, 437, 150, 411, 150, 433, 
