t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 471, 150, 470, 150, 460, 150, 232, 150, 451, 150, 449, 
10, 150, 475, 150, 475, 149, 464, 150, 233, 150, 453, 150, 450, 
15, 150, 478, 150, 479, 150, 467, 150, 234, 150, 454, 150, 451, 
20, 150, 479, 150, 480, 149, 469, 149, 235, 150, 455, 150, 451, 
25, 150, 480, 150, 482, 149, 470, 149, 234, 150, 455, 150, 451, 
30, 150, 481, 150, 482, 149, 470, 150, 235, 150, 455, 150, 451, 
35, 150, 482, 150, 483, 149, 472, 149, 235, 150, 456, 150, 450, 
40, 150, 478, 150, 481, 150, 469, 150, 235, 150, 452, 150, 449, 
45, 150, 476, 150, 478, 150, 466, 149, 234, 150, 451, 150, 446, 
50, 150, 471, 150, 473, 149, 461, 149, 232, 150, 445, 150, 442, 
55, 150, 470, 150, 472, 149, 459, 149, 230, 150, 444, 149, 439, 
60, 150, 469, 150, 470, 150, 459, 149, 228, 150, 443, 150, 437, 
65, 150, 468, 150, 467, 150, 459, 149, 226, 150, 440, 150, 435, 
70, 150, 468, 150, 465, 149, 456, 149, 225, 150, 438, 150, 435, 
75, 150, 467, 150, 465, 149, 455, 149, 224, 149, 437, 150, 434, 
80, 150, 466, 150, 463, 149, 455, 150, 225, 150, 436, 150, 434, 
85, 150, 464, 150, 462, 149, 455, 149, 225, 150, 435, 150, 433, 
90, 150, 463, 150, 460, 149, 455, 149, 224, 150, 433, 150, 434, 
95, 150, 463, 150, 458, 149, 454, 149, 224, 150, 431, 150, 435, 
100, 150, 462, 150, 458, 150, 454, 149, 223, 150, 430, 150, 435, 
105, 150, 462, 150, 457, 149, 453, 149, 223, 150, 429, 150, 436, 
110, 150, 462, 150, 458, 149, 452, 150, 223, 150, 428, 150, 437, 
115, 150, 461, 150, 459, 149, 451, 150, 223, 150, 427, 150, 438, 
120, 150, 460, 150, 459, 149, 450, 150, 223, 150, 427, 150, 438, 
125, 150, 459, 149, 460, 150, 450, 149, 224, 150, 427, 150, 438, 
130, 150, 458, 150, 461, 149, 450, 150, 224, 150, 428, 150, 438, 
135, 150, 457, 150, 462, 149, 450, 149, 224, 150, 428, 150, 438, 
140, 150, 457, 150, 462, 149, 449, 149, 226, 150, 429, 150, 438, 
145, 150, 456, 150, 462, 150, 449, 150, 227, 150, 430, 150, 439, 
150, 150, 456, 150, 463, 150, 449, 149, 227, 150, 431, 150, 439, 
155, 150, 456, 150, 464, 149, 448, 149, 228, 150, 432, 150, 440, 
160, 150, 456, 150, 465, 149, 448, 150, 229, 150, 433, 150, 440, 
165, 150, 456, 150, 465, 150, 448, 149, 230, 150, 433, 150, 440, 
170, 150, 456, 150, 465, 149, 447, 149, 231, 150, 434, 150, 440, 
175, 150, 456, 150, 466, 149, 446, 149, 232, 150, 434, 150, 440, 
180, 150, 457, 150, 467, 149, 446, 149, 231, 150, 434, 150, 440, 
185, 150, 457, 150, 468, 149, 446, 149, 232, 150, 434, 150, 440, 
190, 150, 457, 150, 467, 150, 445, 149, 232, 150, 434, 150, 440, 
195, 150, 457, 150, 468, 149, 445, 149, 232, 150, 434, 150, 440, 
200, 150, 457, 150, 468, 149, 444, 150, 232, 150, 434, 150, 439, 
205, 150, 457, 150, 469, 149, 444, 149, 232, 150, 434, 150, 439, 
210, 150, 457, 150, 468, 150, 444, 150, 232, 150, 433, 150, 438, 
215, 150, 456, 150, 468, 150, 446, 149, 232, 150, 433, 150, 438, 
220, 150, 456, 150, 468, 149, 446, 149, 231, 150, 433, 150, 437, 
225, 150, 456, 150, 468, 149, 445, 150, 231, 150, 433, 150, 437, 
230, 150, 455, 150, 469, 150, 447, 149, 231, 150, 434, 150, 436, 
235, 150, 455, 150, 468, 149, 444, 150, 230, 150, 432, 150, 436, 
240, 150, 454, 150, 467, 149, 444, 149, 230, 150, 432, 150, 435, 
245, 150, 453, 150, 468, 149, 443, 149, 229, 150, 431, 150, 434, 
250, 150, 453, 150, 467, 150, 445, 149, 229, 150, 431, 150, 434, 
255, 150, 452, 150, 467, 149, 442, 149, 228, 149, 429, 150, 433, 
260, 150, 452, 150, 466, 149, 442, 149, 229, 150, 430, 150, 433, 
265, 150, 451, 150, 466, 150, 442, 150, 229, 150, 429, 150, 432, 
270, 150, 450, 150, 465, 149, 441, 149, 228, 150, 428, 150, 431, 
275, 150, 450, 150, 465, 150, 441, 149, 228, 150, 428, 150, 431, 
280, 150, 449, 150, 464, 150, 441, 149, 227, 150, 427, 150, 430, 
285, 150, 449, 150, 464, 149, 441, 149, 227, 150, 427, 149, 429, 
290, 150, 448, 150, 464, 149, 440, 149, 227, 150, 426, 150, 429, 
295, 150, 448, 150, 463, 149, 440, 149, 226, 150, 426, 150, 428, 
300, 150, 447, 150, 463, 149, 440, 149, 226, 150, 426, 150, 428, 
305, 150, 447, 150, 463, 149, 440, 149, 226, 150, 425, 149, 427, 
310, 150, 447, 150, 462, 149, 437, 150, 226, 149, 424, 150, 427, 
315, 150, 446, 150, 461, 150, 440, 149, 225, 150, 424, 150, 426, 
320, 150, 446, 150, 461, 149, 440, 150, 225, 150, 423, 150, 426, 
325, 150, 445, 150, 461, 149, 440, 149, 225, 150, 423, 150, 426, 
330, 150, 445, 150, 460, 149, 440, 149, 224, 150, 424, 150, 426, 
