t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 461, 150, 468, 149, 446, 149, 457, 150, 442, 150, 457, 
10, 150, 465, 150, 473, 149, 450, 149, 460, 150, 444, 150, 457, 
15, 150, 467, 150, 476, 149, 453, 149, 462, 150, 445, 150, 458, 
20, 150, 468, 150, 478, 150, 454, 149, 463, 150, 446, 150, 458, 
25, 150, 469, 150, 478, 150, 455, 149, 464, 150, 446, 150, 458, 
30, 150, 470, 150, 479, 149, 456, 149, 464, 150, 446, 150, 458, 
35, 150, 469, 150, 479, 150, 455, 149, 463, 150, 445, 150, 456, 
40, 150, 468, 150, 477, 149, 454, 149, 462, 150, 443, 150, 456, 
45, 150, 467, 150, 477, 149, 454, 149, 462, 150, 443, 150, 456, 
50, 150, 466, 150, 475, 149, 452, 149, 461, 150, 441, 150, 456, 
55, 150, 466, 150, 475, 149, 451, 150, 460, 150, 441, 150, 455, 
60, 150, 465, 150, 474, 150, 450, 149, 459, 150, 439, 150, 454, 
65, 150, 465, 150, 472, 150, 449, 149, 458, 150, 438, 150, 453, 
70, 150, 464, 150, 471, 149, 449, 149, 457, 150, 437, 150, 452, 
75, 150, 462, 150, 469, 149, 448, 149, 456, 150, 436, 150, 451, 
80, 150, 461, 150, 467, 149, 448, 149, 455, 150, 436, 150, 450, 
85, 150, 460, 150, 465, 150, 447, 149, 454, 150, 435, 150, 448, 
90, 150, 458, 149, 462, 149, 446, 149, 452, 150, 434, 150, 448, 
95, 150, 456, 150, 463, 149, 444, 149, 450, 150, 433, 150, 447, 
100, 150, 455, 149, 462, 150, 443, 149, 450, 150, 432, 150, 446, 
105, 150, 454, 150, 462, 149, 441, 150, 449, 150, 431, 150, 445, 
110, 150, 453, 150, 462, 149, 440, 150, 450, 150, 430, 150, 445, 
115, 150, 453, 150, 461, 150, 440, 149, 448, 150, 429, 150, 444, 
120, 150, 453, 150, 461, 150, 439, 150, 448, 150, 428, 150, 443, 
125, 150, 452, 150, 460, 149, 439, 150, 449, 150, 428, 150, 443, 
130, 150, 452, 149, 460, 150, 438, 149, 447, 150, 427, 150, 443, 
135, 150, 452, 150, 461, 149, 439, 150, 448, 150, 427, 150, 442, 
140, 150, 452, 150, 460, 149, 438, 150, 448, 150, 427, 149, 442, 
145, 150, 452, 150, 460, 149, 438, 150, 447, 150, 427, 150, 442, 
150, 150, 452, 150, 460, 149, 438, 150, 446, 150, 427, 149, 441, 
155, 150, 451, 150, 460, 149, 439, 149, 446, 150, 427, 150, 441, 
160, 150, 451, 150, 460, 149, 439, 149, 447, 150, 427, 150, 440, 
165, 150, 451, 150, 460, 150, 439, 149, 447, 150, 427, 150, 441, 
170, 150, 451, 150, 460, 150, 439, 149, 447, 150, 427, 150, 441, 
175, 150, 451, 150, 460, 149, 439, 149, 446, 150, 427, 150, 440, 
180, 150, 451, 150, 460, 149, 439, 149, 447, 150, 428, 150, 440, 
185, 150, 451, 150, 460, 150, 439, 150, 448, 150, 428, 150, 440, 
190, 150, 451, 150, 460, 149, 439, 149, 447, 150, 428, 149, 439, 
195, 150, 451, 150, 460, 149, 439, 150, 447, 150, 428, 150, 442, 
200, 150, 451, 150, 460, 149, 438, 150, 447, 150, 428, 150, 440, 
205, 150, 451, 150, 460, 149, 438, 149, 447, 150, 428, 150, 440, 
210, 150, 451, 150, 460, 149, 438, 150, 447, 150, 428, 150, 439, 
215, 150, 452, 150, 460, 150, 437, 149, 447, 150, 428, 150, 440, 
220, 150, 451, 150, 459, 149, 437, 150, 447, 150, 428, 149, 439, 
225, 150, 451, 150, 459, 149, 437, 149, 447, 150, 427, 150, 439, 
230, 150, 451, 150, 459, 149, 436, 149, 447, 150, 428, 150, 439, 
235, 150, 451, 150, 459, 150, 436, 149, 447, 150, 427, 149, 437, 
240, 150, 451, 150, 458, 149, 435, 149, 447, 150, 427, 150, 439, 
245, 150, 451, 150, 458, 149, 434, 150, 446, 150, 427, 150, 439, 
250, 150, 451, 150, 457, 149, 433, 149, 446, 150, 427, 149, 438, 
255, 150, 451, 150, 457, 150, 433, 149, 446, 150, 426, 150, 438, 
260, 150, 451, 150, 456, 149, 432, 149, 446, 150, 426, 150, 438, 
265, 150, 451, 150, 456, 149, 431, 149, 446, 150, 426, 150, 438, 
270, 150, 450, 150, 456, 149, 431, 150, 446, 150, 425, 150, 438, 
275, 150, 450, 150, 455, 149, 430, 149, 445, 150, 425, 150, 438, 
280, 150, 450, 150, 454, 149, 429, 150, 445, 150, 424, 150, 440, 
285, 150, 449, 150, 452, 149, 429, 150, 445, 150, 424, 150, 437, 
290, 150, 449, 150, 452, 149, 429, 150, 445, 150, 424, 150, 437, 
295, 150, 449, 150, 451, 149, 428, 150, 444, 150, 423, 149, 437, 
300, 150, 448, 150, 451, 149, 428, 149, 444, 150, 423, 150, 437, 
305, 150, 448, 150, 449, 149, 427, 149, 444, 150, 422, 150, 437, 
310, 150, 447, 150, 449, 149, 427, 149, 443, 150, 421, 150, 436, 
315, 150, 447, 150, 449, 150, 426, 149, 443, 150, 421, 150, 436, 
320, 150, 446, 150, 448, 149, 426, 150, 443, 150, 420, 150, 436, 
325, 150, 445, 150, 447, 149, 426, 149, 442, 150, 420, 150, 436, 
330, 150, 445, 150, 446, 149, 425, 150, 442, 150, 419, 150, 435, 
