t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 450, 150, 427, 149, 422, 150, 435, 150, 431, 150, 452, 
10, 150, 450, 150, 427, 149, 422, 150, 436, 150, 431, 150, 452, 
15, 150, 449, 150, 426, 149, 421, 150, 435, 150, 431, 150, 452, 
20, 149, 449, 149, 424, 149, 420, 149, 434, 150, 430, 150, 451, 
25, 150, 449, 150, 426, 149, 420, 149, 434, 150, 430, 150, 451, 
30, 149, 447, 150, 425, 149, 420, 150, 433, 150, 430, 150, 450, 
35, 150, 446, 150, 424, 149, 418, 150, 432, 150, 428, 150, 450, 
40, 149, 445, 150, 423, 150, 418, 149, 431, 150, 428, 150, 449, 
45, 150, 445, 150, 423, 150, 418, 150, 431, 150, 428, 149, 449, 
50, 150, 444, 150, 424, 149, 417, 150, 432, 150, 427, 150, 449, 
55, 150, 443, 150, 423, 149, 416, 149, 432, 150, 427, 150, 448, 
60, 150, 442, 150, 423, 149, 415, 149, 431, 150, 427, 150, 448, 
65, 150, 441, 150, 423, 149, 413, 149, 431, 150, 426, 149, 447, 
70, 150, 440, 150, 422, 150, 412, 149, 430, 150, 425, 150, 448, 
75, 150, 440, 150, 421, 150, 411, 150, 429, 150, 424, 150, 447, 
80, 150, 439, 150, 420, 149, 409, 149, 428, 150, 423, 150, 446, 
85, 150, 437, 150, 418, 149, 408, 149, 426, 150, 422, 150, 445, 
90, 149, 436, 150, 417, 149, 407, 149, 425, 150, 421, 150, 445, 
95, 150, 436, 150, 416, 149, 405, 149, 423, 150, 420, 150, 444, 
100, 150, 434, 150, 415, 149, 405, 150, 423, 150, 420, 150, 444, 
105, 150, 434, 150, 414, 150, 405, 150, 422, 150, 419, 150, 443, 
110, 150, 433, 150, 413, 149, 404, 149, 421, 150, 419, 150, 443, 
115, 150, 432, 150, 413, 150, 403, 149, 421, 150, 419, 150, 443, 
120, 150, 432, 149, 412, 150, 403, 149, 420, 150, 419, 150, 443, 
125, 150, 432, 150, 412, 150, 403, 150, 420, 150, 419, 150, 443, 
130, 150, 431, 150, 411, 150, 402, 149, 420, 150, 419, 150, 443, 
135, 149, 431, 150, 411, 150, 402, 150, 420, 150, 419, 149, 443, 
140, 149, 430, 150, 411, 149, 402, 150, 421, 150, 419, 150, 443, 
145, 149, 429, 150, 411, 150, 402, 150, 421, 150, 419, 149, 442, 
150, 150, 431, 150, 410, 149, 402, 149, 421, 150, 419, 150, 443, 
155, 150, 432, 150, 411, 149, 402, 149, 421, 150, 420, 149, 442, 
160, 150, 431, 150, 411, 149, 403, 150, 421, 150, 420, 150, 443, 
165, 150, 432, 150, 411, 150, 403, 149, 421, 149, 420, 149, 442, 
170, 150, 432, 150, 411, 150, 404, 149, 420, 150, 421, 150, 444, 
175, 150, 432, 150, 413, 150, 403, 149, 420, 149, 420, 149, 441, 
180, 150, 432, 150, 412, 150, 404, 149, 421, 150, 422, 150, 444, 
185, 150, 433, 150, 413, 149, 405, 149, 421, 150, 422, 150, 445, 
190, 150, 433, 150, 413, 149, 405, 149, 421, 150, 422, 149, 445, 
195, 150, 434, 150, 413, 150, 406, 149, 422, 150, 423, 150, 446, 
200, 150, 434, 150, 414, 149, 406, 149, 422, 150, 423, 150, 446, 
205, 150, 434, 150, 413, 149, 407, 149, 423, 150, 424, 149, 446, 
210, 150, 435, 150, 415, 149, 406, 150, 424, 150, 424, 150, 447, 
215, 150, 436, 150, 415, 150, 408, 149, 424, 150, 424, 149, 447, 
220, 150, 436, 149, 415, 150, 409, 149, 423, 150, 425, 150, 449, 
225, 149, 437, 150, 416, 149, 409, 149, 425, 150, 425, 150, 449, 
230, 150, 437, 150, 416, 149, 410, 149, 425, 150, 425, 150, 450, 
235, 150, 438, 149, 417, 149, 410, 150, 426, 150, 426, 150, 450, 
240, 150, 438, 150, 418, 149, 411, 149, 426, 150, 426, 150, 450, 
245, 150, 439, 150, 418, 149, 412, 149, 425, 150, 427, 149, 451, 
250, 150, 439, 150, 419, 149, 412, 150, 426, 150, 427, 150, 452, 
255, 150, 440, 150, 419, 149, 413, 149, 427, 150, 428, 150, 453, 
260, 150, 441, 150, 419, 149, 414, 149, 428, 150, 428, 150, 454, 
265, 149, 441, 150, 419, 149, 415, 150, 428, 150, 428, 149, 454, 
270, 150, 442, 150, 421, 150, 416, 149, 428, 150, 429, 150, 455, 
275, 150, 442, 150, 421, 149, 415, 149, 429, 150, 429, 150, 455, 
280, 150, 443, 150, 422, 150, 417, 149, 429, 150, 430, 150, 458, 
285, 150, 443, 150, 421, 150, 418, 150, 429, 150, 430, 150, 456, 
290, 150, 443, 149, 421, 148, 415, 149, 429, 150, 430, 150, 458, 
295, 150, 444, 149, 423, 150, 418, 150, 431, 150, 430, 150, 457, 
300, 149, 443, 150, 423, 149, 419, 149, 429, 150, 430, 150, 458, 
305, 149, 443, 150, 423, 149, 419, 149, 429, 150, 431, 149, 458, 
310, 149, 444, 150, 423, 149, 419, 149, 431, 150, 431, 150, 458, 
315, 150, 447, 150, 423, 150, 420, 149, 430, 150, 431, 150, 459, 
320, 150, 445, 150, 424, 149, 421, 150, 430, 150, 431, 150, 460, 
325, 150, 445, 150, 424, 150, 421, 149, 431, 150, 431, 150, 460, 
330, 150, 446, 149, 423, 150, 421, 149, 432, 150, 431, 150, 462, 
