t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 468, 150, 461, 150, 453, 149, 464, 150, 463, 150, 468, 
10, 150, 468, 150, 462, 149, 453, 150, 465, 150, 463, 150, 468, 
15, 150, 470, 150, 463, 149, 454, 150, 465, 149, 463, 150, 469, 
20, 150, 470, 150, 464, 149, 455, 149, 466, 149, 465, 149, 468, 
25, 150, 471, 150, 464, 149, 455, 150, 466, 149, 465, 150, 469, 
30, 150, 472, 150, 464, 149, 456, 150, 467, 150, 467, 150, 469, 
35, 150, 471, 150, 463, 149, 454, 149, 466, 150, 465, 150, 467, 
40, 150, 469, 150, 464, 150, 453, 149, 463, 150, 464, 150, 465, 
45, 150, 468, 150, 461, 149, 452, 149, 461, 150, 463, 150, 467, 
50, 150, 468, 150, 461, 149, 451, 149, 460, 150, 462, 150, 464, 
55, 150, 467, 150, 459, 150, 451, 150, 459, 150, 461, 150, 463, 
60, 150, 466, 150, 459, 149, 449, 150, 458, 150, 460, 150, 462, 
65, 150, 465, 150, 459, 149, 448, 150, 457, 150, 458, 150, 461, 
70, 150, 464, 150, 459, 149, 447, 150, 454, 150, 457, 150, 460, 
75, 150, 463, 150, 459, 150, 446, 149, 454, 150, 455, 150, 458, 
80, 150, 461, 150, 458, 150, 443, 150, 452, 150, 454, 149, 458, 
85, 150, 460, 150, 457, 149, 441, 150, 451, 150, 452, 150, 456, 
90, 150, 458, 150, 456, 150, 440, 150, 448, 150, 451, 150, 455, 
95, 150, 456, 149, 454, 149, 438, 150, 447, 150, 450, 150, 454, 
100, 150, 455, 150, 453, 149, 436, 149, 445, 150, 449, 150, 453, 
105, 150, 453, 150, 451, 150, 435, 150, 445, 150, 448, 150, 452, 
110, 150, 452, 150, 450, 149, 434, 149, 442, 150, 447, 150, 452, 
115, 150, 451, 149, 447, 149, 434, 149, 441, 150, 446, 150, 452, 
120, 150, 450, 150, 447, 150, 432, 149, 441, 150, 445, 150, 451, 
125, 150, 449, 150, 446, 150, 433, 150, 441, 150, 445, 150, 451, 
130, 150, 448, 150, 445, 150, 432, 149, 440, 150, 445, 150, 451, 
135, 150, 448, 150, 444, 150, 431, 150, 440, 150, 444, 150, 450, 
140, 150, 447, 150, 444, 150, 432, 149, 439, 150, 444, 150, 450, 
145, 150, 447, 150, 443, 149, 432, 150, 439, 150, 444, 151, 453, 
150, 150, 447, 150, 443, 150, 431, 149, 440, 150, 444, 150, 451, 
155, 150, 447, 150, 442, 150, 432, 149, 439, 150, 444, 150, 451, 
160, 150, 446, 150, 441, 149, 431, 150, 439, 150, 444, 150, 451, 
165, 150, 446, 150, 442, 150, 431, 149, 440, 150, 445, 150, 451, 
170, 150, 447, 150, 440, 150, 432, 150, 440, 150, 445, 150, 452, 
175, 150, 447, 149, 441, 149, 430, 149, 439, 150, 445, 149, 452, 
180, 150, 447, 149, 440, 149, 433, 150, 441, 150, 445, 150, 453, 
185, 150, 447, 150, 441, 150, 433, 150, 440, 150, 446, 149, 453, 
190, 150, 448, 150, 441, 149, 434, 149, 441, 150, 446, 150, 454, 
195, 150, 448, 149, 441, 150, 434, 150, 440, 150, 447, 150, 455, 
200, 150, 449, 150, 442, 150, 435, 149, 441, 150, 447, 149, 454, 
205, 150, 449, 150, 441, 150, 435, 149, 442, 150, 448, 149, 455, 
210, 150, 450, 150, 442, 149, 436, 149, 443, 150, 448, 149, 453, 
215, 150, 450, 150, 442, 150, 437, 150, 443, 150, 449, 150, 457, 
220, 150, 450, 150, 441, 149, 436, 149, 443, 150, 450, 149, 455, 
225, 150, 451, 150, 441, 149, 437, 150, 444, 150, 450, 150, 458, 
230, 150, 451, 150, 441, 149, 438, 149, 444, 150, 451, 149, 457, 
235, 150, 452, 150, 441, 149, 438, 149, 445, 150, 451, 150, 460, 
240, 150, 452, 150, 443, 150, 439, 150, 445, 150, 451, 149, 457, 
245, 150, 452, 150, 442, 149, 439, 149, 446, 150, 452, 150, 460, 
250, 150, 453, 150, 442, 149, 440, 149, 445, 150, 453, 150, 461, 
255, 150, 453, 150, 442, 149, 441, 150, 446, 150, 453, 150, 462, 
260, 150, 453, 150, 443, 149, 441, 149, 446, 150, 453, 150, 462, 
265, 150, 453, 150, 442, 149, 442, 149, 448, 150, 454, 150, 463, 
270, 150, 454, 150, 443, 150, 443, 150, 448, 150, 455, 150, 463, 
275, 150, 454, 150, 444, 149, 443, 149, 448, 150, 455, 150, 464, 
280, 150, 454, 150, 443, 149, 444, 149, 448, 150, 456, 150, 464, 
285, 150, 454, 150, 442, 149, 444, 150, 449, 150, 456, 150, 465, 
290, 150, 454, 150, 443, 149, 444, 150, 448, 150, 456, 150, 465, 
295, 150, 455, 150, 442, 150, 444, 150, 449, 150, 457, 150, 467, 
300, 150, 455, 150, 444, 149, 445, 149, 450, 150, 457, 150, 465, 
305, 150, 455, 149, 441, 149, 445, 150, 451, 150, 457, 150, 468, 
310, 150, 456, 150, 444, 150, 445, 149, 451, 150, 458, 150, 465, 
315, 150, 455, 149, 442, 149, 444, 149, 451, 150, 458, 150, 465, 
320, 150, 456, 150, 443, 150, 445, 150, 451, 150, 458, 150, 465, 
325, 150, 457, 150, 443, 150, 445, 150, 451, 150, 458, 150, 466, 
330, 150, 457, 150, 444, 149, 445, 150, 452, 150, 461, 150, 466, 
