t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 506, 150, 505, 150, 499, 149, 495, 150, 491, 150, 499, 
10, 150, 512, 150, 512, 149, 504, 150, 500, 150, 494, 150, 501, 
15, 150, 515, 150, 515, 150, 508, 149, 502, 150, 496, 150, 504, 
20, 150, 517, 150, 518, 150, 511, 150, 505, 150, 496, 150, 502, 
25, 150, 519, 150, 520, 149, 512, 149, 505, 150, 498, 150, 503, 
30, 150, 519, 150, 520, 149, 514, 149, 506, 150, 498, 150, 503, 
35, 150, 521, 150, 522, 150, 516, 149, 507, 150, 499, 150, 505, 
40, 150, 521, 150, 522, 149, 515, 149, 508, 150, 499, 150, 504, 
45, 150, 521, 150, 523, 150, 515, 149, 506, 150, 498, 150, 504, 
50, 150, 520, 150, 521, 149, 514, 149, 506, 150, 499, 150, 505, 
55, 150, 520, 150, 520, 149, 513, 149, 506, 150, 497, 150, 501, 
60, 150, 519, 150, 517, 149, 513, 149, 504, 150, 497, 150, 500, 
65, 150, 518, 150, 515, 149, 512, 149, 502, 150, 496, 150, 498, 
70, 150, 516, 150, 514, 149, 511, 150, 499, 149, 495, 150, 497, 
75, 150, 514, 150, 512, 149, 510, 149, 498, 150, 494, 150, 496, 
80, 150, 512, 150, 511, 150, 507, 149, 497, 150, 493, 149, 494, 
85, 150, 509, 150, 509, 151, 509, 150, 494, 150, 492, 150, 494, 
90, 150, 508, 150, 509, 150, 503, 150, 493, 150, 490, 150, 494, 
95, 150, 506, 150, 508, 149, 501, 149, 491, 150, 489, 150, 493, 
100, 150, 505, 150, 508, 149, 499, 149, 491, 150, 488, 150, 492, 
105, 150, 504, 150, 508, 150, 498, 149, 488, 150, 487, 150, 494, 
110, 150, 503, 150, 508, 150, 497, 149, 487, 150, 485, 150, 492, 
115, 150, 502, 150, 508, 150, 495, 149, 487, 150, 485, 150, 492, 
120, 150, 501, 150, 508, 149, 495, 149, 486, 150, 484, 150, 491, 
125, 150, 501, 150, 508, 149, 494, 149, 487, 149, 482, 150, 491, 
130, 150, 501, 150, 508, 150, 494, 149, 485, 150, 482, 149, 489, 
135, 150, 500, 150, 509, 149, 491, 149, 485, 149, 481, 150, 489, 
140, 150, 500, 150, 509, 149, 494, 149, 485, 150, 481, 150, 488, 
145, 150, 500, 150, 509, 148, 488, 149, 486, 150, 481, 150, 488, 
150, 150, 500, 150, 510, 150, 495, 149, 487, 150, 481, 150, 488, 
155, 150, 500, 150, 509, 150, 495, 150, 487, 150, 481, 150, 488, 
160, 150, 501, 150, 511, 149, 494, 150, 488, 150, 481, 150, 487, 
165, 150, 501, 150, 511, 149, 495, 150, 487, 150, 481, 150, 487, 
170, 150, 501, 150, 511, 150, 495, 149, 488, 150, 481, 150, 488, 
175, 150, 502, 150, 511, 149, 495, 149, 488, 150, 481, 150, 487, 
180, 150, 502, 150, 512, 149, 496, 149, 489, 150, 482, 150, 488, 
185, 150, 502, 150, 512, 149, 496, 150, 489, 150, 482, 150, 488, 
190, 150, 502, 150, 513, 149, 496, 149, 489, 150, 483, 150, 488, 
195, 150, 503, 150, 513, 149, 494, 150, 489, 150, 483, 150, 488, 
200, 150, 503, 150, 514, 150, 497, 149, 490, 150, 483, 150, 489, 
205, 150, 504, 150, 514, 149, 498, 149, 491, 150, 484, 150, 489, 
210, 150, 504, 150, 514, 150, 498, 149, 492, 150, 485, 150, 489, 
215, 150, 504, 150, 514, 150, 499, 149, 491, 150, 485, 150, 490, 
220, 150, 504, 150, 513, 149, 500, 150, 491, 150, 485, 150, 490, 
225, 150, 504, 150, 513, 149, 501, 149, 491, 150, 486, 150, 491, 
230, 150, 505, 150, 513, 149, 501, 149, 493, 150, 486, 150, 492, 
235, 150, 505, 150, 511, 149, 501, 149, 493, 150, 486, 150, 492, 
240, 150, 505, 150, 510, 150, 503, 149, 493, 150, 486, 150, 493, 
245, 150, 506, 150, 510, 149, 502, 149, 493, 150, 486, 150, 494, 
250, 150, 506, 150, 509, 149, 503, 149, 495, 150, 486, 150, 495, 
255, 150, 507, 150, 507, 149, 502, 150, 495, 150, 487, 149, 496, 
260, 150, 507, 150, 507, 149, 503, 149, 495, 150, 487, 150, 496, 
265, 150, 508, 149, 504, 149, 503, 149, 494, 149, 484, 150, 497, 
270, 150, 508, 150, 505, 150, 503, 150, 495, 150, 487, 150, 498, 
275, 150, 509, 150, 504, 150, 504, 149, 493, 150, 487, 150, 498, 
280, 150, 509, 150, 503, 149, 504, 149, 494, 150, 487, 150, 500, 
285, 150, 509, 150, 502, 149, 504, 149, 494, 150, 487, 150, 502, 
290, 150, 509, 150, 500, 150, 504, 149, 494, 150, 487, 150, 502, 
295, 150, 510, 150, 501, 150, 504, 149, 494, 150, 487, 150, 503, 
300, 150, 510, 150, 498, 150, 505, 149, 494, 150, 487, 150, 504, 
305, 150, 511, 150, 497, 149, 505, 149, 495, 150, 487, 150, 505, 
310, 150, 511, 150, 496, 150, 506, 149, 494, 150, 487, 150, 505, 
315, 150, 511, 150, 494, 149, 505, 149, 495, 150, 487, 150, 506, 
320, 150, 511, 149, 491, 150, 506, 150, 495, 150, 487, 150, 507, 
325, 150, 510, 149, 491, 149, 506, 149, 494, 150, 487, 149, 507, 
330, 150, 510, 150, 491, 149, 507, 149, 494, 150, 487, 150, 508, 
