t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 472, 150, 483, 149, 463, 150, 470, 150, 462, 150, 456, 
10, 150, 476, 150, 488, 149, 468, 150, 472, 150, 465, 150, 457, 
15, 150, 479, 150, 490, 150, 470, 149, 473, 150, 466, 150, 457, 
20, 150, 480, 150, 492, 150, 472, 149, 475, 150, 466, 150, 457, 
25, 150, 481, 150, 494, 149, 473, 149, 475, 150, 466, 150, 457, 
30, 150, 482, 150, 495, 150, 474, 149, 476, 150, 467, 150, 458, 
35, 150, 483, 150, 495, 150, 474, 149, 477, 150, 467, 150, 458, 
40, 150, 484, 150, 496, 149, 475, 149, 477, 150, 467, 150, 459, 
45, 150, 484, 150, 497, 150, 476, 149, 476, 150, 467, 150, 458, 
50, 150, 484, 150, 498, 149, 475, 150, 477, 150, 467, 150, 458, 
55, 150, 484, 150, 498, 149, 476, 149, 476, 150, 467, 150, 458, 
60, 150, 484, 150, 498, 149, 475, 150, 477, 150, 467, 150, 458, 
65, 150, 483, 150, 496, 150, 475, 149, 476, 150, 466, 150, 457, 
70, 150, 483, 150, 493, 149, 475, 149, 476, 150, 465, 150, 456, 
75, 150, 482, 150, 491, 149, 473, 150, 476, 150, 464, 150, 454, 
80, 150, 480, 150, 489, 150, 473, 149, 475, 150, 463, 150, 453, 
85, 150, 479, 150, 488, 149, 471, 149, 474, 150, 462, 150, 452, 
90, 150, 477, 150, 486, 150, 471, 150, 472, 150, 462, 150, 452, 
95, 150, 476, 150, 485, 150, 470, 149, 469, 150, 461, 150, 451, 
100, 150, 474, 150, 484, 150, 469, 149, 468, 150, 461, 150, 452, 
105, 150, 473, 150, 485, 149, 468, 149, 466, 150, 458, 150, 451, 
110, 150, 472, 150, 484, 149, 467, 149, 465, 150, 457, 150, 451, 
115, 150, 471, 150, 484, 150, 466, 150, 464, 149, 456, 150, 450, 
120, 150, 471, 150, 483, 149, 465, 149, 463, 150, 455, 150, 450, 
125, 150, 470, 150, 484, 150, 464, 149, 460, 150, 455, 150, 450, 
130, 150, 470, 150, 483, 150, 464, 149, 461, 150, 455, 150, 449, 
135, 150, 469, 150, 483, 149, 463, 149, 459, 150, 454, 150, 449, 
140, 150, 469, 150, 483, 149, 463, 149, 458, 149, 453, 150, 449, 
145, 150, 468, 150, 483, 149, 463, 149, 458, 150, 454, 150, 449, 
150, 150, 468, 150, 483, 149, 462, 150, 457, 149, 452, 150, 448, 
155, 150, 468, 150, 484, 149, 462, 150, 457, 150, 453, 150, 448, 
160, 150, 468, 150, 484, 150, 462, 149, 457, 150, 453, 150, 448, 
165, 150, 468, 150, 484, 149, 462, 149, 457, 150, 454, 150, 447, 
170, 150, 467, 150, 484, 149, 462, 149, 457, 149, 452, 150, 447, 
175, 150, 468, 150, 484, 149, 462, 150, 457, 150, 453, 150, 447, 
180, 150, 468, 150, 485, 149, 463, 150, 457, 150, 453, 150, 447, 
185, 150, 468, 150, 485, 149, 463, 149, 457, 150, 453, 150, 447, 
190, 150, 468, 150, 485, 150, 463, 150, 458, 150, 454, 150, 447, 
195, 150, 468, 150, 485, 149, 463, 149, 458, 150, 453, 150, 447, 
200, 150, 468, 150, 485, 150, 463, 149, 457, 150, 454, 150, 447, 
205, 150, 468, 150, 485, 149, 463, 149, 457, 150, 453, 150, 448, 
210, 150, 468, 150, 486, 149, 463, 149, 458, 150, 454, 150, 448, 
215, 150, 468, 150, 485, 149, 463, 149, 458, 150, 453, 150, 448, 
220, 150, 468, 150, 486, 149, 463, 149, 458, 150, 454, 150, 448, 
225, 150, 469, 150, 485, 149, 463, 149, 458, 150, 453, 150, 448, 
230, 150, 469, 150, 485, 149, 463, 150, 458, 150, 454, 150, 448, 
235, 150, 469, 150, 485, 149, 463, 149, 457, 150, 454, 150, 448, 
240, 150, 469, 150, 485, 149, 462, 149, 458, 150, 454, 150, 448, 
245, 150, 470, 150, 483, 149, 462, 149, 458, 150, 455, 150, 449, 
250, 150, 470, 150, 484, 150, 462, 150, 458, 150, 455, 150, 449, 
255, 150, 470, 150, 484, 150, 462, 149, 457, 150, 455, 150, 449, 
260, 150, 470, 150, 484, 149, 462, 149, 457, 150, 455, 149, 449, 
265, 150, 470, 150, 482, 150, 462, 150, 457, 149, 455, 150, 449, 
270, 150, 470, 150, 483, 149, 461, 149, 455, 150, 456, 149, 448, 
275, 150, 470, 150, 481, 149, 462, 149, 456, 150, 456, 149, 448, 
280, 150, 470, 150, 482, 150, 463, 149, 456, 149, 454, 149, 449, 
285, 150, 470, 150, 481, 149, 461, 150, 455, 150, 457, 150, 449, 
290, 150, 470, 150, 480, 149, 461, 149, 455, 149, 456, 150, 450, 
295, 150, 470, 150, 478, 149, 461, 149, 453, 150, 457, 150, 449, 
300, 150, 470, 150, 477, 149, 461, 150, 454, 149, 456, 150, 449, 
305, 150, 469, 150, 477, 149, 460, 149, 453, 150, 457, 149, 450, 
310, 150, 469, 150, 477, 149, 460, 150, 453, 150, 457, 150, 450, 
315, 150, 469, 150, 475, 150, 460, 150, 452, 150, 457, 150, 449, 
320, 150, 470, 150, 473, 149, 460, 150, 452, 150, 458, 149, 449, 
325, 150, 469, 150, 472, 149, 460, 149, 450, 150, 458, 150, 449, 
330, 150, 469, 150, 471, 150, 459, 149, 450, 150, 458, 150, 451, 
