t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 497, 150, 235, 149, 490, 150, 481, 150, 500, 150, 488, 
10, 150, 501, 150, 473, 149, 489, 149, 486, 150, 505, 150, 492, 
15, 150, 504, 150, 473, 150, 490, 149, 489, 150, 509, 150, 495, 
20, 150, 507, 150, 475, 149, 489, 149, 491, 150, 512, 150, 498, 
25, 150, 507, 150, 473, 149, 485, 149, 493, 150, 514, 150, 499, 
30, 150, 507, 150, 475, 149, 484, 149, 493, 150, 515, 150, 501, 
35, 150, 508, 150, 478, 149, 482, 150, 494, 150, 517, 150, 501, 
40, 150, 509, 150, 476, 150, 481, 149, 495, 150, 518, 150, 502, 
45, 150, 507, 150, 480, 149, 480, 150, 488, 150, 504, 150, 481, 
50, 150, 503, 150, 479, 149, 482, 150, 484, 150, 501, 150, 484, 
55, 150, 502, 150, 478, 149, 488, 149, 483, 150, 497, 150, 483, 
60, 150, 502, 150, 479, 149, 490, 149, 482, 150, 494, 150, 481, 
65, 150, 501, 150, 481, 150, 488, 150, 482, 150, 492, 150, 479, 
70, 150, 499, 150, 478, 149, 486, 149, 481, 150, 489, 150, 477, 
75, 150, 499, 150, 478, 150, 485, 149, 479, 150, 488, 150, 476, 
80, 150, 498, 150, 476, 150, 483, 149, 477, 150, 486, 150, 475, 
85, 150, 495, 150, 478, 149, 486, 149, 476, 150, 484, 149, 474, 
90, 150, 496, 149, 478, 150, 485, 150, 474, 150, 483, 150, 473, 
95, 150, 495, 150, 475, 149, 481, 150, 472, 150, 482, 150, 472, 
100, 150, 494, 150, 475, 150, 481, 149, 471, 150, 481, 150, 472, 
105, 150, 492, 150, 473, 149, 478, 150, 470, 150, 480, 150, 471, 
110, 150, 492, 150, 473, 150, 479, 149, 468, 150, 479, 150, 471, 
115, 150, 491, 149, 472, 150, 479, 149, 467, 150, 479, 150, 471, 
120, 150, 490, 150, 473, 149, 480, 150, 466, 150, 479, 150, 471, 
125, 150, 490, 150, 473, 150, 480, 149, 466, 150, 479, 150, 470, 
130, 150, 488, 149, 473, 150, 481, 149, 465, 150, 478, 150, 470, 
135, 150, 488, 150, 470, 149, 483, 149, 464, 150, 478, 150, 470, 
140, 150, 488, 150, 470, 149, 485, 149, 464, 150, 478, 150, 470, 
145, 150, 487, 149, 470, 150, 484, 149, 463, 150, 478, 150, 470, 
150, 150, 488, 150, 467, 150, 485, 149, 464, 150, 478, 150, 469, 
155, 150, 487, 150, 467, 149, 486, 149, 463, 150, 479, 150, 470, 
160, 150, 488, 149, 467, 149, 487, 150, 463, 150, 479, 150, 469, 
165, 150, 487, 150, 466, 150, 489, 150, 463, 150, 479, 150, 470, 
170, 150, 487, 150, 468, 150, 487, 150, 463, 150, 480, 150, 470, 
175, 150, 486, 150, 464, 150, 488, 150, 463, 150, 480, 150, 470, 
180, 150, 487, 149, 464, 150, 489, 150, 463, 150, 480, 150, 471, 
185, 150, 488, 150, 464, 149, 487, 149, 463, 150, 481, 150, 470, 
190, 150, 487, 150, 464, 149, 486, 150, 463, 150, 481, 149, 470, 
195, 150, 488, 150, 463, 149, 488, 150, 463, 150, 481, 150, 471, 
200, 150, 488, 150, 462, 149, 490, 150, 464, 150, 481, 150, 471, 
205, 150, 486, 150, 464, 149, 489, 150, 463, 150, 481, 150, 471, 
210, 150, 488, 150, 461, 149, 487, 149, 464, 150, 481, 150, 472, 
215, 150, 487, 150, 462, 149, 488, 149, 464, 150, 481, 150, 472, 
220, 150, 488, 150, 464, 149, 486, 149, 464, 150, 482, 150, 473, 
225, 149, 487, 150, 463, 150, 488, 149, 464, 150, 482, 150, 473, 
230, 150, 487, 150, 461, 150, 487, 149, 465, 150, 482, 150, 473, 
235, 150, 487, 150, 459, 149, 489, 149, 465, 150, 482, 149, 473, 
240, 150, 487, 150, 460, 149, 489, 150, 465, 150, 482, 150, 474, 
245, 150, 489, 150, 460, 149, 489, 149, 465, 150, 482, 150, 474, 
250, 150, 488, 150, 460, 149, 489, 149, 465, 150, 482, 149, 474, 
255, 150, 488, 150, 457, 150, 490, 149, 466, 150, 482, 149, 474, 
260, 150, 488, 150, 460, 149, 489, 150, 467, 150, 483, 150, 474, 
265, 150, 487, 150, 459, 149, 490, 149, 466, 150, 483, 150, 474, 
270, 150, 488, 150, 457, 149, 487, 149, 466, 150, 482, 150, 475, 
275, 150, 489, 150, 455, 149, 489, 150, 467, 150, 482, 150, 474, 
280, 150, 489, 150, 453, 149, 493, 149, 467, 150, 482, 150, 474, 
285, 150, 489, 150, 452, 149, 492, 150, 466, 150, 482, 150, 474, 
290, 150, 490, 150, 453, 150, 492, 150, 466, 150, 482, 150, 474, 
295, 150, 488, 150, 451, 149, 493, 149, 466, 150, 482, 150, 473, 
300, 150, 487, 150, 452, 150, 494, 149, 466, 150, 482, 150, 473, 
305, 150, 488, 150, 451, 150, 492, 149, 466, 150, 482, 150, 473, 
310, 150, 488, 150, 454, 149, 494, 150, 465, 150, 482, 150, 472, 
315, 150, 488, 150, 453, 150, 492, 150, 465, 150, 481, 150, 472, 
320, 150, 488, 150, 452, 149, 492, 149, 464, 150, 482, 150, 472, 
325, 150, 487, 150, 453, 149, 494, 149, 465, 150, 483, 150, 473, 
330, 150, 487, 150, 453, 150, 493, 149, 463, 150, 483, 150, 473, 
