t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 476, 150, 464, 149, 458, 149, 466, 150, 462, 150, 463, 
10, 150, 476, 150, 465, 149, 457, 149, 466, 150, 462, 150, 463, 
15, 150, 476, 150, 464, 149, 458, 150, 466, 150, 462, 150, 463, 
20, 150, 476, 150, 465, 150, 458, 150, 466, 150, 462, 150, 462, 
25, 150, 476, 150, 464, 149, 457, 149, 465, 150, 462, 150, 462, 
30, 150, 476, 149, 462, 149, 457, 149, 465, 150, 462, 150, 462, 
35, 150, 476, 150, 464, 149, 457, 149, 465, 150, 463, 150, 463, 
40, 150, 476, 150, 464, 149, 457, 149, 465, 150, 462, 150, 462, 
45, 150, 476, 150, 464, 149, 458, 149, 466, 150, 462, 150, 462, 
50, 150, 476, 150, 465, 150, 458, 150, 465, 150, 462, 150, 461, 
55, 150, 476, 150, 464, 150, 459, 149, 465, 150, 461, 150, 461, 
60, 150, 476, 150, 465, 149, 457, 150, 465, 150, 460, 150, 460, 
65, 150, 475, 150, 465, 150, 456, 149, 464, 150, 460, 150, 459, 
70, 150, 475, 150, 464, 149, 454, 150, 463, 150, 458, 150, 459, 
75, 150, 473, 149, 462, 149, 453, 149, 461, 150, 457, 150, 458, 
80, 150, 472, 150, 463, 149, 451, 149, 459, 150, 456, 150, 457, 
85, 150, 471, 149, 461, 149, 450, 149, 458, 150, 454, 151, 460, 
90, 150, 470, 150, 462, 149, 449, 149, 456, 150, 453, 150, 455, 
95, 150, 469, 150, 461, 149, 448, 149, 455, 150, 452, 150, 454, 
100, 150, 468, 150, 461, 149, 447, 150, 454, 150, 452, 150, 453, 
105, 150, 468, 150, 460, 149, 447, 149, 453, 150, 451, 150, 453, 
110, 150, 467, 150, 460, 150, 446, 149, 452, 150, 450, 150, 452, 
115, 150, 467, 150, 458, 149, 446, 150, 451, 150, 450, 150, 451, 
120, 150, 466, 150, 458, 150, 445, 150, 450, 150, 449, 150, 451, 
125, 150, 466, 150, 457, 149, 444, 150, 450, 150, 449, 150, 450, 
130, 150, 466, 150, 457, 149, 445, 149, 449, 150, 448, 150, 450, 
135, 150, 466, 150, 456, 150, 444, 149, 449, 150, 448, 150, 450, 
140, 150, 466, 149, 453, 149, 444, 149, 448, 150, 447, 150, 449, 
145, 150, 465, 149, 454, 149, 443, 149, 448, 150, 447, 149, 449, 
150, 150, 465, 150, 455, 149, 443, 150, 447, 150, 447, 150, 449, 
155, 150, 465, 150, 455, 149, 442, 149, 447, 150, 447, 150, 449, 
160, 150, 465, 150, 454, 149, 442, 149, 447, 150, 446, 150, 449, 
165, 150, 465, 150, 454, 149, 442, 150, 447, 150, 446, 150, 449, 
170, 150, 465, 150, 453, 149, 442, 149, 447, 150, 446, 150, 449, 
175, 150, 465, 150, 454, 149, 442, 150, 447, 150, 446, 150, 449, 
180, 150, 465, 150, 453, 149, 442, 150, 447, 150, 446, 150, 449, 
185, 150, 465, 150, 454, 149, 442, 150, 447, 150, 446, 150, 449, 
190, 150, 465, 150, 453, 150, 442, 149, 448, 150, 446, 150, 449, 
195, 150, 465, 150, 453, 149, 442, 149, 447, 150, 445, 150, 449, 
200, 150, 465, 149, 452, 149, 442, 149, 448, 150, 445, 150, 449, 
205, 150, 465, 150, 452, 149, 443, 150, 447, 150, 445, 149, 449, 
210, 150, 465, 150, 452, 149, 442, 150, 447, 150, 445, 151, 453, 
215, 150, 464, 150, 452, 149, 442, 150, 447, 150, 445, 150, 449, 
220, 150, 465, 150, 452, 150, 443, 150, 447, 150, 445, 150, 449, 
225, 150, 465, 150, 451, 149, 442, 149, 447, 150, 446, 149, 448, 
230, 150, 465, 150, 451, 149, 443, 149, 448, 150, 445, 150, 450, 
235, 150, 465, 150, 450, 149, 443, 149, 447, 150, 445, 150, 449, 
240, 150, 465, 150, 450, 149, 443, 149, 447, 150, 445, 149, 450, 
245, 150, 465, 150, 450, 149, 443, 149, 447, 150, 445, 149, 449, 
250, 150, 464, 150, 450, 149, 443, 149, 447, 150, 445, 150, 450, 
255, 150, 464, 150, 448, 149, 443, 149, 447, 150, 444, 150, 450, 
260, 150, 464, 149, 446, 150, 444, 149, 447, 150, 444, 149, 448, 
265, 150, 465, 150, 448, 149, 444, 150, 447, 150, 444, 150, 449, 
270, 150, 464, 150, 447, 149, 444, 149, 446, 149, 444, 150, 449, 
275, 150, 464, 150, 446, 149, 444, 150, 447, 150, 444, 150, 449, 
280, 150, 464, 150, 446, 149, 444, 150, 446, 150, 444, 150, 449, 
285, 150, 464, 150, 446, 149, 444, 149, 446, 150, 443, 150, 450, 
290, 150, 464, 150, 446, 149, 444, 149, 446, 150, 443, 150, 450, 
295, 150, 464, 150, 446, 149, 444, 149, 446, 150, 442, 150, 449, 
300, 150, 464, 150, 445, 149, 444, 149, 445, 150, 442, 150, 449, 
305, 150, 464, 150, 444, 150, 444, 149, 445, 150, 442, 150, 449, 
310, 150, 463, 150, 445, 149, 444, 149, 445, 150, 441, 150, 449, 
315, 150, 463, 150, 443, 150, 445, 149, 445, 150, 441, 150, 448, 
320, 150, 463, 150, 443, 149, 444, 150, 444, 150, 441, 150, 449, 
325, 150, 463, 150, 443, 149, 445, 150, 445, 150, 440, 150, 448, 
330, 150, 462, 150, 442, 149, 444, 150, 444, 150, 440, 150, 448, 
