t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 469, 150, 462, 149, 447, 149, 453, 150, 456, 150, 458, 
10, 150, 474, 150, 466, 149, 452, 149, 456, 150, 459, 150, 460, 
15, 150, 476, 150, 469, 149, 451, 149, 458, 150, 460, 150, 460, 
20, 150, 478, 150, 470, 149, 454, 149, 459, 150, 460, 150, 460, 
25, 150, 479, 150, 472, 150, 455, 150, 459, 149, 459, 150, 459, 
30, 150, 479, 150, 472, 149, 455, 150, 459, 150, 460, 150, 459, 
35, 150, 480, 150, 473, 149, 456, 149, 460, 150, 460, 150, 460, 
40, 150, 480, 150, 473, 149, 456, 150, 460, 150, 459, 150, 461, 
45, 150, 480, 150, 474, 149, 457, 149, 460, 150, 458, 150, 460, 
50, 150, 479, 150, 474, 149, 457, 149, 460, 150, 457, 150, 460, 
55, 150, 478, 150, 474, 150, 457, 149, 460, 150, 456, 150, 457, 
60, 150, 476, 150, 473, 150, 456, 150, 460, 150, 456, 150, 457, 
65, 150, 474, 150, 472, 149, 454, 150, 459, 149, 455, 150, 456, 
70, 150, 472, 150, 470, 149, 452, 150, 458, 150, 454, 150, 455, 
75, 150, 471, 150, 468, 149, 450, 149, 456, 149, 449, 150, 453, 
80, 150, 470, 150, 467, 149, 449, 150, 454, 150, 450, 150, 454, 
85, 150, 469, 150, 465, 149, 446, 150, 454, 150, 448, 150, 452, 
90, 150, 468, 150, 464, 149, 446, 149, 453, 150, 447, 150, 452, 
95, 150, 467, 150, 463, 149, 444, 149, 452, 150, 446, 150, 450, 
100, 150, 467, 150, 463, 149, 444, 150, 451, 150, 445, 150, 450, 
105, 150, 467, 150, 463, 149, 442, 149, 450, 150, 445, 150, 449, 
110, 150, 466, 150, 463, 149, 442, 149, 449, 150, 445, 150, 448, 
115, 150, 466, 150, 463, 149, 441, 150, 449, 149, 444, 150, 449, 
120, 150, 466, 150, 463, 151, 444, 149, 448, 150, 444, 150, 448, 
125, 150, 466, 150, 463, 150, 440, 149, 447, 150, 445, 150, 448, 
130, 150, 466, 150, 463, 150, 440, 149, 448, 150, 445, 150, 448, 
135, 150, 466, 150, 464, 149, 440, 150, 447, 150, 445, 150, 448, 
140, 150, 467, 150, 465, 150, 440, 149, 447, 150, 446, 150, 448, 
145, 150, 467, 150, 465, 149, 437, 149, 446, 150, 446, 150, 449, 
150, 150, 468, 150, 466, 149, 440, 150, 447, 150, 446, 150, 449, 
155, 150, 468, 150, 468, 150, 443, 149, 447, 150, 447, 150, 449, 
160, 150, 469, 150, 469, 149, 440, 149, 447, 150, 448, 150, 450, 
165, 150, 470, 150, 471, 150, 440, 150, 447, 150, 448, 150, 450, 
170, 150, 471, 150, 472, 149, 441, 149, 447, 150, 450, 150, 450, 
175, 150, 472, 150, 473, 149, 441, 149, 446, 150, 450, 150, 450, 
180, 150, 473, 150, 474, 150, 442, 149, 447, 150, 451, 150, 450, 
185, 150, 474, 150, 476, 149, 442, 150, 447, 150, 452, 150, 451, 
190, 150, 474, 150, 477, 149, 442, 149, 447, 150, 453, 150, 452, 
195, 150, 475, 150, 478, 149, 443, 149, 447, 150, 452, 150, 452, 
200, 150, 476, 150, 480, 150, 444, 149, 448, 150, 453, 149, 452, 
205, 150, 476, 150, 481, 150, 444, 150, 448, 150, 453, 150, 453, 
210, 150, 477, 150, 482, 149, 444, 149, 448, 150, 453, 150, 453, 
215, 150, 478, 150, 483, 149, 445, 149, 449, 149, 453, 150, 454, 
220, 150, 478, 150, 484, 150, 446, 150, 449, 150, 455, 150, 455, 
225, 150, 478, 150, 485, 149, 446, 150, 449, 150, 455, 150, 455, 
230, 150, 479, 150, 485, 149, 446, 149, 448, 150, 455, 150, 456, 
235, 150, 479, 150, 487, 149, 447, 149, 449, 150, 456, 150, 456, 
240, 150, 480, 150, 487, 150, 446, 150, 449, 150, 456, 150, 457, 
245, 150, 480, 150, 487, 149, 447, 149, 449, 150, 457, 150, 457, 
250, 150, 480, 150, 488, 149, 446, 149, 449, 150, 456, 150, 458, 
255, 150, 481, 150, 489, 150, 447, 149, 449, 150, 457, 150, 459, 
260, 150, 481, 150, 489, 150, 448, 150, 449, 150, 457, 150, 459, 
265, 150, 481, 150, 488, 149, 446, 150, 449, 150, 457, 150, 460, 
270, 150, 482, 150, 489, 149, 446, 149, 449, 150, 457, 150, 461, 
275, 150, 482, 150, 490, 149, 446, 149, 449, 150, 457, 150, 461, 
280, 150, 482, 150, 490, 149, 446, 150, 448, 150, 457, 150, 461, 
285, 150, 482, 150, 491, 149, 446, 150, 448, 150, 456, 150, 462, 
290, 150, 483, 150, 491, 150, 446, 149, 448, 150, 456, 150, 463, 
295, 150, 482, 150, 491, 150, 446, 149, 447, 150, 456, 150, 464, 
300, 150, 483, 150, 492, 150, 446, 149, 448, 150, 455, 150, 466, 
305, 150, 485, 150, 493, 150, 446, 150, 448, 150, 455, 150, 467, 
310, 150, 482, 150, 493, 149, 445, 149, 447, 150, 455, 150, 466, 
315, 150, 482, 150, 493, 149, 445, 149, 447, 150, 454, 150, 467, 
320, 150, 481, 150, 492, 150, 446, 149, 447, 150, 454, 150, 466, 
325, 150, 481, 150, 492, 149, 445, 149, 446, 150, 453, 150, 467, 
330, 150, 481, 150, 491, 149, 442, 149, 445, 149, 451, 150, 466, 
