t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 460, 150, 473, 150, 452, 150, 456, 150, 454, 150, 465, 
10, 150, 465, 150, 478, 150, 457, 149, 459, 150, 457, 150, 465, 
15, 150, 467, 150, 482, 149, 458, 149, 461, 150, 458, 150, 466, 
20, 150, 471, 150, 483, 150, 460, 150, 462, 150, 460, 150, 466, 
25, 150, 469, 150, 484, 149, 461, 149, 462, 150, 459, 150, 466, 
30, 150, 470, 150, 485, 150, 462, 150, 463, 150, 459, 150, 466, 
35, 150, 470, 150, 485, 150, 461, 149, 462, 150, 459, 150, 464, 
40, 149, 468, 150, 483, 149, 460, 149, 461, 149, 457, 150, 463, 
45, 150, 468, 150, 481, 149, 460, 149, 461, 150, 457, 150, 462, 
50, 150, 468, 150, 479, 149, 460, 149, 461, 150, 456, 150, 462, 
55, 150, 467, 150, 477, 150, 459, 149, 460, 150, 456, 150, 461, 
60, 150, 466, 150, 475, 150, 460, 149, 461, 150, 456, 149, 460, 
65, 150, 466, 150, 472, 150, 459, 150, 460, 150, 455, 150, 458, 
70, 149, 464, 150, 469, 150, 458, 149, 458, 150, 454, 150, 457, 
75, 150, 462, 150, 468, 150, 455, 150, 456, 150, 453, 150, 457, 
80, 150, 461, 150, 467, 150, 455, 150, 454, 150, 452, 150, 456, 
85, 150, 460, 150, 466, 149, 450, 150, 452, 150, 451, 150, 455, 
90, 150, 457, 150, 466, 149, 450, 149, 451, 150, 452, 150, 454, 
95, 150, 457, 150, 465, 149, 448, 149, 451, 150, 449, 150, 454, 
100, 150, 457, 150, 466, 149, 447, 150, 450, 150, 448, 149, 453, 
105, 150, 456, 150, 466, 149, 446, 149, 448, 150, 447, 150, 452, 
110, 150, 453, 150, 466, 150, 446, 150, 447, 150, 446, 150, 452, 
115, 150, 455, 150, 466, 150, 446, 150, 447, 150, 446, 150, 452, 
120, 150, 454, 150, 466, 150, 447, 150, 446, 150, 445, 149, 451, 
125, 150, 456, 150, 466, 149, 445, 149, 446, 150, 444, 150, 450, 
130, 150, 459, 150, 466, 150, 444, 149, 445, 150, 445, 150, 450, 
135, 150, 459, 150, 467, 149, 444, 149, 445, 150, 443, 150, 449, 
140, 150, 461, 150, 467, 150, 444, 150, 444, 150, 443, 150, 449, 
145, 150, 462, 150, 467, 150, 444, 150, 444, 150, 443, 150, 448, 
150, 150, 462, 150, 468, 150, 445, 150, 444, 150, 441, 150, 448, 
155, 150, 464, 150, 468, 150, 445, 150, 444, 150, 443, 150, 448, 
160, 150, 466, 150, 468, 149, 444, 150, 444, 150, 443, 151, 451, 
165, 150, 467, 150, 468, 149, 444, 149, 444, 150, 441, 150, 447, 
170, 150, 468, 150, 468, 149, 445, 149, 444, 150, 441, 150, 447, 
175, 150, 470, 150, 469, 149, 444, 149, 444, 150, 440, 150, 447, 
180, 150, 471, 150, 469, 150, 445, 150, 444, 150, 440, 150, 446, 
185, 150, 473, 150, 469, 149, 447, 149, 444, 150, 440, 149, 443, 
190, 150, 475, 150, 469, 149, 450, 150, 444, 150, 441, 150, 446, 
195, 150, 476, 150, 470, 149, 451, 150, 444, 150, 440, 150, 446, 
200, 150, 478, 150, 470, 149, 453, 149, 444, 150, 440, 150, 446, 
205, 150, 480, 150, 471, 149, 457, 150, 445, 150, 440, 150, 446, 
210, 150, 481, 150, 471, 149, 459, 150, 448, 150, 440, 150, 446, 
215, 149, 482, 150, 471, 150, 461, 149, 451, 150, 440, 150, 446, 
220, 149, 483, 150, 472, 149, 463, 149, 453, 149, 440, 150, 445, 
225, 150, 485, 150, 472, 150, 464, 149, 457, 150, 442, 150, 445, 
230, 150, 486, 150, 472, 150, 465, 150, 460, 150, 446, 150, 445, 
235, 150, 487, 150, 472, 150, 465, 150, 462, 150, 449, 150, 447, 
240, 150, 488, 150, 473, 150, 468, 149, 465, 150, 453, 150, 445, 
245, 150, 492, 150, 472, 149, 468, 149, 469, 150, 458, 151, 448, 
250, 150, 489, 150, 473, 149, 469, 150, 471, 150, 460, 150, 445, 
255, 150, 491, 150, 472, 149, 469, 149, 473, 150, 462, 150, 447, 
260, 150, 491, 150, 472, 149, 470, 149, 475, 150, 464, 150, 445, 
265, 150, 492, 150, 471, 150, 471, 150, 477, 150, 466, 150, 446, 
270, 150, 492, 150, 471, 149, 470, 150, 479, 149, 467, 150, 445, 
275, 150, 494, 150, 472, 149, 471, 149, 479, 150, 469, 149, 445, 
280, 149, 491, 150, 471, 150, 471, 149, 482, 149, 468, 149, 443, 
285, 150, 493, 150, 471, 150, 471, 149, 482, 150, 471, 150, 445, 
290, 150, 493, 150, 471, 149, 471, 150, 483, 150, 471, 150, 445, 
295, 150, 494, 150, 471, 149, 472, 150, 484, 150, 471, 150, 445, 
300, 150, 497, 150, 470, 150, 472, 149, 485, 150, 471, 150, 445, 
305, 150, 495, 150, 469, 149, 471, 149, 485, 150, 471, 150, 445, 
310, 150, 495, 150, 469, 150, 471, 149, 485, 150, 470, 150, 445, 
315, 150, 495, 150, 468, 149, 472, 149, 484, 150, 469, 150, 444, 
320, 150, 494, 150, 468, 150, 472, 149, 484, 150, 469, 150, 445, 
325, 150, 495, 150, 468, 149, 470, 149, 482, 150, 468, 150, 445, 
330, 150, 494, 150, 466, 150, 471, 149, 483, 150, 467, 150, 445, 
