t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 463, 150, 476, 150, 452, 150, 454, 150, 450, 150, 459, 
10, 150, 467, 150, 480, 150, 458, 150, 458, 150, 453, 150, 461, 
15, 150, 470, 150, 482, 150, 459, 150, 459, 150, 455, 150, 462, 
20, 150, 471, 149, 482, 150, 461, 149, 458, 150, 456, 150, 462, 
25, 150, 473, 150, 483, 149, 460, 150, 458, 150, 457, 150, 463, 
30, 150, 473, 150, 482, 149, 462, 149, 459, 150, 457, 150, 463, 
35, 150, 474, 149, 482, 149, 461, 149, 457, 150, 457, 150, 462, 
40, 150, 472, 150, 480, 150, 460, 150, 456, 150, 455, 150, 460, 
45, 150, 470, 150, 479, 149, 459, 150, 454, 150, 454, 150, 460, 
50, 150, 472, 150, 478, 150, 459, 149, 454, 150, 453, 150, 459, 
55, 150, 471, 150, 474, 149, 459, 150, 454, 150, 453, 149, 459, 
60, 150, 471, 150, 473, 149, 459, 149, 453, 150, 453, 150, 458, 
65, 150, 470, 150, 471, 149, 457, 150, 452, 150, 453, 150, 457, 
70, 150, 468, 149, 468, 149, 457, 149, 450, 150, 453, 150, 457, 
75, 150, 467, 150, 468, 149, 455, 150, 448, 150, 453, 150, 456, 
80, 150, 465, 150, 466, 149, 454, 150, 446, 150, 453, 150, 455, 
85, 150, 463, 150, 465, 149, 452, 149, 444, 150, 453, 150, 455, 
90, 150, 462, 149, 465, 149, 450, 150, 444, 150, 453, 150, 454, 
95, 150, 461, 150, 464, 150, 449, 149, 443, 150, 453, 150, 454, 
100, 150, 460, 150, 464, 149, 447, 149, 441, 150, 453, 150, 453, 
105, 150, 459, 150, 464, 149, 446, 150, 440, 150, 453, 150, 453, 
110, 150, 459, 149, 463, 149, 446, 150, 440, 150, 452, 150, 452, 
115, 150, 458, 150, 463, 149, 445, 149, 439, 150, 452, 150, 451, 
120, 150, 458, 150, 463, 149, 445, 150, 438, 150, 452, 150, 451, 
125, 150, 458, 149, 463, 149, 443, 150, 437, 150, 452, 149, 449, 
130, 150, 457, 149, 461, 149, 442, 149, 437, 150, 453, 150, 450, 
135, 150, 457, 149, 462, 149, 442, 149, 436, 150, 453, 149, 448, 
140, 150, 457, 149, 464, 149, 441, 149, 436, 150, 453, 150, 450, 
145, 150, 458, 149, 463, 149, 441, 149, 436, 150, 454, 149, 448, 
150, 150, 458, 150, 464, 149, 442, 149, 437, 150, 454, 150, 449, 
155, 150, 458, 150, 462, 149, 442, 149, 436, 150, 455, 150, 449, 
160, 150, 458, 149, 463, 150, 442, 150, 437, 150, 455, 150, 449, 
165, 150, 460, 150, 464, 149, 442, 150, 435, 150, 456, 150, 449, 
170, 150, 460, 149, 462, 150, 442, 150, 436, 150, 456, 151, 452, 
175, 150, 461, 149, 464, 150, 443, 149, 436, 150, 457, 150, 449, 
180, 150, 461, 150, 465, 150, 442, 149, 436, 150, 457, 150, 449, 
185, 150, 462, 150, 464, 149, 442, 149, 436, 150, 458, 150, 449, 
190, 150, 462, 149, 463, 149, 440, 149, 436, 150, 458, 150, 449, 
195, 150, 464, 150, 466, 149, 443, 150, 436, 150, 459, 149, 448, 
200, 150, 464, 150, 464, 150, 442, 149, 437, 150, 459, 150, 450, 
205, 150, 466, 150, 467, 149, 443, 149, 438, 150, 460, 150, 449, 
210, 150, 466, 150, 467, 149, 442, 149, 437, 150, 460, 150, 451, 
215, 150, 467, 150, 466, 150, 443, 149, 437, 150, 460, 150, 449, 
220, 150, 468, 149, 464, 150, 442, 149, 438, 150, 460, 150, 449, 
225, 150, 470, 150, 465, 150, 442, 150, 438, 150, 461, 150, 450, 
230, 150, 470, 150, 464, 149, 442, 149, 439, 150, 461, 150, 450, 
235, 150, 471, 150, 465, 150, 442, 149, 439, 150, 461, 150, 450, 
240, 150, 473, 149, 465, 149, 441, 150, 440, 150, 461, 149, 450, 
245, 150, 472, 149, 464, 149, 440, 150, 439, 150, 462, 150, 451, 
250, 150, 473, 150, 464, 150, 441, 149, 439, 150, 462, 150, 451, 
255, 150, 475, 150, 463, 150, 441, 150, 438, 150, 462, 150, 451, 
260, 150, 475, 150, 464, 150, 441, 150, 437, 150, 462, 150, 452, 
265, 150, 476, 149, 463, 150, 441, 149, 438, 150, 463, 150, 451, 
270, 150, 476, 149, 462, 149, 440, 149, 437, 150, 463, 150, 452, 
275, 150, 478, 150, 462, 150, 440, 150, 437, 150, 463, 150, 452, 
280, 150, 478, 149, 463, 150, 439, 149, 436, 150, 464, 150, 451, 
285, 150, 478, 150, 461, 149, 438, 149, 436, 150, 464, 149, 452, 
290, 150, 479, 150, 462, 149, 438, 150, 436, 150, 464, 150, 452, 
295, 150, 479, 150, 462, 149, 437, 150, 435, 150, 464, 150, 452, 
300, 150, 479, 150, 461, 150, 438, 150, 435, 150, 465, 150, 452, 
305, 150, 480, 150, 459, 149, 437, 149, 434, 150, 465, 150, 452, 
310, 150, 479, 149, 458, 150, 438, 149, 435, 150, 465, 150, 453, 
315, 150, 480, 150, 460, 149, 437, 150, 433, 150, 465, 149, 453, 
320, 150, 480, 149, 458, 150, 437, 149, 434, 150, 466, 150, 452, 
325, 150, 480, 149, 458, 149, 435, 150, 433, 150, 466, 149, 453, 
330, 150, 480, 150, 457, 149, 435, 150, 433, 150, 466, 150, 453, 
