t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 445, 150, 436, 149, 430, 149, 429, 150, 434, 150, 433, 
10, 150, 445, 150, 436, 150, 430, 149, 429, 150, 434, 149, 433, 
15, 150, 444, 150, 436, 149, 430, 149, 429, 150, 434, 150, 432, 
20, 150, 444, 150, 435, 149, 430, 149, 429, 150, 433, 150, 432, 
25, 150, 444, 150, 435, 149, 430, 150, 428, 150, 433, 150, 432, 
30, 150, 444, 150, 435, 149, 429, 150, 428, 150, 433, 150, 432, 
35, 150, 444, 150, 436, 149, 430, 149, 429, 150, 434, 150, 433, 
40, 150, 444, 150, 436, 149, 431, 149, 430, 150, 435, 150, 433, 
45, 150, 444, 150, 436, 149, 431, 149, 430, 150, 436, 150, 434, 
50, 150, 444, 150, 437, 149, 431, 149, 430, 150, 436, 150, 433, 
55, 150, 444, 150, 437, 149, 431, 149, 431, 150, 436, 150, 433, 
60, 150, 444, 150, 437, 149, 430, 149, 431, 150, 436, 150, 432, 
65, 150, 443, 150, 437, 149, 430, 149, 430, 150, 436, 150, 432, 
70, 150, 442, 150, 436, 150, 428, 150, 430, 150, 435, 150, 431, 
75, 150, 441, 150, 436, 149, 426, 149, 429, 150, 434, 150, 430, 
80, 150, 440, 150, 435, 150, 424, 149, 429, 150, 433, 150, 429, 
85, 150, 439, 150, 434, 150, 422, 149, 428, 150, 432, 149, 427, 
90, 150, 437, 150, 433, 149, 421, 149, 427, 150, 431, 150, 426, 
95, 150, 436, 150, 432, 150, 420, 150, 425, 150, 430, 150, 425, 
100, 150, 435, 150, 432, 150, 419, 149, 423, 150, 429, 150, 424, 
105, 150, 434, 150, 431, 149, 417, 149, 422, 150, 428, 150, 423, 
110, 150, 433, 150, 431, 150, 417, 149, 420, 150, 427, 150, 422, 
115, 150, 432, 150, 430, 149, 415, 149, 419, 150, 426, 150, 421, 
120, 150, 431, 150, 430, 149, 415, 149, 418, 150, 426, 150, 421, 
125, 150, 431, 150, 429, 149, 415, 149, 415, 150, 426, 150, 420, 
130, 150, 431, 150, 429, 149, 415, 149, 416, 150, 426, 149, 420, 
135, 150, 431, 150, 428, 149, 414, 149, 417, 150, 426, 150, 420, 
140, 150, 430, 150, 428, 149, 414, 149, 416, 150, 426, 150, 419, 
145, 150, 430, 150, 427, 149, 414, 149, 416, 150, 426, 149, 419, 
150, 150, 430, 150, 427, 149, 414, 149, 416, 150, 427, 150, 419, 
155, 150, 430, 150, 426, 149, 414, 149, 416, 150, 427, 150, 419, 
160, 150, 430, 150, 426, 149, 415, 149, 417, 150, 428, 149, 419, 
165, 150, 430, 150, 425, 150, 415, 149, 417, 150, 428, 150, 419, 
170, 150, 430, 150, 425, 149, 415, 150, 417, 150, 429, 150, 420, 
175, 150, 430, 150, 425, 149, 415, 150, 417, 150, 429, 150, 420, 
180, 150, 431, 150, 425, 149, 416, 149, 417, 150, 430, 150, 420, 
185, 150, 431, 150, 425, 150, 416, 149, 418, 150, 430, 150, 420, 
190, 150, 431, 150, 425, 149, 416, 149, 418, 150, 431, 151, 423, 
195, 150, 432, 150, 425, 149, 417, 150, 418, 150, 431, 149, 419, 
200, 150, 432, 150, 425, 149, 417, 150, 418, 150, 432, 150, 421, 
205, 150, 432, 150, 426, 149, 418, 150, 419, 150, 432, 150, 421, 
210, 150, 433, 150, 426, 150, 418, 149, 418, 150, 433, 150, 422, 
215, 150, 434, 150, 426, 149, 419, 150, 419, 150, 434, 150, 424, 
220, 150, 434, 150, 426, 149, 419, 150, 420, 150, 434, 150, 422, 
225, 150, 434, 150, 427, 150, 420, 149, 419, 150, 435, 150, 423, 
230, 150, 435, 150, 427, 149, 420, 150, 420, 150, 435, 150, 423, 
235, 150, 436, 150, 428, 150, 421, 149, 421, 150, 436, 150, 424, 
240, 150, 436, 150, 428, 149, 421, 149, 420, 150, 436, 150, 424, 
245, 150, 436, 150, 428, 150, 421, 150, 421, 150, 437, 150, 425, 
250, 150, 437, 150, 429, 149, 422, 150, 421, 150, 437, 150, 425, 
255, 150, 437, 150, 429, 149, 422, 150, 422, 150, 438, 150, 426, 
260, 150, 438, 150, 429, 150, 423, 150, 422, 150, 438, 150, 426, 
265, 150, 438, 150, 430, 150, 423, 150, 422, 150, 438, 150, 427, 
270, 150, 439, 150, 430, 149, 423, 150, 422, 150, 439, 150, 427, 
275, 150, 440, 150, 430, 150, 424, 149, 423, 150, 439, 150, 428, 
280, 150, 440, 150, 430, 149, 424, 149, 423, 150, 439, 150, 428, 
285, 150, 440, 150, 431, 149, 424, 149, 422, 150, 440, 150, 428, 
290, 150, 441, 150, 431, 149, 425, 149, 423, 150, 440, 151, 432, 
295, 150, 441, 150, 431, 149, 425, 149, 422, 150, 440, 150, 429, 
300, 150, 442, 150, 432, 149, 425, 149, 423, 150, 440, 150, 430, 
305, 150, 442, 150, 432, 149, 426, 149, 422, 150, 441, 150, 430, 
310, 150, 443, 150, 432, 149, 426, 150, 424, 150, 441, 150, 431, 
315, 150, 443, 150, 433, 149, 426, 150, 424, 150, 441, 150, 432, 
320, 150, 443, 150, 433, 149, 427, 150, 424, 150, 442, 150, 432, 
325, 150, 444, 150, 433, 150, 427, 150, 426, 150, 442, 150, 432, 
330, 150, 444, 150, 433, 149, 427, 150, 425, 150, 442, 150, 432, 
