t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 483, 150, 487, 149, 474, 150, 481, 150, 476, 150, 468, 
10, 150, 487, 150, 494, 149, 479, 150, 485, 149, 478, 150, 469, 
15, 150, 490, 150, 498, 149, 481, 149, 487, 150, 481, 150, 469, 
20, 150, 492, 150, 501, 149, 484, 150, 489, 150, 482, 150, 470, 
25, 150, 494, 150, 502, 149, 485, 149, 490, 150, 484, 150, 470, 
30, 150, 495, 150, 504, 149, 486, 149, 491, 150, 484, 150, 470, 
35, 150, 496, 150, 506, 149, 488, 150, 492, 150, 485, 150, 470, 
40, 150, 498, 150, 506, 150, 489, 150, 493, 150, 485, 150, 472, 
45, 150, 498, 150, 507, 149, 490, 149, 493, 150, 486, 150, 472, 
50, 150, 500, 150, 506, 149, 489, 149, 492, 150, 485, 150, 472, 
55, 150, 500, 150, 505, 149, 489, 149, 493, 150, 484, 149, 470, 
60, 150, 500, 150, 506, 150, 488, 149, 493, 150, 484, 150, 470, 
65, 150, 499, 150, 506, 149, 487, 149, 493, 150, 483, 149, 468, 
70, 150, 498, 150, 506, 149, 485, 149, 493, 150, 482, 150, 468, 
75, 150, 496, 150, 506, 150, 484, 150, 493, 150, 481, 150, 467, 
80, 150, 495, 150, 505, 149, 483, 149, 492, 150, 480, 150, 466, 
85, 150, 493, 150, 503, 149, 482, 150, 491, 150, 479, 150, 466, 
90, 150, 492, 150, 501, 149, 481, 150, 490, 150, 478, 150, 465, 
95, 150, 490, 150, 499, 149, 479, 150, 489, 150, 477, 150, 467, 
100, 150, 488, 150, 498, 149, 478, 150, 487, 150, 476, 150, 464, 
105, 150, 487, 150, 498, 149, 477, 149, 484, 150, 475, 150, 464, 
110, 150, 486, 150, 496, 149, 476, 150, 483, 150, 474, 150, 463, 
115, 150, 485, 150, 494, 149, 475, 150, 482, 150, 473, 150, 464, 
120, 150, 485, 150, 494, 149, 474, 149, 481, 150, 473, 150, 463, 
125, 150, 485, 150, 494, 149, 473, 150, 480, 150, 472, 149, 462, 
130, 150, 484, 150, 493, 149, 472, 149, 480, 150, 472, 150, 462, 
135, 150, 485, 150, 493, 149, 472, 149, 478, 150, 472, 149, 461, 
140, 150, 484, 150, 492, 149, 472, 149, 478, 150, 472, 149, 460, 
145, 150, 485, 150, 492, 150, 471, 149, 478, 150, 471, 149, 458, 
150, 150, 485, 150, 492, 149, 471, 149, 478, 150, 471, 150, 460, 
155, 150, 486, 150, 492, 149, 471, 149, 477, 150, 472, 149, 459, 
160, 150, 486, 150, 492, 149, 472, 149, 477, 150, 472, 150, 460, 
165, 150, 487, 150, 492, 149, 472, 149, 478, 150, 472, 150, 460, 
170, 150, 487, 150, 492, 149, 472, 149, 478, 150, 472, 150, 460, 
175, 150, 488, 150, 493, 149, 473, 149, 478, 150, 473, 150, 460, 
180, 150, 488, 150, 493, 150, 473, 150, 478, 150, 473, 150, 461, 
185, 150, 489, 150, 493, 149, 473, 150, 478, 150, 474, 150, 461, 
190, 150, 491, 150, 494, 149, 474, 150, 479, 150, 474, 151, 461, 
195, 150, 490, 150, 494, 150, 475, 149, 479, 150, 475, 150, 461, 
200, 150, 491, 150, 494, 149, 475, 149, 480, 150, 475, 150, 462, 
205, 150, 492, 150, 494, 149, 475, 149, 480, 150, 475, 150, 461, 
210, 150, 493, 150, 494, 149, 476, 149, 481, 150, 476, 150, 462, 
215, 150, 494, 150, 494, 149, 477, 150, 482, 150, 477, 150, 461, 
220, 149, 492, 150, 493, 150, 478, 149, 481, 149, 477, 150, 461, 
225, 150, 496, 150, 494, 149, 478, 150, 482, 150, 478, 150, 461, 
230, 150, 497, 150, 494, 149, 478, 149, 484, 149, 478, 150, 462, 
235, 150, 498, 150, 494, 150, 480, 150, 484, 150, 480, 150, 461, 
240, 150, 499, 150, 493, 150, 480, 149, 483, 150, 480, 150, 461, 
245, 150, 500, 150, 496, 150, 480, 149, 483, 150, 481, 150, 461, 
250, 150, 500, 150, 494, 149, 480, 149, 486, 150, 482, 150, 461, 
255, 149, 500, 150, 494, 149, 481, 150, 486, 150, 483, 150, 461, 
260, 150, 502, 150, 496, 149, 481, 150, 486, 150, 484, 150, 461, 
265, 150, 501, 150, 494, 150, 481, 149, 486, 150, 485, 150, 461, 
270, 150, 503, 150, 495, 150, 481, 149, 486, 150, 485, 150, 461, 
275, 150, 504, 150, 496, 150, 481, 149, 488, 150, 486, 150, 461, 
280, 148, 500, 150, 496, 149, 477, 150, 488, 150, 486, 150, 461, 
285, 150, 505, 149, 495, 149, 480, 149, 488, 150, 487, 150, 462, 
290, 150, 505, 150, 495, 150, 481, 149, 487, 150, 487, 150, 461, 
295, 150, 506, 150, 496, 150, 480, 149, 490, 150, 488, 150, 463, 
300, 150, 507, 150, 495, 149, 479, 150, 490, 150, 488, 150, 464, 
305, 150, 510, 151, 499, 151, 483, 150, 489, 150, 489, 150, 464, 
310, 150, 509, 150, 494, 149, 480, 150, 490, 150, 489, 150, 465, 
315, 150, 510, 150, 494, 149, 480, 149, 490, 150, 489, 150, 466, 
320, 150, 510, 150, 494, 150, 480, 150, 490, 150, 490, 150, 467, 
325, 150, 511, 150, 492, 149, 480, 149, 494, 150, 490, 150, 468, 
330, 150, 511, 150, 490, 149, 480, 150, 494, 150, 490, 150, 471, 
