t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 474, 150, 477, 150, 462, 149, 468, 150, 461, 150, 467, 
10, 150, 479, 150, 483, 150, 467, 149, 471, 150, 463, 150, 468, 
15, 150, 482, 150, 486, 149, 470, 149, 473, 150, 464, 150, 471, 
20, 150, 483, 150, 488, 149, 471, 149, 474, 150, 465, 150, 469, 
25, 150, 484, 150, 490, 149, 472, 150, 475, 150, 465, 150, 469, 
30, 150, 485, 150, 491, 149, 474, 149, 476, 150, 466, 150, 469, 
35, 150, 483, 150, 488, 150, 471, 149, 473, 150, 462, 150, 468, 
40, 150, 481, 150, 486, 150, 470, 150, 473, 150, 462, 150, 468, 
45, 150, 481, 150, 486, 150, 470, 150, 473, 150, 462, 150, 467, 
50, 150, 481, 150, 486, 150, 470, 150, 472, 150, 461, 150, 467, 
55, 150, 479, 149, 484, 149, 466, 149, 471, 150, 459, 150, 466, 
60, 150, 480, 150, 484, 149, 466, 149, 470, 150, 460, 150, 467, 
65, 150, 482, 150, 485, 149, 467, 149, 470, 150, 460, 150, 467, 
70, 150, 483, 150, 485, 149, 467, 149, 469, 150, 460, 150, 468, 
75, 150, 480, 150, 485, 149, 467, 150, 470, 150, 461, 150, 466, 
80, 150, 480, 150, 484, 149, 468, 150, 469, 150, 460, 150, 467, 
85, 150, 480, 150, 484, 149, 467, 150, 468, 150, 460, 150, 465, 
90, 150, 480, 150, 486, 149, 467, 149, 468, 150, 459, 150, 465, 
95, 150, 480, 150, 487, 149, 466, 150, 467, 150, 459, 150, 465, 
100, 150, 478, 150, 489, 149, 466, 149, 466, 150, 459, 150, 464, 
105, 150, 478, 150, 491, 150, 466, 149, 467, 150, 459, 149, 465, 
110, 150, 478, 150, 492, 149, 465, 149, 468, 150, 459, 150, 466, 
115, 150, 478, 150, 494, 150, 465, 149, 470, 150, 459, 150, 466, 
120, 150, 479, 150, 495, 149, 463, 150, 470, 150, 460, 150, 467, 
125, 150, 480, 150, 496, 150, 464, 149, 472, 150, 461, 150, 466, 
130, 150, 480, 150, 497, 150, 464, 149, 473, 150, 462, 150, 468, 
135, 150, 481, 150, 498, 149, 464, 149, 474, 150, 463, 150, 466, 
140, 150, 481, 150, 499, 149, 464, 149, 476, 150, 464, 150, 466, 
145, 150, 483, 150, 500, 150, 465, 149, 475, 150, 465, 150, 466, 
150, 150, 482, 150, 500, 149, 464, 150, 476, 150, 466, 150, 466, 
155, 150, 482, 150, 500, 149, 464, 149, 476, 150, 466, 150, 466, 
160, 150, 483, 150, 500, 150, 463, 150, 476, 150, 466, 150, 466, 
165, 150, 482, 150, 500, 150, 464, 149, 476, 150, 466, 150, 467, 
170, 150, 482, 150, 500, 149, 462, 149, 476, 150, 466, 150, 466, 
175, 150, 482, 150, 499, 149, 462, 149, 475, 150, 466, 150, 466, 
180, 150, 482, 150, 498, 149, 462, 150, 476, 150, 466, 150, 466, 
185, 149, 480, 150, 497, 149, 460, 149, 473, 150, 466, 150, 466, 
190, 150, 481, 150, 496, 150, 459, 149, 475, 150, 466, 148, 462, 
195, 150, 481, 150, 495, 150, 459, 149, 473, 150, 465, 150, 465, 
200, 150, 481, 150, 494, 149, 458, 149, 474, 150, 464, 150, 466, 
205, 150, 480, 150, 493, 150, 457, 150, 473, 150, 464, 150, 465, 
210, 150, 480, 150, 492, 149, 455, 150, 472, 150, 463, 150, 464, 
215, 150, 480, 150, 491, 150, 454, 150, 471, 150, 463, 150, 465, 
220, 150, 480, 150, 491, 149, 453, 149, 471, 150, 462, 150, 463, 
225, 150, 478, 150, 489, 149, 450, 149, 470, 150, 462, 150, 463, 
230, 150, 479, 150, 489, 150, 450, 149, 470, 150, 461, 150, 463, 
235, 150, 477, 150, 488, 149, 449, 149, 469, 150, 461, 150, 463, 
240, 150, 477, 150, 487, 150, 451, 150, 469, 150, 460, 150, 462, 
245, 150, 476, 150, 487, 150, 445, 149, 468, 150, 459, 150, 461, 
250, 150, 475, 150, 486, 149, 444, 149, 468, 150, 459, 150, 461, 
255, 150, 474, 150, 485, 150, 443, 150, 467, 150, 458, 150, 460, 
260, 148, 469, 150, 484, 150, 442, 150, 467, 150, 458, 150, 460, 
265, 150, 471, 150, 483, 149, 440, 150, 466, 150, 458, 150, 460, 
270, 150, 470, 150, 482, 150, 440, 150, 466, 150, 457, 150, 459, 
275, 150, 469, 150, 482, 149, 438, 149, 465, 150, 456, 150, 459, 
280, 150, 467, 150, 481, 149, 438, 149, 466, 150, 456, 150, 458, 
285, 150, 465, 150, 481, 150, 437, 150, 464, 150, 456, 150, 458, 
290, 150, 463, 150, 480, 150, 437, 149, 465, 150, 455, 150, 458, 
295, 150, 462, 150, 479, 149, 434, 149, 464, 150, 455, 150, 459, 
300, 150, 460, 150, 478, 149, 434, 149, 463, 150, 454, 150, 457, 
305, 150, 457, 150, 478, 149, 433, 149, 463, 150, 454, 150, 458, 
310, 150, 454, 150, 477, 150, 433, 149, 462, 150, 454, 150, 456, 
315, 150, 452, 150, 476, 149, 431, 149, 462, 150, 454, 150, 457, 
320, 150, 450, 150, 475, 149, 430, 150, 461, 150, 453, 150, 456, 
325, 150, 448, 150, 474, 150, 430, 149, 461, 150, 453, 150, 456, 
330, 150, 445, 150, 473, 149, 428, 149, 460, 150, 453, 150, 455, 
