t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 419, 150, 397, 149, 396, 150, 391, 150, 408, 150, 412, 
10, 150, 418, 150, 397, 150, 397, 149, 390, 150, 408, 150, 413, 
15, 150, 419, 150, 397, 149, 397, 150, 390, 150, 408, 150, 413, 
20, 150, 419, 150, 397, 150, 397, 149, 390, 150, 408, 150, 412, 
25, 150, 418, 150, 397, 149, 396, 150, 390, 150, 408, 150, 412, 
30, 150, 418, 150, 397, 149, 396, 149, 390, 150, 408, 150, 412, 
35, 150, 417, 150, 396, 149, 395, 149, 389, 150, 407, 150, 411, 
40, 150, 416, 150, 396, 149, 395, 149, 389, 150, 407, 149, 410, 
45, 150, 414, 150, 394, 149, 393, 150, 387, 149, 404, 149, 409, 
50, 150, 413, 150, 393, 150, 392, 149, 386, 150, 404, 150, 409, 
55, 150, 412, 150, 392, 149, 392, 149, 385, 150, 403, 150, 408, 
60, 150, 411, 150, 392, 149, 391, 150, 384, 150, 403, 150, 408, 
65, 150, 410, 150, 391, 149, 391, 149, 384, 150, 402, 150, 407, 
70, 150, 410, 150, 391, 149, 391, 149, 383, 150, 401, 150, 406, 
75, 150, 409, 150, 390, 149, 390, 149, 383, 150, 400, 150, 406, 
80, 150, 409, 150, 390, 149, 390, 149, 382, 150, 399, 150, 406, 
85, 150, 408, 150, 389, 149, 389, 149, 382, 150, 398, 150, 405, 
90, 150, 407, 150, 388, 149, 387, 149, 381, 150, 397, 150, 404, 
95, 150, 406, 150, 387, 149, 387, 149, 381, 149, 395, 150, 403, 
100, 150, 405, 150, 385, 149, 386, 149, 380, 150, 395, 150, 401, 
105, 150, 403, 150, 385, 150, 384, 149, 379, 150, 394, 150, 400, 
110, 150, 403, 150, 383, 149, 384, 149, 378, 149, 393, 150, 399, 
115, 150, 402, 150, 382, 149, 383, 149, 378, 150, 392, 150, 398, 
120, 150, 402, 150, 381, 150, 383, 149, 377, 150, 392, 150, 398, 
125, 150, 401, 150, 381, 149, 382, 149, 376, 150, 392, 150, 397, 
130, 150, 401, 150, 380, 149, 382, 150, 376, 150, 391, 150, 397, 
135, 150, 401, 150, 380, 149, 382, 150, 375, 150, 391, 150, 397, 
140, 150, 401, 150, 380, 150, 382, 150, 374, 150, 390, 150, 396, 
145, 150, 401, 150, 379, 149, 382, 149, 373, 149, 389, 150, 397, 
150, 150, 401, 150, 380, 149, 382, 150, 373, 150, 390, 150, 397, 
155, 150, 402, 150, 380, 149, 382, 150, 373, 150, 390, 150, 397, 
160, 150, 402, 150, 379, 149, 382, 149, 372, 150, 390, 150, 397, 
165, 150, 402, 150, 379, 149, 382, 149, 372, 150, 389, 150, 397, 
170, 150, 402, 150, 379, 149, 381, 150, 372, 150, 389, 150, 397, 
175, 150, 403, 150, 379, 149, 381, 149, 371, 150, 389, 150, 398, 
180, 150, 403, 150, 379, 149, 381, 150, 371, 149, 389, 150, 398, 
185, 150, 404, 150, 379, 149, 381, 149, 371, 150, 389, 150, 398, 
190, 150, 404, 150, 379, 149, 381, 149, 371, 150, 390, 150, 398, 
195, 150, 404, 150, 379, 149, 381, 149, 371, 150, 390, 150, 398, 
200, 150, 405, 150, 379, 149, 381, 150, 371, 150, 390, 150, 400, 
205, 150, 405, 150, 380, 150, 381, 150, 371, 150, 390, 150, 398, 
210, 150, 405, 150, 379, 149, 380, 149, 371, 150, 390, 150, 398, 
215, 150, 405, 150, 380, 149, 380, 149, 372, 150, 390, 150, 398, 
220, 150, 405, 150, 380, 150, 379, 150, 372, 150, 390, 150, 397, 
225, 150, 405, 150, 380, 149, 379, 149, 372, 149, 389, 150, 397, 
230, 150, 406, 150, 380, 149, 379, 149, 372, 150, 390, 149, 397, 
235, 150, 406, 150, 380, 150, 379, 149, 372, 150, 391, 150, 397, 
240, 150, 406, 150, 380, 149, 378, 150, 372, 150, 390, 150, 397, 
245, 150, 406, 150, 380, 150, 378, 150, 372, 150, 390, 149, 397, 
250, 150, 406, 150, 380, 149, 378, 149, 372, 150, 390, 150, 397, 
255, 150, 406, 150, 380, 149, 378, 150, 372, 149, 388, 150, 397, 
260, 150, 406, 150, 380, 150, 377, 149, 371, 150, 390, 150, 397, 
265, 150, 406, 150, 380, 149, 377, 150, 372, 150, 390, 150, 397, 
270, 150, 406, 150, 380, 150, 377, 150, 371, 150, 390, 150, 396, 
275, 150, 407, 150, 380, 149, 377, 149, 372, 150, 392, 150, 397, 
280, 149, 406, 149, 380, 149, 376, 149, 371, 150, 390, 150, 396, 
285, 149, 406, 150, 380, 149, 376, 149, 371, 150, 390, 150, 396, 
290, 150, 406, 150, 380, 149, 376, 149, 371, 150, 390, 150, 396, 
295, 150, 407, 150, 380, 150, 376, 149, 371, 150, 390, 149, 396, 
300, 150, 407, 150, 380, 149, 375, 149, 371, 150, 389, 150, 396, 
305, 150, 407, 150, 380, 149, 375, 150, 371, 150, 390, 150, 396, 
310, 150, 407, 150, 380, 149, 375, 149, 371, 150, 390, 150, 395, 
315, 150, 407, 150, 380, 150, 375, 149, 371, 150, 389, 150, 395, 
320, 150, 407, 150, 380, 149, 374, 149, 371, 150, 389, 150, 395, 
325, 150, 407, 150, 380, 149, 374, 149, 370, 150, 389, 150, 395, 
330, 150, 407, 150, 380, 150, 374, 149, 369, 150, 389, 149, 395, 
