t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 372, 150, 361, 149, 358, 149, 359, 150, 366, 150, 367, 
10, 150, 372, 150, 361, 149, 358, 150, 359, 150, 366, 150, 367, 
15, 150, 373, 150, 362, 149, 358, 149, 359, 150, 366, 150, 368, 
20, 150, 373, 149, 361, 150, 358, 150, 359, 150, 366, 150, 368, 
25, 150, 372, 150, 361, 149, 358, 149, 359, 150, 366, 150, 368, 
30, 150, 372, 150, 361, 150, 358, 150, 359, 150, 366, 150, 368, 
35, 150, 372, 150, 361, 149, 357, 149, 359, 150, 366, 150, 368, 
40, 150, 371, 150, 359, 150, 356, 150, 357, 150, 364, 150, 365, 
45, 150, 368, 150, 357, 150, 354, 149, 354, 150, 362, 150, 363, 
50, 150, 365, 150, 353, 149, 351, 149, 350, 150, 358, 150, 360, 
55, 150, 361, 150, 350, 150, 348, 149, 349, 150, 355, 150, 356, 
60, 150, 358, 150, 347, 149, 344, 149, 346, 150, 352, 150, 353, 
65, 150, 356, 150, 345, 149, 342, 149, 344, 150, 350, 150, 351, 
70, 150, 356, 150, 345, 150, 342, 149, 344, 150, 350, 150, 350, 
75, 150, 356, 150, 345, 150, 341, 149, 344, 150, 350, 150, 350, 
80, 150, 355, 150, 344, 149, 341, 149, 344, 150, 350, 150, 350, 
85, 150, 355, 150, 344, 149, 340, 149, 344, 150, 350, 150, 349, 
90, 150, 355, 149, 343, 150, 340, 150, 344, 150, 350, 150, 349, 
95, 150, 354, 150, 343, 149, 339, 149, 344, 150, 350, 150, 349, 
100, 150, 353, 150, 343, 149, 340, 149, 345, 150, 351, 150, 350, 
105, 150, 353, 150, 342, 149, 340, 149, 346, 150, 353, 150, 351, 
110, 150, 352, 150, 342, 149, 341, 149, 346, 150, 354, 150, 352, 
115, 150, 352, 150, 343, 149, 342, 150, 349, 150, 357, 150, 354, 
120, 150, 353, 150, 344, 151, 347, 149, 351, 150, 359, 150, 356, 
125, 150, 354, 150, 345, 150, 347, 149, 352, 150, 361, 150, 359, 
130, 150, 353, 150, 345, 150, 350, 149, 354, 150, 363, 150, 361, 
135, 150, 354, 150, 345, 149, 349, 149, 355, 150, 363, 150, 362, 
140, 150, 354, 150, 346, 149, 351, 150, 357, 150, 364, 150, 364, 
145, 150, 355, 150, 347, 150, 352, 149, 358, 150, 364, 150, 365, 
150, 150, 355, 150, 348, 150, 353, 150, 358, 150, 365, 150, 368, 
155, 150, 356, 150, 348, 149, 353, 149, 359, 150, 365, 149, 366, 
160, 150, 356, 150, 348, 149, 352, 150, 359, 150, 365, 150, 367, 
165, 150, 357, 150, 349, 150, 354, 149, 359, 150, 365, 150, 368, 
170, 150, 357, 150, 349, 149, 353, 149, 359, 150, 365, 150, 368, 
175, 150, 357, 150, 349, 149, 353, 150, 359, 150, 365, 150, 367, 
180, 150, 357, 150, 349, 150, 353, 150, 359, 150, 365, 150, 368, 
185, 150, 357, 150, 348, 149, 353, 149, 358, 150, 364, 149, 365, 
190, 150, 357, 150, 348, 149, 352, 149, 357, 150, 364, 149, 367, 
195, 150, 358, 150, 348, 149, 352, 149, 357, 150, 363, 150, 369, 
200, 150, 357, 150, 348, 150, 352, 149, 357, 150, 363, 150, 366, 
205, 150, 357, 150, 348, 150, 352, 150, 357, 150, 363, 150, 366, 
210, 150, 357, 150, 348, 149, 351, 149, 356, 150, 364, 150, 366, 
215, 150, 357, 150, 348, 149, 351, 149, 356, 150, 362, 150, 365, 
220, 150, 357, 150, 347, 150, 351, 149, 356, 150, 362, 150, 365, 
225, 150, 356, 150, 347, 149, 350, 149, 355, 150, 361, 150, 365, 
230, 150, 356, 150, 347, 149, 350, 149, 355, 150, 361, 150, 364, 
235, 150, 356, 150, 347, 150, 350, 149, 355, 150, 360, 150, 364, 
240, 149, 356, 150, 346, 149, 347, 149, 354, 149, 358, 150, 364, 
245, 150, 356, 150, 346, 150, 349, 150, 354, 150, 360, 150, 363, 
250, 150, 356, 150, 346, 150, 349, 149, 354, 150, 360, 150, 364, 
255, 150, 356, 150, 346, 149, 349, 150, 353, 150, 359, 148, 360, 
260, 150, 356, 150, 346, 149, 348, 149, 353, 150, 359, 150, 362, 
265, 150, 355, 150, 345, 149, 348, 149, 353, 150, 359, 150, 364, 
270, 150, 355, 150, 345, 149, 348, 149, 352, 150, 358, 150, 362, 
275, 150, 355, 150, 345, 150, 348, 150, 353, 150, 358, 150, 362, 
280, 150, 355, 150, 345, 149, 348, 149, 352, 150, 358, 150, 363, 
285, 150, 355, 150, 345, 149, 347, 149, 352, 150, 358, 150, 361, 
290, 150, 355, 150, 345, 149, 347, 149, 351, 150, 358, 150, 361, 
295, 150, 355, 150, 345, 150, 347, 149, 352, 150, 358, 150, 361, 
300, 150, 355, 150, 345, 149, 347, 149, 351, 150, 357, 150, 361, 
305, 150, 355, 150, 344, 150, 347, 149, 351, 150, 357, 150, 361, 
310, 150, 355, 150, 344, 150, 347, 150, 351, 150, 357, 150, 361, 
315, 150, 355, 150, 344, 150, 347, 150, 350, 150, 357, 150, 360, 
320, 150, 355, 150, 344, 149, 347, 149, 350, 150, 357, 150, 360, 
325, 150, 357, 150, 345, 149, 347, 149, 350, 150, 357, 150, 360, 
330, 150, 355, 150, 344, 149, 346, 150, 350, 150, 356, 150, 360, 
