t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 449, 150, 449, 149, 446, 149, 462, 150, 466, 150, 455, 
10, 150, 449, 150, 449, 149, 446, 149, 462, 150, 466, 150, 454, 
15, 150, 449, 150, 449, 149, 446, 149, 463, 150, 466, 150, 454, 
20, 150, 449, 150, 449, 150, 447, 149, 462, 150, 466, 150, 454, 
25, 150, 449, 150, 449, 150, 446, 149, 463, 150, 466, 150, 454, 
30, 150, 449, 150, 449, 149, 447, 149, 463, 150, 466, 150, 454, 
35, 150, 449, 150, 449, 149, 447, 149, 463, 150, 466, 150, 454, 
40, 150, 450, 150, 449, 150, 447, 149, 463, 150, 466, 149, 454, 
45, 150, 449, 150, 449, 149, 447, 150, 463, 150, 466, 150, 453, 
50, 150, 449, 150, 450, 150, 447, 149, 463, 150, 466, 149, 453, 
55, 150, 448, 150, 449, 150, 446, 150, 462, 150, 465, 150, 453, 
60, 150, 446, 150, 448, 150, 445, 149, 461, 150, 465, 150, 452, 
65, 150, 444, 150, 447, 150, 443, 149, 459, 150, 463, 150, 451, 
70, 150, 442, 150, 447, 150, 441, 149, 458, 150, 462, 150, 450, 
75, 150, 441, 150, 446, 150, 440, 149, 457, 150, 460, 150, 449, 
80, 150, 440, 150, 445, 149, 438, 149, 456, 150, 459, 150, 448, 
85, 150, 439, 150, 445, 150, 438, 149, 456, 150, 458, 150, 446, 
90, 150, 438, 150, 444, 149, 437, 149, 455, 150, 457, 150, 446, 
95, 150, 437, 150, 444, 149, 437, 149, 455, 150, 456, 150, 445, 
100, 150, 436, 150, 443, 149, 436, 149, 453, 150, 456, 150, 447, 
105, 150, 435, 150, 442, 150, 439, 149, 453, 150, 456, 150, 448, 
110, 150, 434, 150, 441, 150, 437, 150, 453, 150, 457, 150, 450, 
115, 150, 433, 150, 441, 149, 438, 149, 453, 149, 459, 150, 452, 
120, 150, 432, 150, 441, 149, 439, 149, 453, 150, 460, 150, 453, 
125, 150, 432, 150, 441, 149, 440, 149, 453, 150, 462, 150, 454, 
130, 150, 431, 150, 441, 149, 442, 149, 453, 150, 464, 150, 456, 
135, 150, 429, 150, 442, 149, 443, 149, 454, 150, 466, 150, 457, 
140, 150, 429, 150, 442, 149, 445, 149, 454, 150, 468, 150, 458, 
145, 150, 428, 150, 443, 150, 447, 149, 454, 150, 470, 150, 459, 
150, 150, 428, 150, 443, 149, 448, 149, 455, 150, 470, 150, 459, 
155, 150, 428, 150, 443, 149, 449, 149, 456, 150, 472, 150, 459, 
160, 149, 427, 150, 444, 149, 449, 149, 457, 150, 472, 150, 460, 
165, 149, 427, 150, 444, 149, 449, 149, 458, 150, 473, 150, 460, 
170, 149, 427, 150, 445, 149, 449, 149, 458, 150, 473, 150, 461, 
175, 150, 427, 150, 444, 149, 449, 149, 459, 150, 472, 150, 461, 
180, 150, 427, 150, 444, 149, 449, 149, 458, 150, 472, 150, 461, 
185, 150, 427, 150, 444, 150, 449, 149, 459, 150, 472, 150, 461, 
190, 149, 427, 150, 444, 149, 448, 149, 459, 150, 472, 149, 460, 
195, 150, 427, 150, 443, 149, 448, 149, 459, 150, 471, 150, 460, 
200, 149, 427, 150, 443, 149, 448, 149, 460, 150, 471, 150, 460, 
205, 150, 428, 150, 443, 149, 447, 149, 459, 150, 471, 150, 459, 
210, 149, 427, 150, 443, 149, 446, 149, 459, 150, 470, 149, 458, 
215, 150, 428, 150, 443, 149, 446, 149, 460, 150, 470, 150, 458, 
220, 150, 428, 150, 442, 149, 445, 150, 459, 150, 469, 150, 458, 
225, 150, 428, 150, 442, 149, 445, 150, 459, 150, 469, 150, 458, 
230, 150, 430, 150, 442, 149, 445, 149, 459, 150, 468, 150, 458, 
235, 150, 429, 150, 441, 150, 444, 150, 459, 150, 467, 150, 458, 
240, 150, 428, 150, 441, 149, 444, 149, 459, 150, 467, 150, 457, 
245, 150, 429, 150, 441, 149, 442, 149, 458, 150, 466, 150, 457, 
250, 150, 429, 150, 441, 149, 443, 149, 458, 150, 466, 150, 457, 
255, 150, 429, 150, 440, 150, 443, 150, 458, 150, 466, 150, 457, 
260, 150, 429, 150, 440, 149, 442, 149, 457, 150, 465, 150, 456, 
265, 150, 429, 150, 440, 149, 442, 149, 458, 150, 465, 150, 455, 
270, 150, 429, 150, 440, 149, 442, 149, 457, 150, 464, 150, 455, 
275, 150, 429, 150, 439, 150, 442, 150, 457, 150, 463, 150, 455, 
280, 150, 429, 150, 440, 150, 442, 149, 456, 150, 463, 150, 455, 
285, 150, 429, 150, 439, 150, 441, 149, 456, 150, 463, 150, 453, 
290, 150, 429, 150, 439, 150, 441, 149, 456, 150, 462, 150, 453, 
295, 150, 430, 150, 439, 149, 440, 149, 456, 150, 462, 150, 453, 
300, 150, 430, 150, 439, 149, 440, 149, 456, 150, 461, 149, 452, 
305, 149, 430, 150, 438, 149, 440, 149, 456, 150, 461, 149, 451, 
310, 149, 429, 150, 438, 150, 440, 149, 455, 150, 461, 149, 451, 
315, 150, 430, 150, 438, 149, 440, 149, 455, 150, 460, 150, 451, 
320, 149, 429, 150, 438, 149, 439, 149, 455, 150, 460, 149, 450, 
325, 149, 429, 150, 438, 150, 439, 149, 455, 150, 460, 149, 449, 
330, 150, 430, 150, 438, 150, 439, 149, 455, 150, 460, 150, 449, 
