t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 396, 150, 388, 149, 383, 149, 391, 150, 392, 150, 391, 
10, 150, 396, 150, 388, 149, 384, 149, 391, 150, 392, 150, 391, 
15, 150, 396, 150, 388, 149, 383, 149, 391, 150, 392, 150, 391, 
20, 150, 397, 150, 389, 149, 384, 149, 391, 150, 392, 150, 391, 
25, 150, 396, 150, 388, 149, 383, 149, 391, 150, 392, 150, 390, 
30, 150, 396, 150, 388, 149, 384, 149, 391, 150, 392, 150, 390, 
35, 150, 396, 150, 388, 149, 383, 149, 391, 150, 392, 150, 390, 
40, 150, 395, 150, 387, 149, 383, 149, 391, 149, 391, 150, 390, 
45, 150, 395, 150, 385, 149, 382, 150, 391, 150, 390, 150, 389, 
50, 150, 394, 150, 382, 150, 381, 149, 389, 150, 390, 150, 388, 
55, 150, 393, 150, 381, 149, 380, 149, 388, 150, 388, 150, 387, 
60, 150, 392, 150, 379, 150, 380, 149, 388, 150, 388, 150, 387, 
65, 150, 391, 150, 378, 149, 379, 150, 388, 150, 387, 149, 385, 
70, 150, 391, 150, 377, 149, 378, 149, 387, 150, 387, 150, 387, 
75, 150, 390, 150, 376, 149, 378, 149, 387, 150, 386, 150, 387, 
80, 150, 389, 150, 375, 150, 378, 149, 386, 150, 386, 150, 386, 
85, 150, 389, 150, 375, 150, 378, 150, 386, 150, 386, 149, 385, 
90, 150, 388, 150, 375, 150, 377, 149, 385, 150, 385, 150, 385, 
95, 150, 388, 150, 375, 149, 376, 149, 384, 150, 384, 150, 384, 
100, 150, 388, 150, 374, 150, 376, 149, 383, 150, 384, 150, 383, 
105, 150, 387, 150, 374, 149, 375, 149, 383, 150, 383, 150, 382, 
110, 150, 386, 150, 373, 149, 375, 150, 382, 150, 383, 150, 382, 
115, 150, 385, 150, 373, 150, 374, 150, 382, 150, 382, 150, 380, 
120, 150, 384, 150, 372, 149, 373, 150, 381, 150, 381, 150, 379, 
125, 150, 383, 150, 371, 150, 372, 150, 380, 150, 381, 150, 378, 
130, 150, 383, 150, 372, 149, 371, 149, 380, 150, 380, 150, 378, 
135, 150, 382, 150, 372, 149, 371, 150, 380, 150, 379, 150, 377, 
140, 150, 381, 150, 371, 149, 370, 150, 379, 150, 379, 149, 376, 
145, 150, 381, 149, 371, 149, 370, 149, 379, 150, 378, 150, 376, 
150, 150, 380, 150, 371, 149, 369, 149, 379, 150, 378, 150, 375, 
155, 150, 380, 150, 370, 150, 369, 150, 379, 150, 377, 150, 375, 
160, 150, 379, 150, 370, 149, 368, 149, 378, 150, 377, 150, 374, 
165, 150, 379, 150, 370, 149, 368, 149, 378, 150, 376, 150, 374, 
170, 150, 378, 150, 370, 149, 368, 149, 378, 150, 376, 150, 373, 
175, 150, 378, 150, 369, 149, 367, 150, 377, 150, 375, 150, 373, 
180, 150, 378, 150, 368, 149, 367, 149, 377, 150, 375, 149, 371, 
185, 150, 378, 150, 368, 149, 367, 150, 378, 150, 375, 150, 372, 
190, 150, 377, 150, 368, 149, 367, 150, 378, 150, 374, 150, 372, 
195, 150, 377, 150, 367, 149, 367, 150, 378, 150, 374, 150, 372, 
200, 150, 377, 150, 367, 150, 366, 150, 377, 150, 374, 150, 372, 
205, 150, 377, 150, 367, 149, 366, 149, 376, 150, 374, 149, 372, 
210, 149, 377, 150, 367, 150, 366, 150, 376, 150, 374, 150, 372, 
215, 150, 377, 150, 367, 149, 366, 150, 377, 150, 374, 150, 371, 
220, 150, 377, 150, 366, 149, 366, 149, 377, 150, 373, 150, 371, 
225, 150, 377, 150, 366, 149, 365, 149, 376, 150, 373, 150, 372, 
230, 150, 377, 150, 365, 149, 365, 150, 377, 150, 374, 150, 371, 
235, 150, 377, 150, 366, 149, 365, 150, 376, 150, 373, 150, 371, 
240, 150, 377, 150, 366, 149, 365, 149, 377, 150, 373, 150, 371, 
245, 150, 377, 150, 367, 149, 365, 149, 376, 150, 374, 150, 371, 
250, 150, 378, 150, 367, 149, 365, 150, 376, 150, 373, 149, 371, 
255, 150, 378, 150, 367, 149, 364, 149, 376, 150, 374, 150, 371, 
260, 150, 378, 150, 368, 150, 364, 149, 377, 150, 374, 150, 370, 
265, 150, 378, 150, 367, 149, 364, 149, 376, 150, 374, 150, 370, 
270, 150, 378, 150, 368, 149, 364, 150, 377, 150, 374, 150, 371, 
275, 150, 378, 150, 367, 150, 364, 150, 376, 150, 374, 150, 370, 
280, 150, 378, 150, 367, 149, 364, 150, 376, 150, 374, 150, 371, 
285, 150, 378, 150, 367, 150, 364, 149, 375, 150, 374, 150, 370, 
290, 150, 378, 150, 367, 150, 364, 149, 375, 150, 374, 150, 371, 
295, 150, 378, 150, 367, 150, 364, 150, 375, 150, 374, 150, 371, 
300, 150, 378, 150, 367, 150, 363, 150, 375, 150, 374, 150, 371, 
305, 150, 378, 150, 367, 149, 363, 149, 375, 150, 374, 150, 371, 
310, 150, 378, 150, 367, 149, 363, 149, 374, 150, 374, 150, 371, 
315, 150, 378, 150, 367, 149, 363, 149, 373, 150, 374, 150, 371, 
320, 150, 378, 150, 366, 150, 363, 149, 374, 150, 374, 150, 371, 
325, 150, 378, 150, 366, 149, 363, 150, 375, 150, 374, 150, 371, 
330, 150, 378, 150, 366, 150, 363, 150, 374, 150, 374, 150, 371, 
