t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 448, 150, 432, 149, 425, 150, 434, 150, 436, 150, 444, 
10, 149, 446, 150, 431, 149, 425, 149, 433, 150, 436, 150, 442, 
15, 150, 448, 150, 431, 149, 425, 149, 433, 150, 435, 150, 442, 
20, 150, 447, 150, 430, 149, 424, 149, 432, 150, 434, 150, 441, 
25, 150, 447, 150, 431, 149, 424, 149, 433, 150, 433, 150, 441, 
30, 150, 447, 150, 430, 149, 424, 149, 432, 150, 433, 150, 442, 
35, 150, 447, 150, 430, 149, 423, 150, 432, 150, 433, 149, 441, 
40, 150, 446, 150, 429, 149, 423, 149, 431, 150, 431, 150, 439, 
45, 150, 444, 150, 428, 150, 422, 150, 430, 150, 429, 150, 438, 
50, 150, 443, 150, 426, 149, 420, 149, 427, 150, 426, 150, 435, 
55, 150, 442, 150, 424, 149, 419, 150, 426, 150, 424, 149, 433, 
60, 150, 441, 150, 422, 149, 418, 150, 424, 150, 423, 150, 432, 
65, 150, 440, 150, 421, 149, 418, 150, 424, 150, 423, 150, 431, 
70, 150, 440, 150, 421, 149, 417, 149, 423, 150, 422, 149, 430, 
75, 150, 439, 150, 420, 149, 417, 149, 423, 150, 422, 150, 431, 
80, 150, 439, 150, 420, 149, 417, 149, 423, 150, 422, 150, 431, 
85, 150, 438, 150, 420, 149, 416, 149, 422, 150, 421, 150, 430, 
90, 150, 437, 150, 421, 150, 416, 150, 422, 150, 421, 150, 430, 
95, 150, 437, 150, 420, 149, 415, 150, 421, 150, 420, 148, 425, 
100, 149, 435, 150, 420, 150, 414, 149, 420, 150, 420, 150, 428, 
105, 150, 435, 150, 420, 149, 414, 149, 418, 150, 419, 150, 428, 
110, 150, 434, 150, 419, 149, 413, 150, 418, 150, 418, 150, 427, 
115, 150, 433, 150, 419, 149, 412, 149, 416, 150, 418, 150, 427, 
120, 150, 432, 150, 418, 149, 411, 149, 415, 150, 417, 149, 424, 
125, 150, 432, 150, 418, 149, 411, 149, 415, 150, 417, 150, 426, 
130, 150, 432, 150, 418, 149, 411, 149, 414, 150, 416, 150, 426, 
135, 150, 431, 150, 417, 149, 410, 149, 414, 150, 416, 150, 425, 
140, 150, 430, 150, 416, 149, 409, 149, 413, 150, 416, 150, 425, 
145, 150, 430, 150, 416, 149, 409, 149, 413, 150, 415, 150, 424, 
150, 150, 430, 150, 415, 149, 409, 150, 413, 150, 415, 150, 424, 
155, 150, 429, 150, 414, 149, 408, 149, 412, 150, 415, 150, 424, 
160, 150, 429, 150, 414, 149, 407, 149, 412, 150, 414, 150, 423, 
165, 150, 429, 150, 413, 149, 407, 149, 412, 150, 414, 150, 423, 
170, 150, 429, 150, 413, 149, 407, 149, 413, 150, 414, 150, 423, 
175, 150, 429, 150, 413, 149, 406, 149, 412, 150, 414, 150, 423, 
180, 150, 429, 150, 412, 150, 406, 150, 412, 150, 414, 150, 423, 
185, 150, 429, 150, 412, 149, 406, 150, 413, 150, 413, 150, 425, 
190, 149, 428, 150, 411, 150, 406, 149, 412, 150, 413, 150, 423, 
195, 149, 428, 150, 411, 149, 405, 149, 412, 150, 414, 150, 423, 
200, 150, 429, 150, 411, 150, 406, 150, 412, 150, 413, 150, 423, 
205, 150, 428, 150, 410, 149, 405, 150, 412, 150, 413, 150, 423, 
210, 150, 428, 150, 410, 150, 405, 149, 412, 150, 413, 150, 423, 
215, 150, 429, 150, 410, 150, 405, 149, 411, 150, 413, 150, 423, 
220, 150, 430, 150, 410, 149, 404, 150, 411, 150, 414, 150, 423, 
225, 150, 431, 150, 410, 149, 404, 149, 411, 150, 412, 150, 423, 
230, 150, 430, 150, 409, 149, 404, 149, 411, 150, 412, 150, 423, 
235, 150, 431, 150, 409, 150, 405, 149, 411, 150, 412, 150, 423, 
240, 150, 430, 150, 409, 149, 404, 150, 410, 150, 412, 150, 423, 
245, 150, 429, 150, 409, 149, 404, 149, 410, 150, 411, 150, 423, 
250, 150, 429, 150, 409, 149, 404, 149, 410, 150, 411, 150, 423, 
255, 150, 429, 150, 409, 149, 405, 149, 410, 150, 410, 150, 423, 
260, 150, 430, 150, 408, 149, 404, 149, 410, 150, 410, 150, 423, 
265, 150, 430, 150, 407, 149, 404, 149, 409, 150, 410, 150, 422, 
270, 150, 429, 150, 407, 149, 404, 150, 409, 150, 409, 150, 422, 
275, 150, 430, 150, 407, 149, 404, 149, 409, 150, 409, 150, 422, 
280, 150, 430, 150, 407, 149, 404, 149, 408, 150, 409, 150, 422, 
285, 150, 430, 150, 407, 149, 404, 150, 408, 150, 408, 150, 422, 
290, 150, 430, 150, 406, 149, 404, 149, 409, 150, 408, 150, 421, 
295, 150, 430, 150, 406, 149, 404, 149, 408, 150, 407, 150, 421, 
300, 150, 429, 150, 406, 149, 404, 149, 408, 150, 407, 150, 422, 
305, 150, 428, 150, 406, 149, 404, 149, 407, 150, 407, 150, 421, 
310, 150, 428, 150, 405, 149, 404, 149, 406, 150, 407, 150, 421, 
315, 150, 428, 150, 405, 150, 404, 150, 406, 150, 406, 150, 421, 
320, 150, 428, 150, 405, 150, 404, 149, 405, 150, 405, 150, 420, 
325, 150, 427, 150, 405, 149, 404, 149, 405, 150, 405, 150, 420, 
330, 150, 427, 150, 405, 149, 404, 149, 405, 150, 404, 150, 420, 
