t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 371, 150, 367, 150, 363, 149, 378, 150, 374, 150, 393, 
10, 150, 372, 150, 367, 149, 363, 150, 379, 150, 375, 150, 396, 
15, 150, 372, 150, 367, 149, 364, 149, 379, 150, 375, 150, 395, 
20, 150, 372, 150, 367, 149, 364, 149, 379, 150, 375, 150, 395, 
25, 150, 372, 150, 366, 150, 366, 149, 379, 150, 374, 149, 395, 
30, 150, 372, 150, 367, 150, 364, 149, 379, 150, 375, 149, 396, 
35, 150, 371, 150, 367, 149, 363, 150, 379, 149, 374, 150, 395, 
40, 150, 371, 150, 368, 149, 363, 150, 379, 149, 373, 150, 394, 
45, 150, 370, 150, 368, 149, 362, 149, 377, 150, 373, 150, 393, 
50, 150, 369, 150, 363, 149, 362, 150, 376, 150, 371, 150, 391, 
55, 150, 369, 150, 360, 149, 361, 150, 375, 150, 369, 150, 389, 
60, 150, 368, 150, 358, 149, 360, 150, 374, 149, 366, 149, 387, 
65, 150, 368, 150, 357, 149, 360, 149, 374, 150, 368, 150, 387, 
70, 149, 367, 150, 356, 149, 360, 150, 374, 150, 368, 150, 387, 
75, 150, 366, 150, 355, 149, 359, 150, 374, 150, 367, 150, 386, 
80, 150, 365, 150, 356, 149, 358, 149, 373, 150, 366, 150, 386, 
85, 149, 365, 150, 354, 149, 358, 149, 373, 150, 366, 150, 386, 
90, 150, 364, 150, 354, 150, 358, 150, 373, 150, 367, 150, 385, 
95, 150, 363, 150, 353, 149, 356, 149, 372, 150, 365, 150, 384, 
100, 150, 362, 150, 351, 149, 355, 150, 372, 150, 364, 149, 382, 
105, 150, 361, 150, 351, 149, 354, 149, 371, 150, 363, 150, 382, 
110, 150, 360, 150, 350, 149, 353, 149, 370, 150, 362, 149, 380, 
115, 150, 359, 150, 350, 149, 351, 149, 369, 149, 361, 149, 379, 
120, 150, 358, 150, 349, 150, 352, 150, 368, 150, 361, 150, 379, 
125, 150, 357, 150, 348, 149, 350, 149, 367, 150, 360, 149, 378, 
130, 150, 356, 150, 347, 149, 350, 150, 366, 150, 359, 150, 378, 
135, 150, 356, 150, 346, 149, 349, 150, 366, 150, 359, 150, 377, 
140, 150, 356, 150, 346, 149, 349, 150, 365, 150, 359, 150, 377, 
145, 150, 355, 150, 346, 150, 349, 149, 365, 150, 360, 149, 377, 
150, 150, 355, 150, 346, 150, 349, 149, 365, 150, 359, 150, 377, 
155, 150, 355, 150, 345, 150, 349, 150, 365, 150, 358, 150, 378, 
160, 150, 355, 150, 345, 150, 349, 149, 364, 150, 358, 149, 378, 
165, 150, 355, 150, 346, 149, 348, 149, 364, 150, 357, 150, 379, 
170, 150, 355, 149, 345, 150, 349, 149, 364, 149, 357, 149, 379, 
175, 150, 355, 150, 345, 150, 349, 149, 364, 150, 357, 150, 379, 
180, 150, 355, 150, 346, 150, 349, 149, 365, 150, 358, 150, 380, 
185, 150, 355, 150, 346, 149, 349, 150, 365, 150, 357, 150, 380, 
190, 150, 355, 150, 346, 150, 349, 149, 365, 150, 357, 150, 380, 
195, 150, 356, 150, 346, 149, 349, 149, 365, 150, 356, 150, 380, 
200, 150, 356, 150, 345, 149, 349, 150, 365, 150, 356, 149, 380, 
205, 150, 359, 151, 357, 151, 359, 150, 372, 150, 364, 150, 390, 
210, 150, 357, 150, 349, 149, 350, 150, 366, 150, 357, 150, 384, 
215, 150, 357, 150, 349, 149, 350, 149, 364, 150, 357, 151, 384, 
220, 150, 357, 150, 349, 149, 350, 149, 364, 150, 355, 150, 382, 
225, 150, 357, 150, 349, 150, 350, 149, 364, 150, 354, 150, 380, 
230, 150, 357, 150, 349, 149, 350, 149, 364, 150, 354, 150, 380, 
235, 150, 357, 150, 350, 150, 350, 149, 364, 150, 354, 150, 380, 
240, 150, 358, 150, 349, 150, 350, 150, 364, 149, 352, 150, 379, 
245, 150, 358, 150, 350, 149, 349, 150, 363, 149, 351, 150, 379, 
250, 150, 358, 150, 350, 149, 350, 149, 363, 150, 351, 150, 378, 
255, 150, 358, 150, 350, 150, 350, 149, 363, 150, 351, 149, 378, 
260, 150, 358, 150, 351, 149, 349, 149, 363, 150, 351, 150, 378, 
265, 150, 359, 150, 350, 149, 350, 150, 363, 150, 351, 150, 378, 
270, 150, 359, 150, 351, 149, 350, 149, 363, 149, 350, 150, 378, 
275, 150, 359, 150, 351, 150, 350, 149, 362, 150, 349, 150, 377, 
280, 150, 359, 150, 351, 149, 350, 149, 363, 150, 349, 150, 377, 
285, 150, 359, 150, 351, 149, 349, 149, 362, 150, 348, 149, 377, 
290, 150, 359, 150, 351, 149, 349, 150, 362, 150, 348, 150, 377, 
295, 150, 359, 150, 351, 150, 349, 149, 362, 150, 347, 150, 377, 
300, 150, 360, 150, 351, 149, 349, 149, 362, 150, 347, 150, 377, 
305, 150, 360, 150, 351, 149, 349, 150, 362, 150, 347, 150, 376, 
310, 150, 360, 149, 351, 149, 349, 149, 362, 150, 347, 150, 376, 
315, 150, 360, 150, 351, 149, 349, 150, 362, 150, 346, 150, 376, 
320, 150, 360, 150, 351, 150, 348, 149, 361, 150, 346, 150, 376, 
325, 150, 360, 150, 351, 149, 348, 149, 361, 150, 346, 150, 376, 
330, 150, 360, 150, 351, 149, 348, 149, 361, 150, 346, 150, 376, 
