t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 487, 150, 501, 149, 487, 150, 470, 150, 496, 150, 496, 
10, 150, 492, 150, 508, 149, 493, 150, 476, 150, 499, 150, 497, 
15, 150, 496, 149, 512, 149, 496, 149, 475, 150, 500, 150, 497, 
20, 149, 498, 150, 514, 150, 498, 149, 476, 150, 500, 150, 497, 
25, 150, 500, 150, 517, 149, 500, 149, 476, 150, 501, 150, 497, 
30, 150, 500, 150, 518, 150, 501, 149, 475, 150, 502, 150, 500, 
35, 150, 499, 150, 518, 149, 501, 150, 475, 150, 501, 150, 504, 
40, 150, 498, 150, 518, 150, 501, 149, 477, 150, 499, 150, 502, 
45, 150, 499, 150, 518, 149, 500, 150, 479, 150, 499, 150, 501, 
50, 150, 499, 150, 518, 150, 500, 149, 477, 150, 498, 150, 500, 
55, 150, 499, 150, 516, 149, 499, 149, 478, 150, 498, 150, 499, 
60, 150, 498, 150, 515, 149, 498, 150, 476, 150, 497, 150, 498, 
65, 150, 498, 150, 514, 150, 499, 150, 475, 150, 496, 150, 496, 
70, 150, 498, 149, 512, 149, 498, 149, 476, 150, 496, 150, 494, 
75, 150, 497, 150, 510, 149, 498, 149, 473, 150, 495, 150, 493, 
80, 149, 496, 149, 508, 150, 497, 149, 473, 150, 494, 150, 493, 
85, 150, 494, 150, 509, 149, 496, 150, 471, 150, 493, 150, 491, 
90, 150, 495, 150, 509, 149, 495, 149, 468, 150, 493, 150, 491, 
95, 150, 494, 150, 506, 149, 493, 149, 468, 150, 492, 150, 490, 
100, 150, 492, 150, 508, 149, 491, 149, 469, 150, 491, 150, 489, 
105, 150, 492, 150, 507, 149, 490, 150, 468, 150, 490, 150, 488, 
110, 150, 491, 150, 505, 149, 490, 149, 468, 150, 489, 150, 488, 
115, 150, 489, 150, 507, 149, 487, 149, 468, 150, 488, 150, 489, 
120, 150, 489, 150, 508, 150, 488, 150, 466, 150, 487, 150, 488, 
125, 150, 489, 150, 504, 149, 486, 149, 465, 150, 486, 150, 487, 
130, 149, 488, 150, 507, 150, 486, 149, 465, 150, 486, 150, 487, 
135, 149, 487, 150, 504, 149, 485, 149, 465, 150, 486, 149, 484, 
140, 150, 487, 150, 506, 149, 484, 150, 464, 150, 486, 150, 486, 
145, 150, 488, 150, 508, 150, 484, 150, 465, 150, 486, 150, 485, 
150, 150, 488, 149, 507, 150, 484, 150, 465, 150, 486, 150, 486, 
155, 150, 488, 150, 506, 150, 483, 149, 462, 150, 486, 150, 484, 
160, 150, 488, 149, 505, 150, 482, 149, 463, 150, 486, 150, 484, 
165, 150, 488, 150, 506, 149, 482, 149, 464, 150, 486, 150, 484, 
170, 150, 487, 150, 508, 150, 482, 149, 462, 150, 486, 150, 484, 
175, 150, 488, 149, 508, 149, 483, 149, 464, 150, 487, 150, 484, 
180, 150, 489, 150, 506, 150, 482, 150, 465, 150, 487, 150, 484, 
185, 150, 488, 150, 508, 149, 482, 149, 464, 150, 487, 150, 483, 
190, 150, 490, 150, 507, 150, 482, 150, 463, 150, 488, 149, 483, 
195, 149, 489, 150, 508, 150, 482, 149, 463, 150, 488, 150, 483, 
200, 150, 491, 150, 509, 149, 481, 149, 463, 150, 489, 150, 484, 
205, 150, 490, 150, 509, 149, 482, 149, 462, 150, 489, 150, 484, 
210, 150, 490, 150, 509, 149, 481, 149, 462, 150, 490, 150, 484, 
215, 150, 490, 150, 508, 150, 481, 149, 463, 150, 490, 150, 485, 
220, 150, 490, 150, 510, 150, 480, 150, 462, 150, 490, 150, 483, 
225, 150, 491, 150, 509, 149, 481, 149, 462, 150, 490, 150, 485, 
230, 150, 490, 150, 510, 150, 481, 150, 462, 150, 491, 150, 484, 
235, 150, 491, 150, 510, 150, 482, 150, 462, 150, 491, 149, 484, 
240, 149, 491, 150, 508, 149, 481, 150, 462, 150, 490, 150, 484, 
245, 150, 491, 150, 510, 149, 480, 149, 463, 150, 491, 150, 485, 
250, 150, 491, 150, 510, 149, 481, 149, 461, 150, 491, 150, 485, 
255, 150, 490, 149, 510, 150, 481, 149, 461, 150, 491, 149, 483, 
260, 150, 490, 150, 509, 150, 479, 150, 463, 150, 491, 150, 484, 
265, 150, 490, 150, 509, 149, 481, 149, 463, 150, 491, 150, 484, 
270, 150, 491, 150, 508, 150, 479, 149, 461, 150, 491, 150, 484, 
275, 150, 490, 150, 510, 150, 478, 149, 462, 150, 491, 150, 484, 
280, 150, 489, 150, 507, 150, 478, 150, 463, 150, 490, 150, 484, 
285, 149, 488, 150, 507, 150, 478, 150, 461, 150, 490, 150, 484, 
290, 150, 489, 149, 507, 150, 478, 150, 461, 150, 490, 150, 483, 
295, 149, 487, 150, 506, 150, 477, 150, 462, 150, 490, 150, 484, 
300, 150, 487, 150, 505, 150, 476, 150, 462, 150, 490, 150, 483, 
305, 150, 489, 150, 507, 150, 477, 149, 460, 150, 489, 149, 483, 
310, 150, 487, 150, 508, 149, 475, 150, 460, 150, 489, 150, 484, 
315, 150, 487, 150, 505, 150, 474, 149, 460, 150, 489, 150, 484, 
320, 150, 486, 150, 503, 149, 474, 149, 461, 150, 488, 150, 484, 
325, 150, 486, 150, 505, 149, 473, 149, 461, 150, 488, 150, 484, 
330, 150, 485, 150, 502, 149, 474, 150, 461, 150, 488, 150, 484, 
