t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 475, 150, 492, 149, 471, 149, 466, 150, 467, 150, 466, 
10, 150, 478, 150, 494, 150, 475, 149, 468, 150, 470, 150, 466, 
15, 150, 480, 150, 495, 149, 478, 150, 470, 150, 470, 150, 465, 
20, 150, 481, 150, 496, 149, 479, 150, 471, 150, 471, 150, 465, 
25, 150, 482, 150, 497, 149, 480, 149, 471, 150, 471, 150, 464, 
30, 149, 480, 150, 492, 149, 479, 150, 469, 150, 470, 150, 463, 
35, 150, 482, 150, 494, 149, 481, 149, 471, 150, 471, 149, 465, 
40, 150, 481, 150, 491, 149, 479, 149, 469, 150, 469, 150, 465, 
45, 150, 482, 150, 492, 149, 480, 149, 470, 150, 469, 150, 465, 
50, 150, 482, 150, 492, 150, 480, 149, 470, 150, 469, 150, 464, 
55, 150, 483, 150, 492, 149, 481, 149, 470, 150, 469, 150, 464, 
60, 150, 483, 150, 491, 149, 481, 149, 470, 150, 469, 150, 463, 
65, 150, 483, 150, 489, 149, 482, 149, 469, 150, 469, 150, 461, 
70, 150, 483, 150, 486, 150, 482, 149, 468, 150, 468, 149, 460, 
75, 150, 482, 150, 485, 150, 482, 149, 467, 150, 468, 150, 459, 
80, 150, 481, 150, 483, 149, 481, 149, 466, 150, 467, 150, 458, 
85, 150, 479, 150, 481, 149, 480, 149, 464, 150, 466, 150, 457, 
90, 150, 479, 150, 480, 150, 479, 149, 463, 150, 465, 150, 456, 
95, 150, 477, 150, 479, 150, 476, 150, 461, 150, 464, 150, 455, 
100, 150, 476, 150, 478, 149, 473, 149, 460, 150, 462, 150, 455, 
105, 150, 475, 150, 477, 150, 473, 149, 459, 150, 461, 150, 454, 
110, 150, 474, 150, 477, 149, 471, 149, 458, 150, 460, 150, 453, 
115, 150, 472, 150, 476, 150, 471, 150, 457, 150, 459, 150, 455, 
120, 150, 471, 150, 476, 150, 469, 149, 456, 150, 458, 150, 453, 
125, 150, 470, 150, 476, 150, 469, 149, 455, 150, 457, 150, 455, 
130, 150, 470, 150, 476, 150, 468, 150, 455, 150, 456, 150, 453, 
135, 150, 469, 150, 475, 150, 467, 150, 455, 150, 455, 150, 454, 
140, 150, 469, 150, 475, 149, 466, 149, 454, 150, 454, 150, 451, 
145, 150, 468, 150, 475, 150, 466, 150, 454, 150, 454, 150, 453, 
150, 150, 468, 150, 475, 149, 465, 149, 453, 150, 453, 150, 451, 
155, 150, 468, 150, 474, 150, 466, 149, 453, 150, 453, 150, 452, 
160, 150, 468, 150, 474, 149, 464, 149, 453, 150, 452, 150, 449, 
165, 150, 468, 150, 474, 149, 463, 149, 452, 150, 452, 150, 448, 
170, 150, 468, 150, 474, 149, 463, 149, 452, 150, 451, 150, 448, 
175, 150, 469, 150, 474, 149, 463, 150, 452, 150, 451, 150, 447, 
180, 150, 468, 150, 474, 149, 462, 149, 452, 150, 450, 150, 447, 
185, 150, 469, 150, 474, 149, 462, 149, 451, 150, 450, 150, 446, 
190, 150, 469, 150, 474, 149, 462, 149, 451, 150, 449, 150, 447, 
195, 150, 469, 150, 474, 149, 462, 149, 451, 150, 449, 150, 446, 
200, 150, 470, 150, 474, 150, 461, 149, 451, 150, 448, 150, 446, 
205, 149, 469, 150, 474, 149, 460, 149, 451, 150, 448, 150, 445, 
210, 150, 470, 150, 474, 149, 460, 149, 451, 150, 447, 150, 445, 
215, 150, 470, 150, 474, 149, 460, 149, 450, 150, 447, 150, 445, 
220, 150, 470, 150, 474, 149, 459, 149, 449, 150, 447, 150, 445, 
225, 150, 470, 150, 474, 149, 459, 149, 449, 150, 446, 150, 445, 
230, 150, 472, 150, 474, 150, 458, 149, 449, 150, 446, 150, 445, 
235, 150, 471, 150, 474, 150, 458, 150, 449, 150, 445, 150, 446, 
240, 150, 474, 150, 473, 151, 461, 149, 449, 150, 445, 150, 444, 
245, 150, 471, 150, 474, 149, 457, 149, 449, 150, 444, 150, 445, 
250, 151, 475, 150, 473, 149, 456, 149, 448, 150, 444, 150, 444, 
255, 150, 472, 150, 473, 149, 456, 150, 449, 150, 444, 150, 445, 
260, 150, 472, 150, 473, 149, 453, 149, 448, 150, 443, 150, 444, 
265, 150, 474, 150, 472, 150, 455, 149, 448, 150, 443, 150, 444, 
270, 150, 474, 150, 472, 149, 455, 149, 448, 150, 443, 150, 444, 
275, 150, 474, 150, 472, 149, 454, 149, 447, 150, 442, 150, 444, 
280, 150, 475, 150, 471, 150, 454, 149, 447, 150, 442, 150, 445, 
285, 150, 475, 150, 471, 149, 453, 149, 446, 150, 442, 150, 444, 
290, 150, 476, 150, 470, 150, 453, 149, 447, 150, 442, 150, 444, 
295, 150, 476, 150, 469, 149, 452, 149, 446, 150, 442, 150, 444, 
300, 150, 476, 150, 469, 149, 452, 150, 446, 150, 442, 150, 445, 
305, 150, 478, 150, 469, 150, 452, 149, 446, 150, 442, 149, 445, 
310, 150, 478, 150, 468, 149, 451, 149, 445, 150, 442, 150, 445, 
315, 150, 478, 150, 467, 149, 450, 149, 446, 150, 441, 150, 444, 
320, 150, 479, 150, 466, 150, 449, 150, 446, 150, 441, 150, 444, 
325, 150, 480, 150, 465, 149, 448, 149, 445, 150, 441, 149, 444, 
330, 150, 480, 150, 465, 149, 447, 149, 444, 150, 440, 150, 443, 
