t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 443, 150, 455, 150, 437, 150, 431, 150, 438, 150, 434, 
10, 150, 446, 150, 458, 150, 441, 150, 434, 150, 439, 150, 434, 
15, 150, 447, 150, 461, 150, 441, 150, 435, 150, 439, 150, 433, 
20, 150, 448, 150, 461, 149, 442, 150, 437, 150, 440, 150, 435, 
25, 150, 449, 150, 462, 149, 443, 150, 435, 150, 439, 149, 430, 
30, 150, 449, 150, 463, 148, 441, 150, 436, 150, 440, 150, 432, 
35, 150, 449, 150, 462, 150, 442, 149, 434, 150, 439, 150, 432, 
40, 150, 448, 150, 461, 150, 442, 150, 433, 150, 439, 150, 432, 
45, 150, 448, 150, 461, 151, 447, 150, 433, 150, 441, 150, 432, 
50, 150, 449, 150, 461, 150, 444, 150, 434, 150, 440, 150, 431, 
55, 150, 449, 150, 461, 150, 442, 149, 434, 150, 440, 150, 430, 
60, 150, 449, 150, 461, 149, 442, 150, 434, 150, 440, 150, 430, 
65, 150, 448, 150, 459, 150, 442, 149, 435, 150, 439, 150, 428, 
70, 150, 447, 150, 457, 150, 441, 149, 434, 149, 438, 150, 427, 
75, 150, 446, 150, 455, 149, 439, 149, 433, 150, 438, 150, 427, 
80, 150, 445, 150, 453, 150, 439, 149, 431, 150, 437, 150, 426, 
85, 150, 443, 150, 452, 150, 437, 149, 430, 149, 436, 150, 425, 
90, 150, 442, 150, 451, 149, 436, 150, 427, 150, 436, 150, 425, 
95, 150, 441, 150, 449, 150, 436, 150, 426, 150, 435, 150, 425, 
100, 150, 440, 150, 449, 150, 434, 149, 425, 150, 434, 149, 423, 
105, 150, 440, 150, 448, 149, 433, 149, 423, 150, 433, 150, 424, 
110, 150, 439, 150, 447, 149, 432, 150, 423, 150, 432, 150, 423, 
115, 150, 439, 150, 447, 149, 432, 149, 422, 150, 430, 150, 423, 
120, 150, 438, 150, 446, 149, 431, 150, 422, 150, 430, 150, 425, 
125, 150, 437, 150, 445, 150, 432, 150, 421, 150, 429, 150, 422, 
130, 150, 437, 150, 446, 149, 430, 150, 420, 150, 428, 150, 422, 
135, 150, 437, 150, 445, 149, 430, 149, 419, 150, 428, 150, 421, 
140, 150, 436, 150, 445, 149, 431, 149, 419, 150, 427, 150, 421, 
145, 150, 436, 150, 445, 149, 430, 149, 419, 150, 427, 150, 421, 
150, 150, 436, 150, 446, 150, 430, 149, 418, 150, 426, 150, 421, 
155, 150, 435, 150, 445, 149, 430, 149, 418, 150, 426, 150, 420, 
160, 150, 435, 150, 446, 149, 429, 150, 419, 150, 426, 150, 420, 
165, 150, 435, 150, 447, 149, 430, 150, 420, 150, 426, 150, 420, 
170, 150, 435, 150, 447, 149, 430, 149, 420, 150, 426, 150, 420, 
175, 150, 434, 150, 447, 150, 429, 150, 418, 150, 425, 150, 420, 
180, 150, 435, 150, 448, 149, 429, 149, 418, 150, 425, 150, 420, 
185, 150, 435, 150, 448, 149, 428, 150, 418, 150, 425, 150, 420, 
190, 150, 434, 150, 448, 149, 429, 150, 417, 150, 425, 150, 420, 
195, 150, 434, 150, 449, 149, 429, 150, 419, 150, 425, 150, 420, 
200, 150, 435, 150, 448, 149, 430, 149, 418, 150, 425, 150, 422, 
205, 150, 435, 149, 450, 149, 429, 149, 419, 149, 424, 149, 418, 
210, 150, 434, 150, 450, 149, 430, 150, 418, 150, 426, 150, 421, 
215, 150, 435, 150, 450, 149, 429, 149, 418, 150, 425, 150, 421, 
220, 150, 434, 150, 450, 149, 428, 149, 417, 150, 425, 150, 421, 
225, 150, 435, 150, 450, 149, 428, 149, 418, 150, 425, 150, 421, 
230, 150, 435, 150, 450, 149, 428, 150, 418, 150, 425, 150, 421, 
235, 150, 434, 150, 450, 149, 429, 150, 418, 150, 425, 150, 421, 
240, 150, 434, 149, 450, 149, 428, 149, 418, 150, 425, 150, 422, 
245, 150, 434, 150, 451, 149, 428, 149, 417, 149, 424, 149, 420, 
250, 150, 434, 150, 451, 150, 427, 149, 417, 150, 425, 150, 422, 
255, 150, 434, 150, 451, 150, 429, 149, 418, 150, 427, 150, 423, 
260, 150, 434, 150, 451, 149, 426, 150, 417, 150, 425, 150, 423, 
265, 150, 434, 150, 450, 149, 426, 150, 416, 150, 426, 150, 423, 
270, 150, 434, 150, 450, 149, 427, 149, 417, 150, 426, 150, 423, 
275, 150, 434, 150, 450, 149, 427, 150, 417, 150, 426, 150, 423, 
280, 150, 434, 150, 449, 149, 426, 150, 417, 150, 426, 150, 424, 
285, 150, 434, 150, 448, 148, 423, 149, 416, 148, 424, 149, 423, 
290, 150, 434, 150, 448, 149, 425, 150, 415, 150, 426, 150, 425, 
295, 150, 434, 150, 448, 150, 426, 149, 416, 150, 427, 150, 426, 
300, 150, 435, 150, 447, 149, 426, 149, 416, 150, 426, 149, 426, 
305, 150, 434, 150, 447, 149, 425, 150, 414, 150, 426, 150, 426, 
310, 150, 434, 150, 446, 149, 424, 150, 415, 150, 426, 150, 427, 
315, 150, 434, 150, 445, 149, 425, 150, 414, 150, 426, 150, 427, 
320, 150, 434, 150, 446, 149, 424, 149, 414, 150, 426, 150, 431, 
325, 150, 434, 150, 444, 149, 425, 149, 414, 150, 426, 150, 428, 
330, 150, 434, 150, 444, 149, 424, 149, 413, 150, 426, 150, 428, 
