t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 522, 150, 506, 149, 505, 150, 499, 150, 517, 150, 515, 
10, 150, 527, 150, 513, 149, 510, 149, 501, 150, 518, 150, 515, 
15, 150, 529, 150, 516, 150, 514, 150, 502, 150, 519, 149, 513, 
20, 150, 531, 150, 516, 149, 514, 149, 503, 150, 519, 150, 513, 
25, 150, 532, 150, 517, 149, 518, 150, 503, 150, 519, 150, 513, 
30, 150, 533, 149, 519, 149, 519, 149, 503, 150, 519, 150, 512, 
35, 150, 533, 150, 518, 149, 517, 149, 505, 150, 520, 150, 516, 
40, 150, 533, 150, 519, 150, 518, 150, 503, 150, 519, 150, 517, 
45, 150, 532, 150, 518, 149, 517, 150, 501, 150, 518, 150, 516, 
50, 150, 530, 150, 517, 150, 515, 149, 501, 150, 517, 150, 515, 
55, 150, 529, 150, 516, 149, 515, 149, 501, 150, 517, 150, 514, 
60, 150, 528, 150, 518, 149, 513, 149, 498, 150, 516, 150, 513, 
65, 150, 526, 150, 514, 149, 515, 149, 497, 150, 515, 150, 512, 
70, 150, 524, 150, 512, 149, 514, 150, 496, 150, 513, 150, 510, 
75, 150, 521, 150, 512, 149, 513, 149, 492, 150, 511, 150, 509, 
80, 150, 519, 149, 509, 150, 512, 150, 492, 150, 509, 150, 508, 
85, 150, 518, 150, 508, 149, 508, 150, 491, 150, 507, 150, 506, 
90, 150, 516, 150, 507, 150, 507, 150, 489, 150, 506, 150, 505, 
95, 150, 514, 150, 505, 150, 506, 150, 488, 150, 505, 150, 504, 
100, 150, 514, 150, 505, 149, 503, 149, 487, 150, 503, 150, 504, 
105, 150, 514, 150, 503, 149, 502, 150, 489, 150, 503, 150, 503, 
110, 150, 513, 149, 500, 149, 500, 149, 490, 150, 501, 150, 501, 
115, 150, 513, 150, 502, 149, 500, 150, 491, 150, 500, 150, 500, 
120, 150, 513, 150, 502, 149, 500, 149, 491, 150, 500, 150, 499, 
125, 150, 513, 150, 503, 150, 504, 150, 490, 150, 499, 149, 499, 
130, 150, 513, 150, 501, 149, 500, 149, 490, 150, 499, 150, 499, 
135, 150, 513, 150, 503, 150, 502, 149, 490, 150, 499, 150, 499, 
140, 150, 513, 150, 502, 149, 498, 149, 490, 150, 499, 150, 498, 
145, 150, 513, 150, 503, 149, 499, 150, 490, 150, 499, 150, 498, 
150, 150, 513, 150, 501, 149, 497, 149, 490, 150, 499, 150, 498, 
155, 150, 513, 150, 502, 149, 498, 149, 489, 150, 499, 149, 498, 
160, 150, 513, 150, 503, 150, 497, 150, 489, 150, 499, 150, 498, 
165, 150, 513, 150, 501, 149, 496, 149, 487, 150, 499, 150, 498, 
170, 150, 513, 150, 502, 150, 497, 150, 487, 150, 499, 150, 498, 
175, 150, 513, 150, 499, 150, 496, 149, 486, 150, 499, 150, 498, 
180, 150, 514, 150, 501, 149, 495, 149, 486, 150, 499, 150, 499, 
185, 150, 514, 150, 497, 149, 493, 149, 484, 150, 499, 150, 499, 
190, 150, 513, 150, 499, 149, 493, 149, 486, 150, 500, 150, 499, 
195, 150, 513, 149, 498, 149, 495, 150, 485, 150, 500, 150, 500, 
200, 150, 513, 150, 499, 149, 491, 150, 485, 150, 500, 150, 500, 
205, 150, 514, 150, 497, 150, 495, 149, 483, 150, 500, 150, 500, 
210, 150, 513, 150, 498, 149, 490, 149, 482, 150, 500, 150, 500, 
215, 150, 513, 150, 495, 149, 491, 149, 482, 150, 501, 150, 500, 
220, 150, 514, 150, 496, 149, 489, 149, 481, 150, 501, 150, 501, 
225, 150, 513, 150, 498, 149, 488, 149, 481, 150, 501, 150, 501, 
230, 150, 513, 149, 494, 150, 489, 150, 480, 150, 501, 150, 501, 
235, 150, 513, 150, 495, 150, 489, 149, 479, 150, 501, 150, 502, 
240, 150, 512, 150, 495, 149, 485, 149, 478, 150, 501, 150, 502, 
245, 150, 510, 150, 494, 149, 485, 150, 477, 150, 500, 150, 502, 
250, 150, 511, 149, 493, 149, 482, 150, 477, 150, 500, 150, 502, 
255, 150, 510, 150, 494, 150, 483, 149, 476, 150, 500, 150, 503, 
260, 150, 511, 150, 492, 149, 484, 149, 475, 150, 500, 150, 503, 
265, 150, 509, 150, 491, 150, 484, 149, 474, 150, 500, 150, 502, 
270, 150, 508, 150, 488, 149, 480, 150, 473, 150, 500, 150, 503, 
275, 150, 508, 150, 488, 149, 482, 149, 472, 150, 500, 150, 503, 
280, 150, 507, 150, 487, 150, 479, 149, 471, 150, 500, 150, 503, 
285, 150, 506, 150, 487, 149, 479, 149, 470, 150, 500, 150, 503, 
290, 150, 505, 150, 485, 149, 479, 150, 469, 150, 500, 150, 503, 
295, 150, 504, 150, 483, 150, 479, 149, 468, 150, 500, 150, 503, 
300, 150, 504, 150, 481, 150, 478, 149, 467, 150, 500, 149, 503, 
305, 150, 503, 150, 480, 149, 479, 150, 466, 150, 500, 150, 503, 
310, 150, 500, 150, 479, 149, 477, 149, 465, 150, 499, 150, 504, 
315, 150, 500, 150, 477, 149, 478, 149, 464, 150, 499, 150, 504, 
320, 150, 499, 150, 475, 149, 478, 149, 463, 150, 499, 150, 504, 
325, 150, 498, 150, 475, 150, 474, 149, 462, 150, 499, 150, 505, 
330, 150, 498, 150, 473, 149, 474, 149, 461, 150, 498, 150, 505, 
