t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 455, 149, 449, 149, 443, 149, 449, 150, 446, 150, 448, 
10, 150, 458, 150, 454, 150, 447, 150, 452, 150, 447, 150, 448, 
15, 150, 461, 150, 456, 149, 450, 149, 454, 150, 448, 150, 448, 
20, 150, 463, 150, 458, 150, 452, 150, 455, 150, 448, 150, 448, 
25, 150, 463, 150, 460, 149, 454, 149, 456, 150, 448, 150, 450, 
30, 150, 463, 150, 461, 150, 455, 149, 456, 150, 448, 149, 449, 
35, 150, 462, 150, 461, 150, 454, 149, 458, 150, 448, 149, 447, 
40, 150, 460, 150, 459, 149, 451, 150, 456, 150, 446, 150, 447, 
45, 150, 457, 150, 457, 150, 448, 150, 454, 150, 444, 149, 444, 
50, 149, 453, 149, 454, 149, 444, 149, 453, 150, 441, 149, 441, 
55, 149, 449, 150, 451, 149, 440, 149, 451, 150, 438, 150, 440, 
60, 150, 448, 150, 449, 149, 438, 149, 450, 150, 435, 149, 437, 
65, 150, 445, 150, 447, 149, 435, 149, 448, 150, 433, 150, 435, 
70, 150, 443, 150, 446, 150, 432, 150, 448, 150, 430, 150, 433, 
75, 150, 440, 150, 445, 149, 430, 150, 446, 150, 427, 150, 432, 
80, 150, 439, 150, 443, 150, 429, 149, 446, 150, 425, 150, 430, 
85, 150, 437, 150, 441, 149, 427, 150, 444, 150, 423, 150, 430, 
90, 150, 438, 150, 440, 149, 426, 149, 442, 150, 422, 150, 429, 
95, 149, 435, 150, 439, 149, 425, 150, 440, 150, 421, 150, 427, 
100, 150, 435, 150, 438, 149, 425, 149, 439, 150, 420, 150, 426, 
105, 150, 435, 150, 438, 150, 425, 149, 438, 150, 419, 150, 425, 
110, 149, 433, 150, 436, 149, 423, 149, 437, 150, 419, 149, 423, 
115, 150, 435, 150, 436, 149, 424, 149, 436, 150, 419, 150, 424, 
120, 150, 435, 150, 434, 149, 424, 149, 435, 150, 419, 150, 424, 
125, 150, 435, 150, 433, 150, 425, 150, 434, 150, 419, 150, 423, 
130, 150, 435, 150, 433, 149, 424, 149, 434, 150, 419, 150, 423, 
135, 150, 435, 150, 432, 150, 425, 149, 434, 150, 419, 150, 423, 
140, 150, 435, 150, 432, 150, 425, 149, 433, 150, 419, 150, 423, 
145, 150, 435, 150, 432, 150, 425, 150, 433, 150, 420, 150, 423, 
150, 150, 435, 150, 432, 149, 425, 149, 432, 150, 420, 150, 423, 
155, 150, 435, 150, 432, 149, 425, 149, 432, 150, 420, 150, 423, 
160, 150, 436, 150, 432, 149, 425, 150, 432, 150, 421, 149, 422, 
165, 150, 436, 150, 432, 149, 426, 149, 433, 150, 421, 150, 424, 
170, 150, 436, 150, 432, 149, 426, 149, 432, 150, 421, 150, 425, 
175, 150, 437, 150, 432, 149, 426, 150, 432, 150, 422, 150, 425, 
180, 150, 437, 150, 433, 150, 427, 149, 432, 150, 422, 150, 425, 
185, 150, 438, 150, 432, 149, 427, 149, 432, 150, 422, 150, 426, 
190, 150, 438, 150, 432, 149, 427, 149, 432, 150, 423, 150, 427, 
195, 150, 438, 150, 434, 148, 423, 150, 431, 150, 423, 150, 427, 
200, 150, 438, 150, 433, 149, 427, 149, 432, 150, 423, 150, 428, 
205, 150, 438, 150, 434, 150, 428, 149, 432, 150, 424, 150, 428, 
210, 150, 438, 150, 434, 149, 427, 150, 432, 150, 424, 150, 429, 
215, 150, 439, 150, 434, 150, 427, 149, 432, 150, 424, 150, 429, 
220, 150, 439, 150, 434, 150, 427, 150, 433, 150, 424, 150, 429, 
225, 150, 439, 150, 435, 149, 426, 149, 432, 150, 425, 150, 430, 
230, 150, 439, 150, 435, 149, 427, 150, 432, 150, 425, 150, 431, 
235, 150, 439, 150, 435, 150, 426, 149, 432, 150, 426, 150, 431, 
240, 150, 440, 150, 434, 149, 425, 150, 434, 150, 426, 150, 432, 
245, 149, 439, 150, 434, 149, 425, 150, 432, 150, 426, 150, 433, 
250, 150, 440, 150, 434, 149, 424, 150, 433, 150, 426, 149, 432, 
255, 150, 440, 150, 434, 149, 423, 149, 432, 150, 427, 150, 433, 
260, 150, 440, 150, 433, 149, 423, 149, 433, 150, 427, 150, 433, 
265, 150, 440, 150, 433, 148, 420, 149, 433, 150, 427, 150, 434, 
270, 150, 441, 150, 433, 149, 422, 149, 433, 150, 427, 150, 434, 
275, 150, 441, 150, 433, 150, 422, 149, 433, 150, 428, 150, 434, 
280, 150, 441, 150, 434, 150, 421, 149, 433, 150, 428, 150, 435, 
285, 150, 441, 150, 434, 150, 420, 150, 433, 150, 428, 150, 435, 
290, 150, 441, 150, 434, 149, 419, 150, 433, 150, 429, 150, 435, 
295, 150, 441, 150, 434, 149, 417, 149, 433, 150, 429, 150, 436, 
300, 150, 441, 150, 434, 150, 416, 149, 432, 150, 429, 150, 436, 
305, 150, 441, 150, 433, 149, 413, 149, 432, 150, 429, 150, 436, 
310, 150, 441, 150, 433, 150, 414, 149, 432, 150, 429, 150, 436, 
315, 150, 440, 150, 433, 150, 413, 149, 431, 150, 429, 150, 436, 
320, 150, 440, 150, 433, 150, 412, 149, 432, 150, 429, 150, 437, 
325, 150, 439, 150, 431, 149, 410, 149, 431, 150, 429, 150, 438, 
330, 150, 438, 150, 429, 149, 409, 149, 430, 150, 429, 150, 438, 
