t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 506, 150, 504, 150, 494, 150, 481, 150, 507, 150, 498, 
10, 150, 514, 150, 509, 150, 503, 149, 484, 150, 510, 150, 500, 
15, 150, 515, 150, 516, 149, 501, 149, 486, 150, 512, 150, 501, 
20, 150, 519, 150, 517, 150, 506, 149, 488, 150, 514, 150, 502, 
25, 150, 517, 150, 517, 150, 504, 149, 489, 150, 514, 150, 503, 
30, 150, 522, 150, 520, 149, 506, 149, 490, 150, 515, 150, 504, 
35, 150, 519, 150, 519, 149, 507, 149, 490, 150, 515, 150, 502, 
40, 150, 519, 150, 519, 149, 509, 149, 491, 150, 516, 150, 504, 
45, 150, 522, 150, 520, 149, 508, 149, 491, 150, 516, 150, 503, 
50, 150, 519, 149, 520, 149, 508, 150, 491, 150, 517, 150, 503, 
55, 150, 519, 150, 519, 150, 508, 149, 492, 150, 517, 150, 503, 
60, 150, 521, 150, 518, 150, 509, 150, 492, 150, 517, 150, 502, 
65, 150, 518, 150, 516, 149, 509, 150, 492, 150, 516, 150, 501, 
70, 150, 517, 150, 514, 149, 506, 149, 491, 150, 516, 150, 500, 
75, 150, 517, 150, 515, 150, 503, 150, 490, 150, 515, 150, 500, 
80, 150, 513, 150, 512, 149, 502, 149, 489, 150, 513, 150, 500, 
85, 150, 511, 150, 510, 150, 503, 149, 486, 150, 512, 150, 499, 
90, 150, 510, 150, 510, 149, 501, 150, 484, 150, 511, 150, 499, 
95, 150, 511, 149, 512, 150, 499, 150, 482, 150, 510, 150, 499, 
100, 150, 509, 150, 508, 149, 501, 149, 479, 150, 509, 149, 498, 
105, 150, 506, 150, 508, 150, 500, 149, 478, 150, 508, 150, 498, 
110, 150, 504, 150, 509, 149, 501, 150, 477, 150, 508, 150, 498, 
115, 150, 507, 150, 508, 150, 496, 150, 477, 150, 508, 150, 497, 
120, 150, 503, 150, 509, 149, 494, 150, 475, 150, 507, 150, 497, 
125, 150, 506, 150, 511, 149, 493, 150, 475, 150, 507, 150, 497, 
130, 150, 504, 150, 510, 150, 492, 149, 475, 150, 507, 150, 496, 
135, 149, 505, 150, 511, 149, 496, 149, 475, 150, 507, 150, 496, 
140, 150, 507, 150, 512, 149, 492, 149, 475, 150, 507, 150, 495, 
145, 150, 504, 150, 512, 149, 492, 150, 476, 150, 507, 150, 495, 
150, 150, 507, 150, 515, 150, 489, 149, 475, 150, 507, 150, 495, 
155, 150, 507, 150, 514, 150, 492, 149, 475, 150, 508, 149, 494, 
160, 150, 510, 150, 517, 149, 491, 150, 476, 150, 508, 150, 495, 
165, 150, 510, 150, 516, 150, 488, 149, 476, 150, 508, 150, 495, 
170, 150, 509, 150, 518, 149, 490, 150, 477, 150, 508, 150, 495, 
175, 150, 510, 150, 519, 149, 487, 149, 476, 150, 509, 150, 495, 
180, 150, 509, 149, 521, 150, 486, 149, 477, 150, 509, 150, 494, 
185, 150, 510, 150, 522, 150, 485, 150, 477, 150, 509, 150, 495, 
190, 150, 509, 149, 522, 150, 486, 150, 477, 150, 509, 150, 495, 
195, 149, 510, 150, 523, 150, 489, 149, 477, 150, 509, 150, 495, 
200, 150, 510, 150, 522, 150, 489, 149, 477, 150, 510, 150, 495, 
205, 150, 511, 150, 522, 149, 488, 150, 477, 150, 510, 150, 495, 
210, 150, 508, 150, 523, 150, 485, 149, 478, 150, 510, 149, 495, 
215, 150, 512, 150, 522, 149, 485, 149, 477, 150, 511, 150, 495, 
220, 150, 512, 150, 522, 149, 486, 149, 477, 150, 511, 150, 494, 
225, 150, 509, 150, 522, 150, 485, 149, 478, 150, 511, 150, 494, 
230, 150, 510, 150, 521, 149, 483, 150, 477, 150, 511, 150, 495, 
235, 150, 509, 149, 520, 150, 485, 150, 477, 150, 512, 150, 495, 
240, 150, 513, 150, 520, 150, 485, 150, 478, 150, 511, 150, 495, 
245, 150, 511, 150, 520, 149, 482, 150, 476, 150, 511, 150, 495, 
250, 150, 510, 150, 519, 149, 484, 149, 476, 150, 511, 150, 495, 
255, 150, 513, 149, 518, 149, 481, 149, 477, 150, 511, 149, 494, 
260, 150, 510, 150, 517, 149, 480, 150, 476, 150, 511, 150, 494, 
265, 150, 513, 149, 517, 149, 482, 149, 475, 150, 511, 150, 494, 
270, 150, 507, 150, 515, 150, 479, 150, 475, 150, 511, 149, 494, 
275, 150, 510, 150, 514, 150, 479, 149, 473, 150, 511, 150, 494, 
280, 150, 510, 150, 514, 149, 478, 150, 473, 150, 511, 150, 493, 
285, 150, 509, 150, 513, 149, 475, 149, 473, 150, 510, 150, 494, 
290, 150, 507, 150, 511, 150, 475, 149, 473, 150, 510, 150, 494, 
295, 150, 509, 150, 510, 149, 476, 150, 472, 150, 510, 150, 493, 
300, 150, 507, 149, 508, 149, 473, 150, 471, 150, 509, 149, 494, 
305, 149, 505, 150, 508, 150, 473, 149, 470, 150, 509, 150, 493, 
310, 150, 502, 149, 506, 149, 470, 149, 469, 150, 508, 150, 493, 
315, 150, 505, 150, 507, 150, 470, 149, 469, 150, 509, 150, 493, 
320, 150, 503, 150, 505, 149, 469, 149, 467, 150, 507, 150, 493, 
325, 150, 500, 150, 503, 149, 469, 150, 466, 150, 506, 150, 492, 
330, 150, 501, 150, 503, 149, 470, 149, 464, 150, 506, 150, 492, 
