t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 480, 150, 460, 150, 449, 149, 453, 150, 464, 150, 467, 
10, 149, 485, 150, 464, 149, 452, 149, 455, 150, 466, 150, 468, 
15, 150, 488, 150, 465, 149, 453, 149, 456, 150, 466, 150, 468, 
20, 150, 489, 150, 466, 149, 454, 149, 457, 150, 467, 150, 468, 
25, 149, 489, 150, 467, 149, 454, 150, 458, 150, 467, 150, 467, 
30, 149, 490, 150, 468, 149, 456, 150, 458, 150, 467, 150, 467, 
35, 150, 491, 150, 468, 149, 455, 149, 457, 150, 467, 149, 467, 
40, 149, 489, 150, 466, 149, 454, 149, 455, 150, 466, 150, 467, 
45, 150, 489, 150, 466, 149, 454, 150, 455, 150, 465, 150, 465, 
50, 150, 488, 150, 465, 150, 454, 150, 455, 149, 462, 150, 464, 
55, 150, 486, 150, 464, 150, 453, 150, 454, 150, 463, 149, 462, 
60, 150, 484, 150, 462, 149, 451, 149, 452, 150, 462, 150, 461, 
65, 150, 481, 150, 460, 149, 449, 149, 451, 150, 461, 150, 460, 
70, 150, 479, 150, 458, 149, 447, 149, 449, 150, 460, 150, 457, 
75, 150, 477, 150, 456, 150, 446, 149, 447, 150, 459, 150, 456, 
80, 150, 475, 150, 454, 150, 444, 149, 446, 150, 457, 150, 454, 
85, 149, 473, 150, 453, 149, 443, 149, 444, 150, 456, 150, 453, 
90, 150, 472, 150, 451, 149, 441, 149, 442, 150, 454, 150, 452, 
95, 149, 471, 150, 450, 149, 439, 150, 442, 150, 453, 149, 450, 
100, 150, 471, 150, 449, 149, 438, 149, 441, 150, 452, 150, 450, 
105, 149, 469, 150, 448, 149, 436, 149, 440, 150, 452, 149, 449, 
110, 150, 469, 150, 447, 149, 435, 150, 440, 150, 451, 150, 449, 
115, 149, 469, 150, 446, 149, 435, 149, 439, 150, 451, 150, 448, 
120, 150, 469, 150, 446, 149, 435, 149, 439, 150, 450, 150, 448, 
125, 150, 469, 150, 445, 149, 435, 149, 439, 150, 450, 150, 447, 
130, 150, 469, 150, 445, 150, 435, 149, 438, 150, 450, 150, 447, 
135, 149, 468, 150, 445, 149, 435, 149, 439, 150, 450, 150, 446, 
140, 150, 468, 150, 445, 149, 434, 149, 439, 150, 450, 149, 445, 
145, 150, 470, 150, 445, 149, 435, 149, 440, 150, 450, 150, 447, 
150, 150, 471, 150, 445, 149, 435, 150, 441, 150, 450, 150, 444, 
155, 150, 472, 150, 445, 150, 435, 150, 440, 150, 449, 150, 445, 
160, 150, 469, 150, 445, 150, 435, 150, 443, 150, 451, 150, 444, 
165, 150, 470, 150, 445, 149, 435, 149, 441, 150, 450, 150, 445, 
170, 150, 470, 150, 445, 149, 436, 150, 441, 150, 449, 150, 446, 
175, 150, 470, 150, 445, 150, 436, 150, 442, 150, 449, 150, 444, 
180, 150, 470, 150, 445, 149, 436, 150, 442, 150, 449, 150, 445, 
185, 150, 471, 150, 445, 149, 436, 149, 443, 150, 451, 150, 445, 
190, 150, 471, 150, 445, 149, 437, 150, 443, 150, 450, 150, 446, 
195, 150, 472, 150, 445, 150, 437, 150, 444, 150, 450, 150, 445, 
200, 150, 472, 150, 445, 149, 437, 150, 444, 150, 450, 150, 445, 
205, 150, 472, 150, 445, 149, 438, 149, 444, 150, 450, 150, 447, 
210, 150, 472, 150, 444, 149, 438, 149, 444, 150, 450, 150, 446, 
215, 150, 473, 150, 444, 149, 438, 150, 445, 150, 450, 150, 446, 
220, 150, 473, 150, 444, 150, 438, 149, 445, 150, 450, 150, 447, 
225, 150, 473, 150, 444, 150, 439, 149, 444, 150, 450, 150, 447, 
230, 150, 473, 150, 444, 149, 439, 150, 444, 150, 450, 150, 448, 
235, 150, 472, 150, 443, 149, 439, 149, 444, 149, 449, 150, 447, 
240, 150, 472, 150, 443, 149, 439, 150, 445, 150, 450, 150, 448, 
245, 150, 472, 150, 442, 149, 439, 150, 444, 150, 450, 150, 448, 
250, 150, 472, 150, 442, 149, 438, 149, 444, 150, 450, 150, 448, 
255, 150, 472, 150, 441, 149, 438, 150, 445, 150, 450, 150, 448, 
260, 149, 470, 150, 441, 149, 438, 149, 443, 150, 449, 150, 449, 
265, 149, 470, 150, 440, 149, 438, 150, 443, 150, 449, 150, 449, 
270, 149, 470, 150, 440, 149, 438, 149, 441, 150, 449, 149, 449, 
275, 149, 470, 150, 439, 150, 438, 150, 443, 150, 449, 150, 449, 
280, 149, 470, 150, 439, 149, 437, 149, 442, 150, 449, 150, 449, 
285, 150, 469, 150, 438, 149, 437, 149, 442, 150, 449, 150, 449, 
290, 150, 469, 150, 438, 149, 437, 149, 443, 150, 449, 150, 449, 
295, 150, 468, 150, 437, 149, 436, 149, 443, 150, 448, 150, 449, 
300, 150, 468, 150, 436, 150, 436, 149, 443, 150, 448, 150, 451, 
305, 150, 467, 150, 435, 150, 435, 149, 442, 150, 448, 150, 449, 
310, 150, 466, 150, 434, 149, 434, 149, 442, 150, 447, 150, 449, 
315, 150, 465, 150, 433, 149, 433, 150, 442, 150, 447, 150, 449, 
320, 150, 466, 150, 432, 149, 433, 150, 442, 150, 447, 150, 449, 
325, 150, 466, 150, 431, 149, 432, 150, 441, 150, 446, 150, 448, 
330, 150, 462, 150, 431, 149, 432, 150, 440, 150, 446, 150, 448, 
