t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 465, 150, 452, 149, 449, 149, 455, 150, 456, 150, 455, 
10, 150, 471, 150, 457, 149, 454, 149, 458, 150, 460, 149, 459, 
15, 150, 474, 150, 460, 149, 457, 149, 460, 150, 462, 150, 463, 
20, 150, 475, 150, 462, 149, 459, 149, 462, 149, 462, 149, 459, 
25, 150, 477, 150, 463, 149, 460, 150, 462, 150, 464, 150, 463, 
30, 150, 478, 150, 464, 149, 461, 149, 463, 150, 464, 150, 464, 
35, 150, 478, 150, 463, 150, 460, 149, 462, 150, 463, 150, 463, 
40, 149, 477, 150, 461, 149, 457, 149, 461, 150, 462, 150, 463, 
45, 150, 476, 150, 460, 150, 457, 149, 459, 150, 461, 150, 462, 
50, 150, 476, 150, 459, 149, 455, 149, 459, 150, 461, 150, 462, 
55, 150, 476, 150, 459, 149, 454, 149, 458, 149, 459, 150, 461, 
60, 150, 474, 149, 458, 150, 453, 150, 457, 150, 458, 150, 460, 
65, 150, 472, 150, 457, 149, 451, 149, 456, 150, 456, 150, 458, 
70, 150, 470, 150, 455, 150, 448, 149, 454, 150, 454, 150, 458, 
75, 150, 468, 150, 454, 149, 446, 149, 452, 150, 455, 150, 457, 
80, 150, 467, 150, 453, 149, 444, 150, 450, 150, 450, 150, 456, 
85, 150, 465, 150, 451, 150, 443, 149, 447, 150, 451, 150, 454, 
90, 150, 464, 150, 450, 150, 441, 149, 446, 150, 448, 151, 457, 
95, 150, 463, 150, 449, 150, 440, 149, 445, 150, 447, 150, 453, 
100, 150, 463, 150, 448, 150, 440, 150, 444, 150, 446, 150, 452, 
105, 150, 462, 150, 447, 149, 438, 149, 444, 150, 446, 150, 451, 
110, 150, 462, 150, 447, 149, 437, 149, 443, 150, 446, 150, 451, 
115, 150, 461, 150, 446, 149, 436, 149, 442, 150, 445, 149, 450, 
120, 150, 462, 150, 446, 149, 436, 150, 443, 150, 445, 150, 450, 
125, 150, 462, 150, 445, 149, 436, 150, 443, 150, 445, 150, 451, 
130, 150, 462, 150, 446, 150, 436, 149, 442, 150, 445, 150, 451, 
135, 150, 462, 150, 445, 149, 435, 150, 442, 150, 445, 150, 451, 
140, 150, 462, 150, 444, 149, 436, 149, 443, 150, 445, 150, 451, 
145, 150, 462, 150, 444, 149, 436, 149, 442, 150, 445, 150, 452, 
150, 150, 463, 149, 443, 149, 436, 149, 443, 150, 445, 149, 452, 
155, 150, 463, 150, 444, 150, 436, 150, 444, 150, 445, 150, 454, 
160, 150, 463, 150, 444, 149, 436, 149, 443, 150, 446, 150, 454, 
165, 150, 464, 150, 444, 149, 437, 149, 444, 150, 446, 150, 455, 
170, 150, 465, 150, 444, 149, 437, 150, 445, 150, 446, 149, 456, 
175, 150, 465, 150, 444, 149, 438, 150, 445, 150, 446, 150, 457, 
180, 150, 466, 150, 444, 150, 438, 149, 446, 150, 447, 150, 458, 
185, 150, 467, 150, 444, 150, 438, 149, 446, 150, 447, 150, 460, 
190, 150, 468, 150, 444, 149, 439, 150, 448, 150, 447, 150, 461, 
195, 150, 469, 150, 444, 149, 440, 150, 449, 150, 448, 150, 462, 
200, 150, 469, 150, 445, 149, 440, 149, 449, 150, 448, 149, 463, 
205, 150, 470, 150, 445, 149, 441, 149, 450, 150, 449, 150, 465, 
210, 150, 471, 150, 445, 149, 440, 150, 451, 150, 449, 150, 467, 
215, 150, 472, 150, 445, 150, 441, 149, 451, 150, 449, 150, 468, 
220, 150, 474, 150, 445, 149, 441, 150, 454, 150, 450, 150, 470, 
225, 150, 473, 150, 446, 149, 441, 150, 454, 150, 450, 150, 471, 
230, 149, 474, 150, 446, 149, 442, 149, 453, 150, 451, 150, 473, 
235, 150, 475, 150, 447, 149, 442, 149, 454, 149, 450, 149, 475, 
240, 150, 475, 150, 447, 149, 443, 150, 456, 150, 451, 150, 477, 
245, 150, 476, 150, 448, 149, 443, 149, 456, 149, 451, 150, 478, 
250, 150, 477, 149, 448, 149, 443, 149, 458, 150, 452, 150, 480, 
255, 150, 477, 150, 448, 149, 444, 149, 458, 150, 454, 150, 482, 
260, 150, 478, 150, 448, 149, 444, 149, 460, 150, 452, 150, 484, 
265, 150, 479, 150, 449, 149, 445, 149, 460, 149, 450, 150, 486, 
270, 150, 479, 150, 449, 149, 445, 149, 461, 150, 450, 149, 487, 
275, 150, 480, 150, 449, 150, 445, 149, 462, 150, 450, 150, 488, 
280, 150, 480, 150, 449, 150, 446, 149, 462, 149, 448, 150, 490, 
285, 150, 481, 150, 450, 149, 446, 149, 463, 150, 448, 150, 492, 
290, 150, 481, 150, 450, 149, 446, 150, 463, 150, 449, 150, 494, 
295, 150, 480, 149, 450, 149, 446, 150, 464, 150, 447, 150, 496, 
300, 150, 481, 150, 451, 149, 447, 150, 465, 150, 446, 150, 496, 
305, 150, 480, 150, 451, 150, 447, 150, 466, 150, 446, 150, 497, 
310, 150, 480, 150, 451, 150, 445, 150, 466, 150, 446, 150, 497, 
315, 150, 480, 150, 451, 150, 444, 149, 467, 150, 445, 150, 499, 
320, 150, 480, 150, 451, 149, 443, 150, 468, 150, 445, 150, 500, 
325, 149, 479, 150, 452, 149, 442, 150, 467, 150, 445, 149, 501, 
330, 149, 480, 150, 453, 149, 441, 150, 468, 150, 445, 150, 502, 
