t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 494, 150, 501, 149, 488, 149, 484, 150, 485, 150, 482, 
10, 150, 499, 150, 508, 150, 494, 150, 488, 150, 488, 150, 483, 
15, 150, 502, 150, 511, 149, 498, 149, 489, 150, 490, 150, 484, 
20, 150, 504, 150, 515, 150, 501, 149, 491, 150, 490, 150, 484, 
25, 150, 506, 150, 517, 150, 503, 150, 491, 150, 491, 150, 484, 
30, 150, 506, 150, 518, 149, 504, 149, 492, 150, 491, 150, 485, 
35, 150, 506, 150, 517, 150, 504, 149, 493, 150, 491, 150, 487, 
40, 150, 506, 150, 516, 149, 504, 150, 490, 150, 491, 150, 484, 
45, 150, 506, 150, 515, 149, 503, 149, 489, 150, 490, 150, 483, 
50, 150, 506, 150, 515, 150, 504, 149, 488, 150, 489, 150, 481, 
55, 150, 506, 150, 514, 149, 504, 150, 487, 150, 489, 150, 480, 
60, 150, 506, 149, 512, 149, 502, 150, 486, 150, 487, 150, 478, 
65, 150, 503, 150, 510, 149, 501, 149, 486, 150, 486, 150, 477, 
70, 150, 501, 150, 508, 150, 501, 149, 484, 150, 485, 150, 476, 
75, 150, 500, 150, 506, 150, 499, 149, 483, 150, 484, 150, 475, 
80, 150, 497, 150, 506, 150, 498, 149, 478, 150, 483, 150, 474, 
85, 150, 496, 150, 504, 149, 495, 149, 478, 150, 483, 150, 474, 
90, 150, 495, 150, 502, 149, 493, 150, 477, 150, 481, 150, 473, 
95, 150, 494, 150, 503, 149, 493, 150, 475, 150, 480, 150, 472, 
100, 150, 493, 150, 501, 149, 493, 149, 474, 150, 479, 150, 473, 
105, 150, 493, 150, 502, 150, 492, 150, 471, 150, 479, 150, 472, 
110, 150, 492, 150, 502, 149, 492, 149, 470, 150, 478, 150, 472, 
115, 150, 492, 149, 500, 149, 490, 149, 469, 150, 477, 149, 472, 
120, 150, 493, 149, 501, 149, 490, 149, 470, 150, 477, 150, 472, 
125, 150, 493, 149, 500, 149, 490, 149, 470, 150, 476, 150, 472, 
130, 150, 492, 149, 501, 149, 490, 149, 468, 150, 476, 150, 471, 
135, 150, 492, 149, 500, 149, 489, 149, 470, 150, 476, 150, 472, 
140, 150, 493, 150, 502, 150, 492, 149, 469, 150, 476, 150, 471, 
145, 150, 493, 149, 502, 150, 492, 149, 468, 150, 476, 150, 471, 
150, 150, 494, 150, 501, 150, 492, 150, 469, 150, 476, 150, 470, 
155, 150, 495, 150, 503, 151, 496, 150, 468, 150, 477, 150, 471, 
160, 150, 496, 150, 502, 150, 492, 149, 470, 150, 477, 150, 470, 
165, 150, 497, 150, 503, 149, 492, 149, 468, 150, 478, 150, 471, 
170, 150, 498, 150, 503, 150, 493, 150, 468, 150, 478, 150, 471, 
175, 150, 498, 149, 502, 149, 493, 149, 471, 150, 478, 150, 471, 
180, 150, 499, 150, 503, 149, 492, 150, 470, 150, 478, 150, 471, 
185, 150, 501, 150, 504, 149, 494, 149, 471, 150, 479, 150, 471, 
190, 150, 501, 150, 504, 149, 494, 150, 470, 150, 479, 150, 471, 
195, 150, 502, 150, 505, 150, 496, 150, 471, 150, 480, 150, 471, 
200, 150, 503, 150, 504, 150, 497, 149, 470, 150, 480, 150, 471, 
205, 150, 503, 150, 504, 149, 496, 150, 471, 150, 480, 150, 472, 
210, 150, 504, 150, 505, 150, 495, 150, 471, 150, 480, 150, 472, 
215, 150, 506, 150, 505, 149, 495, 150, 471, 150, 481, 150, 472, 
220, 150, 506, 150, 504, 149, 496, 150, 470, 150, 481, 150, 473, 
225, 150, 506, 150, 505, 150, 495, 150, 471, 150, 482, 150, 473, 
230, 150, 507, 150, 506, 149, 494, 149, 471, 150, 482, 150, 474, 
235, 150, 507, 150, 504, 150, 494, 149, 471, 150, 483, 150, 473, 
240, 150, 507, 150, 504, 149, 494, 149, 471, 150, 483, 150, 474, 
245, 150, 508, 150, 506, 150, 493, 149, 469, 150, 484, 149, 471, 
250, 150, 509, 150, 506, 150, 493, 149, 469, 150, 484, 150, 474, 
255, 150, 510, 150, 504, 150, 492, 149, 470, 150, 484, 149, 472, 
260, 150, 509, 150, 503, 150, 492, 150, 469, 150, 484, 149, 475, 
265, 150, 511, 150, 503, 149, 490, 150, 468, 149, 482, 149, 474, 
270, 150, 510, 149, 505, 149, 489, 150, 468, 150, 485, 150, 476, 
275, 150, 510, 150, 504, 149, 488, 149, 466, 150, 485, 150, 476, 
280, 150, 511, 150, 504, 149, 488, 150, 465, 150, 485, 150, 477, 
285, 150, 509, 150, 501, 150, 488, 150, 464, 150, 485, 150, 476, 
290, 150, 510, 149, 501, 149, 484, 149, 462, 150, 486, 150, 478, 
295, 150, 509, 150, 503, 150, 482, 149, 461, 150, 486, 150, 476, 
300, 150, 508, 149, 500, 149, 482, 149, 460, 150, 486, 150, 477, 
305, 150, 509, 150, 499, 150, 480, 150, 459, 150, 486, 150, 477, 
310, 150, 508, 150, 499, 149, 479, 150, 458, 150, 487, 150, 476, 
315, 150, 508, 150, 496, 149, 478, 150, 456, 150, 487, 150, 476, 
320, 150, 507, 149, 496, 149, 474, 149, 456, 149, 487, 150, 476, 
325, 150, 507, 150, 493, 150, 473, 150, 457, 150, 488, 150, 477, 
330, 150, 507, 150, 492, 149, 473, 149, 455, 150, 488, 150, 477, 
