t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 2, 149, 0, 149, -2, 150, 0, 149, 0, 150, -1, 
10, 150, 17, 149, 0, 149, -2, 150, 0, 150, 0, 149, -2, 
15, 150, 2, 150, 16, 150, -2, 149, 0, 149, 0, 149, -1, 
20, 149, 2, 150, 0, 149, 12, 150, 0, 150, 0, 149, -1, 
25, 149, 2, 150, 1, 149, -2, 149, 0, 150, 0, 150, -1, 
30, 150, 2, 150, 1, 149, -2, 149, 0, 150, 0, 149, -2, 
35, 150, 1, 149, 1, 149, -2, 150, 0, 150, 15, 149, -1, 
40, 149, 2, 150, 1, 150, -2, 151, 0, 149, 0, 148, 13, 
45, 149, 2, 150, 1, 150, -2, 149, 0, 149, 0, 149, -1, 
50, 149, 2, 149, 0, 149, -2, 150, 0, 150, 0, 150, -1, 
55, 149, 2, 149, 0, 150, -2, 149, 0, 150, 0, 149, -1, 
