t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 0, 149, 194, 150, 1, 150, 0, 149, 1, 150, 0, 
10, 150, 0, 150, 194, 150, 1, 149, 1, 149, 1, 149, 0, 
15, 150, 0, 150, 194, 149, 1, 150, 1, 150, 1, 150, 0, 
20, 150, 0, 149, 194, 149, 1, 150, 0, 150, 1, 149, 1, 
25, 149, 0, 150, 194, 149, 1, 150, 1, 149, 0, 149, 1, 
30, 149, 0, 150, 195, 149, 0, 150, 1, 150, 0, 150, 1, 
35, 149, 0, 150, 195, 149, 1, 149, 1, 150, 1, 150, 0, 
40, 149, 0, 149, 195, 149, 1, 150, 1, 149, 1, 150, 0, 
45, 149, 0, 149, 195, 149, 1, 150, 1, 149, 1, 150, 1, 
50, 150, 0, 149, 194, 149, 1, 149, 1, 149, 0, 149, 1, 
55, 150, 1, 150, 195, 150, 0, 150, 1, 149, 1, 150, 0, 
60, 150, 0, 150, 194, 149, 1, 149, 1, 149, 1, 150, 0, 
65, 150, 0, 149, 194, 150, 1, 149, 1, 149, 1, 149, 0, 
70, 150, 0, 149, 194, 149, 1, 150, 1, 149, 1, 149, 0, 
75, 149, 0, 150, 194, 149, 1, 150, 0, 149, 1, 150, 1, 
80, 150, 0, 150, 195, 150, 0, 149, 1, 149, 0, 149, 1, 
85, 149, 0, 149, 195, 150, 0, 150, 1, 149, 1, 150, 0, 
90, 149, 0, 150, 195, 149, 1, 150, 1, 149, 1, 150, 0, 
95, 150, 0, 150, 194, 150, 1, 150, 1, 150, 0, 149, 1, 
100, 149, 0, 149, 194, 149, 1, 149, 1, 149, 1, 150, 0, 
105, 149, 0, 149, 194, 149, 0, 149, 1, 149, 1, 149, 1, 
110, 149, 0, 150, 194, 149, 0, 149, 1, 149, 1, 149, 0, 
115, 149, 0, 150, 194, 150, 0, 149, 0, 149, 0, 150, 0, 
120, 149, 0, 150, 195, 150, 1, 149, 1, 149, 0, 149, 0, 
125, 150, 0, 150, 194, 150, 1, 149, 1, 149, 0, 150, 1, 
130, 149, 0, 150, 195, 150, 0, 150, 1, 149, 0, 149, 0, 
135, 150, 0, 149, 195, 150, 1, 149, 0, 149, 0, 149, 1, 
140, 150, 0, 150, 195, 149, 1, 150, 0, 150, 1, 150, 0, 
145, 150, 0, 150, 195, 149, 0, 149, 1, 149, 0, 150, 0, 
150, 150, 0, 150, 195, 150, 1, 150, 1, 150, 1, 150, 0, 
155, 149, 0, 149, 194, 149, 0, 150, 1, 149, 0, 149, 0, 
160, 149, 0, 149, 194, 150, 1, 149, 1, 149, 1, 149, 0, 
165, 150, 0, 149, 195, 149, 0, 150, 1, 149, 0, 149, 1, 
170, 150, 0, 150, 195, 149, 1, 149, 1, 149, 1, 150, 0, 
175, 149, 0, 150, 195, 149, 1, 149, 1, 149, 0, 150, 0, 
180, 149, 0, 149, 195, 149, 1, 149, 1, 149, 0, 150, 0, 
185, 150, 0, 150, 195, 150, 1, 150, 1, 150, 0, 149, 1, 
190, 150, 0, 149, 195, 149, 1, 150, 0, 150, 0, 150, 1, 
195, 149, 0, 150, 195, 149, 1, 149, 0, 150, 0, 149, 1, 
200, 149, 0, 150, 195, 150, 0, 150, 0, 149, 0, 149, 0, 
205, 149, 0, 150, 194, 150, 1, 150, 0, 149, 1, 150, 0, 
210, 150, 0, 150, 194, 149, 0, 149, 0, 150, 0, 150, 0, 
215, 150, 0, 150, 195, 149, 1, 150, 1, 150, 0, 150, 0, 
220, 150, 0, 149, 194, 149, 0, 149, 0, 149, 0, 150, 0, 
225, 150, 0, 149, 195, 150, 0, 150, 0, 150, 1, 149, 0, 
230, 149, 0, 149, 195, 150, 1, 149, 0, 149, 1, 149, 0, 
235, 150, 0, 149, 195, 150, 1, 149, 1, 149, 1, 150, 0, 
240, 149, 0, 150, 195, 149, 1, 149, 1, 149, 1, 150, 1, 
245, 150, 0, 149, 195, 150, 0, 149, 1, 150, 0, 149, 1, 
250, 150, 0, 149, 195, 150, 1, 149, 1, 149, 1, 149, 0, 
255, 150, 0, 149, 195, 150, 0, 149, 0, 149, 1, 150, 1, 
260, 149, 0, 150, 195, 149, 0, 149, 1, 149, 1, 149, 0, 
265, 150, 0, 149, 194, 149, 1, 149, 1, 149, 1, 150, 1, 
270, 150, 0, 149, 195, 149, 0, 149, 1, 149, 0, 150, 1, 
275, 149, 0, 149, 195, 150, 1, 150, 1, 149, 1, 150, 0, 
280, 150, 0, 150, 195, 150, 0, 149, 1, 150, 1, 149, 1, 
285, 149, 0, 149, 194, 150, 1, 150, 1, 149, 1, 149, 1, 
290, 149, 0, 150, 195, 149, 1, 149, 1, 149, 1, 150, 0, 
295, 150, 0, 150, 194, 149, 1, 149, 1, 150, 1, 149, 0, 
300, 150, 0, 150, 194, 150, 1, 150, 0, 149, 0, 150, 0, 
305, 149, 0, 150, 195, 150, 0, 149, 1, 150, 1, 149, 0, 
310, 150, 0, 149, 195, 149, 1, 150, 1, 149, 0, 149, 0, 
315, 150, 0, 150, 195, 149, 1, 149, 1, 150, 1, 149, 0, 
320, 150, 0, 149, 195, 150, 1, 149, 0, 149, 1, 149, 0, 
325, 150, 0, 149, 194, 149, 1, 149, 1, 150, 1, 150, 0, 
330, 149, 0, 149, 195, 149, 0, 149, 1, 149, 0, 150, 1, 
