t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 195, 150, 1, 150, 1, 150, 1, 149, 0, 150, 0, 
10, 150, 195, 150, 1, 149, 1, 150, 1, 149, 0, 150, 0, 
15, 150, 195, 150, 2, 149, 1, 150, 1, 150, 0, 150, 0, 
20, 150, 195, 149, 2, 150, 1, 149, 1, 150, 0, 150, 0, 
25, 150, 195, 150, 2, 150, 1, 150, 1, 150, 0, 150, 0, 
30, 149, 195, 149, 1, 149, 1, 150, 1, 149, 0, 150, 0, 
35, 150, 196, 150, 1, 149, 1, 149, 1, 150, 0, 150, 0, 
40, 149, 196, 149, 2, 149, 1, 150, 1, 149, 0, 149, 0, 
45, 149, 195, 149, 2, 149, 1, 149, 1, 149, 0, 149, 0, 
50, 149, 195, 150, 1, 149, 1, 150, 1, 149, 0, 150, 0, 
55, 149, 195, 150, 1, 149, 1, 149, 1, 150, 0, 150, 0, 
60, 150, 195, 150, 2, 150, 1, 149, 1, 149, 0, 150, 0, 
65, 149, 195, 149, 2, 149, 1, 150, 1, 149, 0, 150, 0, 
70, 149, 195, 149, 2, 149, 0, 150, 1, 150, 0, 150, 0, 
75, 150, 195, 149, 2, 150, 1, 150, 1, 149, 0, 149, 0, 
80, 150, 195, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
85, 150, 195, 149, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
90, 149, 195, 149, 2, 149, 1, 150, 1, 149, 0, 150, 0, 
95, 150, 195, 150, 2, 150, 1, 150, 1, 149, 0, 149, 0, 
100, 149, 195, 150, 2, 150, 1, 150, 1, 150, 0, 150, 0, 
105, 150, 195, 150, 2, 150, 0, 149, 1, 149, 0, 150, 0, 
110, 149, 195, 150, 1, 149, 1, 150, 1, 149, 0, 150, 0, 
115, 149, 195, 150, 1, 149, 1, 150, 1, 149, 0, 150, 0, 
120, 149, 195, 150, 2, 149, 1, 150, 1, 149, 0, 149, 0, 
125, 150, 195, 150, 2, 150, 1, 150, 1, 149, 1, 150, 0, 
130, 149, 195, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
135, 150, 196, 150, 2, 149, 1, 150, 1, 149, 0, 150, 0, 
140, 149, 196, 149, 1, 149, 1, 150, 1, 149, 0, 150, 0, 
145, 149, 195, 149, 2, 149, 2, 149, 1, 149, 0, 150, 0, 
150, 149, 195, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
155, 150, 196, 149, 2, 149, 0, 149, 1, 150, 0, 149, 0, 
160, 149, 196, 149, 1, 149, 1, 150, 1, 149, 0, 150, 0, 
165, 149, 196, 149, 1, 150, 1, 150, 1, 150, 0, 150, 0, 
170, 149, 195, 150, 1, 149, 1, 149, 1, 150, 0, 150, 0, 
175, 149, 195, 150, 2, 149, 1, 150, 1, 150, 0, 150, 0, 
180, 149, 195, 150, 1, 149, 0, 150, 1, 149, 0, 149, 0, 
185, 149, 195, 149, 2, 150, 1, 150, 1, 149, 0, 150, 0, 
190, 149, 195, 150, 2, 149, 1, 149, 1, 149, 0, 149, 0, 
195, 149, 195, 150, 2, 149, 1, 150, 1, 150, 0, 150, 0, 
200, 149, 196, 150, 1, 149, 1, 149, 1, 149, 0, 150, 0, 
205, 149, 195, 149, 1, 149, 1, 149, 1, 149, 0, 150, 0, 
210, 149, 195, 149, 2, 150, 1, 150, 1, 149, 0, 150, 0, 
215, 149, 195, 149, 1, 149, 1, 149, 1, 149, 0, 149, 0, 
220, 150, 196, 149, 1, 150, 0, 150, 1, 149, 0, 149, 0, 
225, 150, 195, 149, 1, 149, 1, 149, 1, 150, 0, 150, 0, 
230, 149, 196, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
235, 149, 195, 150, 1, 149, 0, 150, 1, 149, 0, 150, 0, 
240, 149, 195, 150, 1, 149, 1, 150, 1, 149, 0, 150, 0, 
245, 150, 195, 149, 1, 149, 1, 149, 1, 149, 0, 150, 0, 
250, 149, 195, 150, 2, 149, 1, 150, 1, 149, 0, 150, 0, 
255, 149, 195, 150, 2, 149, 1, 149, 1, 149, 0, 149, 0, 
260, 149, 195, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
265, 150, 196, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
270, 150, 195, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
275, 149, 195, 150, 2, 149, 1, 150, 1, 150, 0, 149, 0, 
280, 149, 195, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
285, 150, 196, 149, 1, 149, 1, 149, 1, 149, 0, 149, 0, 
290, 150, 195, 149, 1, 149, 1, 149, 1, 149, 0, 149, 0, 
295, 150, 195, 150, 2, 150, 1, 149, 1, 149, 0, 150, 0, 
300, 150, 196, 149, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
305, 150, 195, 150, 2, 149, 1, 149, 1, 149, 1, 150, 0, 
310, 149, 196, 149, 2, 150, 1, 150, 1, 149, 0, 150, 0, 
315, 150, 195, 149, 2, 149, 1, 150, 1, 150, 0, 150, 0, 
320, 149, 195, 150, 2, 149, 1, 149, 1, 149, 0, 150, 0, 
325, 150, 195, 149, 1, 150, 1, 149, 1, 150, 0, 150, 0, 
330, 150, 195, 149, 1, 150, 1, 149, 1, 149, 0, 150, 0, 
