t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 448, 149, 455, 149, 455, 150, 443, 150, 466, 150, 445, 
10, 150, 449, 149, 455, 150, 456, 150, 443, 150, 466, 150, 451, 
15, 150, 448, 149, 454, 150, 456, 149, 442, 150, 467, 150, 449, 
20, 149, 447, 149, 454, 150, 454, 149, 442, 150, 467, 150, 447, 
25, 150, 447, 149, 453, 150, 455, 150, 442, 150, 465, 150, 449, 
30, 150, 448, 149, 452, 149, 455, 149, 441, 149, 463, 149, 449, 
35, 149, 447, 149, 453, 149, 454, 149, 441, 149, 463, 149, 448, 
40, 150, 448, 149, 454, 150, 453, 149, 441, 150, 463, 150, 446, 
45, 150, 448, 149, 454, 150, 453, 150, 439, 149, 462, 149, 447, 
50, 150, 447, 149, 453, 149, 453, 150, 439, 150, 462, 150, 442, 
55, 149, 447, 149, 452, 150, 453, 149, 439, 149, 462, 150, 439, 
60, 150, 445, 149, 450, 150, 453, 149, 438, 150, 459, 150, 439, 
65, 150, 443, 150, 451, 150, 456, 150, 436, 150, 460, 149, 439, 
70, 149, 441, 149, 448, 150, 455, 150, 434, 149, 459, 150, 439, 
75, 150, 439, 149, 446, 150, 453, 150, 434, 150, 458, 150, 438, 
80, 149, 437, 149, 446, 150, 450, 149, 434, 149, 458, 150, 436, 
85, 150, 440, 149, 447, 150, 449, 149, 434, 150, 457, 150, 439, 
90, 150, 439, 149, 446, 149, 448, 150, 432, 150, 457, 149, 438, 
95, 150, 436, 149, 446, 150, 447, 149, 433, 149, 457, 150, 437, 
100, 150, 436, 149, 446, 149, 447, 149, 432, 150, 457, 149, 437, 
105, 149, 435, 149, 445, 149, 446, 149, 430, 150, 456, 150, 436, 
110, 149, 435, 149, 444, 150, 446, 151, 434, 150, 458, 150, 434, 
115, 150, 433, 149, 444, 149, 443, 149, 428, 149, 459, 149, 432, 
120, 150, 433, 150, 446, 150, 443, 150, 427, 150, 459, 150, 432, 
125, 150, 431, 149, 448, 150, 444, 149, 427, 150, 458, 150, 432, 
130, 150, 430, 149, 449, 150, 445, 149, 428, 150, 458, 150, 430, 
135, 150, 429, 150, 450, 150, 448, 150, 426, 150, 457, 150, 430, 
140, 150, 428, 149, 450, 149, 449, 149, 424, 149, 457, 150, 431, 
145, 150, 429, 150, 452, 150, 449, 149, 425, 150, 458, 150, 429, 
150, 150, 429, 149, 451, 150, 450, 149, 424, 150, 456, 149, 430, 
155, 150, 429, 149, 451, 150, 450, 150, 424, 149, 456, 149, 430, 
160, 150, 429, 150, 450, 150, 449, 149, 425, 150, 456, 150, 432, 
165, 150, 428, 149, 451, 149, 450, 149, 425, 149, 455, 150, 430, 
170, 150, 428, 150, 450, 150, 450, 150, 425, 150, 456, 150, 432, 
175, 150, 430, 149, 449, 149, 449, 150, 426, 150, 456, 149, 431, 
180, 150, 429, 150, 450, 150, 448, 149, 427, 149, 454, 150, 431, 
185, 150, 428, 149, 447, 150, 449, 150, 426, 150, 454, 150, 432, 
190, 150, 428, 149, 448, 150, 448, 150, 426, 150, 453, 149, 432, 
195, 150, 428, 149, 447, 150, 447, 150, 426, 149, 453, 150, 429, 
200, 149, 428, 150, 447, 150, 448, 149, 425, 150, 452, 149, 430, 
205, 150, 427, 149, 448, 150, 448, 150, 424, 149, 450, 150, 431, 
210, 150, 427, 149, 446, 149, 448, 150, 425, 150, 450, 150, 430, 
215, 150, 427, 149, 447, 149, 447, 149, 423, 150, 449, 150, 430, 
220, 150, 427, 150, 446, 149, 448, 150, 424, 149, 450, 150, 431, 
225, 150, 426, 149, 446, 149, 448, 149, 424, 150, 449, 149, 433, 
230, 150, 426, 150, 446, 149, 446, 150, 426, 149, 449, 150, 431, 
235, 150, 425, 149, 445, 150, 447, 149, 425, 150, 450, 150, 431, 
240, 150, 426, 149, 443, 150, 447, 149, 422, 150, 449, 150, 432, 
245, 149, 425, 149, 444, 150, 446, 150, 424, 150, 450, 150, 431, 
250, 150, 426, 149, 444, 150, 447, 149, 423, 150, 448, 150, 432, 
255, 150, 425, 149, 443, 150, 446, 149, 422, 150, 448, 150, 432, 
260, 150, 425, 150, 444, 150, 447, 150, 423, 150, 448, 150, 432, 
265, 150, 425, 149, 442, 149, 445, 149, 423, 150, 446, 150, 430, 
270, 150, 425, 150, 442, 150, 445, 149, 421, 150, 446, 150, 432, 
275, 150, 423, 149, 440, 150, 445, 149, 422, 149, 447, 149, 430, 
280, 150, 423, 149, 442, 150, 443, 150, 422, 149, 446, 150, 429, 
285, 150, 422, 149, 441, 150, 446, 150, 422, 150, 446, 149, 430, 
290, 150, 423, 149, 439, 149, 445, 149, 420, 149, 447, 150, 431, 
295, 149, 423, 150, 440, 150, 444, 150, 422, 150, 446, 150, 427, 
300, 150, 423, 149, 440, 150, 445, 149, 421, 150, 445, 149, 429, 
305, 150, 423, 149, 439, 150, 443, 149, 419, 150, 444, 150, 426, 
310, 150, 424, 150, 439, 150, 442, 149, 419, 150, 446, 150, 425, 
315, 150, 423, 149, 439, 150, 442, 149, 420, 149, 444, 150, 424, 
320, 150, 422, 150, 438, 150, 443, 149, 420, 150, 444, 150, 425, 
325, 150, 422, 149, 436, 150, 442, 149, 419, 150, 445, 150, 423, 
330, 150, 422, 149, 438, 150, 441, 149, 421, 150, 444, 150, 423, 
