t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 229, 149, 278, 150, 413, 150, 219, 150, 236, 150, 212, 
10, 150, 227, 149, 261, 149, 303, 149, 217, 149, 233, 150, 212, 
15, 150, 226, 150, 251, 150, 280, 149, 217, 150, 231, 150, 213, 
20, 150, 225, 149, 246, 149, 258, 150, 219, 150, 230, 150, 212, 
25, 150, 224, 149, 244, 150, 242, 150, 217, 150, 228, 150, 213, 
30, 150, 223, 149, 241, 149, 231, 149, 217, 150, 229, 150, 212, 
35, 149, 222, 150, 240, 150, 226, 149, 217, 149, 227, 150, 211, 
40, 149, 221, 149, 240, 150, 225, 150, 217, 150, 228, 149, 212, 
45, 150, 222, 150, 234, 150, 224, 150, 214, 149, 225, 150, 213, 
50, 150, 220, 149, 226, 150, 218, 150, 210, 149, 220, 149, 211, 
55, 150, 220, 149, 225, 149, 217, 149, 209, 149, 220, 150, 213, 
60, 150, 220, 150, 223, 150, 217, 150, 210, 150, 220, 150, 212, 
65, 149, 219, 149, 224, 150, 216, 150, 212, 150, 224, 150, 212, 
70, 149, 220, 149, 224, 150, 224, 149, 210, 149, 238, 150, 210, 
75, 150, 220, 149, 230, 149, 235, 149, 213, 150, 248, 150, 213, 
80, 150, 220, 150, 240, 150, 240, 150, 220, 149, 250, 150, 212, 
85, 150, 220, 150, 241, 150, 241, 150, 222, 150, 252, 150, 209, 
90, 149, 221, 150, 241, 149, 241, 149, 220, 149, 250, 150, 212, 
95, 149, 221, 149, 241, 150, 237, 150, 221, 149, 248, 150, 211, 
100, 150, 223, 149, 241, 149, 236, 150, 219, 150, 247, 150, 213, 
105, 150, 223, 149, 237, 150, 234, 150, 218, 149, 246, 150, 211, 
110, 150, 224, 149, 236, 150, 233, 149, 218, 150, 246, 150, 211, 
115, 150, 224, 149, 235, 149, 231, 149, 217, 149, 242, 150, 210, 
120, 150, 224, 150, 233, 150, 232, 149, 216, 150, 240, 149, 209, 
125, 150, 224, 150, 233, 149, 230, 149, 215, 150, 241, 149, 211, 
130, 150, 225, 150, 234, 150, 230, 150, 215, 149, 239, 150, 210, 
135, 150, 225, 150, 233, 150, 231, 149, 214, 150, 240, 150, 209, 
140, 150, 225, 149, 233, 149, 231, 149, 212, 149, 239, 150, 210, 
145, 150, 225, 150, 233, 150, 230, 149, 214, 150, 238, 150, 210, 
150, 150, 226, 149, 235, 150, 230, 149, 212, 150, 238, 150, 210, 
155, 150, 226, 149, 234, 150, 230, 150, 212, 150, 238, 150, 209, 
160, 150, 227, 150, 234, 150, 229, 150, 211, 150, 236, 149, 210, 
165, 150, 228, 149, 235, 150, 229, 149, 212, 149, 235, 150, 209, 
170, 149, 229, 150, 234, 150, 229, 150, 212, 150, 235, 150, 208, 
175, 150, 230, 150, 234, 150, 229, 149, 210, 149, 235, 150, 206, 
180, 150, 231, 150, 235, 150, 228, 149, 211, 150, 233, 149, 208, 
185, 150, 231, 149, 234, 150, 229, 150, 211, 150, 234, 150, 205, 
190, 150, 232, 149, 233, 149, 229, 149, 209, 150, 234, 150, 208, 
195, 150, 232, 150, 235, 150, 230, 150, 211, 150, 233, 150, 208, 
200, 150, 233, 149, 234, 150, 229, 149, 209, 150, 235, 150, 207, 
205, 150, 234, 149, 234, 149, 230, 150, 209, 149, 234, 150, 206, 
210, 150, 234, 150, 233, 149, 230, 150, 210, 149, 235, 150, 207, 
215, 150, 235, 149, 233, 149, 231, 149, 209, 149, 235, 150, 207, 
220, 150, 236, 149, 234, 150, 233, 150, 209, 150, 237, 149, 205, 
225, 149, 236, 150, 232, 149, 232, 149, 209, 150, 236, 150, 206, 
230, 149, 237, 150, 234, 150, 232, 149, 211, 150, 236, 149, 206, 
235, 150, 237, 150, 234, 150, 233, 150, 209, 150, 238, 150, 205, 
240, 150, 238, 149, 233, 149, 234, 149, 208, 150, 238, 150, 206, 
245, 150, 238, 150, 234, 150, 234, 150, 210, 149, 237, 149, 207, 
250, 150, 239, 150, 234, 149, 234, 150, 210, 150, 239, 150, 203, 
255, 149, 239, 150, 234, 149, 236, 150, 209, 149, 239, 150, 204, 
260, 150, 240, 150, 234, 150, 236, 149, 210, 150, 240, 150, 205, 
265, 150, 240, 150, 235, 149, 235, 149, 209, 150, 241, 150, 205, 
270, 150, 241, 150, 234, 149, 236, 149, 211, 150, 242, 150, 202, 
275, 150, 241, 149, 234, 149, 237, 149, 210, 149, 241, 150, 205, 
280, 150, 241, 150, 235, 150, 236, 150, 210, 149, 242, 150, 204, 
285, 150, 241, 150, 235, 149, 237, 150, 210, 150, 243, 150, 202, 
290, 150, 241, 149, 233, 149, 238, 149, 209, 149, 243, 150, 204, 
295, 149, 241, 150, 235, 150, 239, 150, 211, 150, 243, 150, 204, 
300, 149, 241, 149, 235, 150, 238, 149, 210, 150, 244, 150, 201, 
305, 150, 241, 149, 235, 150, 240, 149, 210, 150, 244, 149, 202, 
310, 150, 241, 150, 235, 149, 240, 150, 212, 150, 246, 150, 204, 
315, 150, 241, 149, 235, 149, 240, 149, 211, 150, 245, 150, 202, 
320, 150, 240, 149, 235, 150, 241, 150, 211, 150, 245, 149, 201, 
325, 150, 240, 149, 235, 150, 240, 149, 211, 150, 245, 150, 202, 
330, 150, 239, 149, 235, 150, 240, 150, 212, 150, 245, 149, 204, 
