t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 295, 149, 580, 150, 570, 149, 560, 150, 605, 150, 299, 
10, 150, 299, 150, 580, 150, 574, 151, 567, 150, 608, 150, 301, 
15, 150, 303, 149, 581, 150, 573, 150, 565, 150, 605, 150, 303, 
20, 150, 308, 149, 582, 150, 572, 150, 565, 149, 605, 150, 305, 
25, 149, 311, 149, 580, 150, 571, 149, 564, 150, 607, 150, 306, 
30, 150, 315, 149, 583, 149, 573, 150, 563, 150, 606, 150, 305, 
35, 150, 316, 149, 582, 150, 573, 150, 563, 150, 605, 150, 304, 
40, 149, 317, 149, 581, 150, 571, 149, 561, 150, 607, 149, 303, 
45, 150, 316, 149, 581, 150, 570, 149, 560, 150, 601, 150, 304, 
50, 150, 318, 149, 583, 149, 569, 149, 559, 150, 602, 150, 303, 
55, 150, 317, 149, 584, 150, 568, 150, 558, 150, 601, 149, 304, 
60, 149, 315, 149, 585, 150, 570, 149, 558, 150, 601, 150, 305, 
65, 150, 313, 150, 588, 150, 574, 150, 560, 149, 600, 150, 306, 
70, 150, 314, 149, 590, 149, 576, 150, 563, 149, 601, 150, 308, 
75, 150, 313, 149, 593, 150, 579, 149, 563, 150, 602, 150, 313, 
80, 150, 317, 149, 595, 150, 585, 150, 566, 150, 599, 149, 315, 
85, 150, 319, 149, 598, 150, 586, 150, 569, 149, 600, 150, 319, 
90, 150, 323, 149, 601, 149, 588, 150, 570, 150, 600, 149, 322, 
95, 150, 326, 150, 606, 150, 592, 149, 571, 149, 601, 150, 323, 
100, 150, 326, 149, 609, 150, 595, 150, 577, 150, 602, 149, 327, 
105, 150, 328, 149, 613, 150, 598, 150, 579, 150, 604, 150, 332, 
110, 150, 329, 149, 615, 149, 600, 150, 578, 149, 603, 149, 334, 
115, 150, 330, 149, 575, 150, 572, 150, 545, 149, 562, 149, 336, 
120, 150, 330, 149, 559, 150, 558, 150, 533, 150, 541, 150, 340, 
125, 150, 335, 150, 548, 150, 547, 149, 523, 149, 527, 150, 346, 
130, 150, 278, 149, 482, 150, 483, 149, 465, 150, 483, 149, 282, 
135, 150, 242, 150, 450, 150, 451, 149, 436, 150, 466, 150, 252, 
140, 150, 222, 149, 428, 149, 429, 150, 422, 149, 450, 150, 230, 
145, 150, 212, 150, 421, 150, 421, 150, 417, 150, 447, 150, 220, 
150, 150, 210, 149, 422, 149, 419, 149, 419, 149, 448, 149, 220, 
155, 150, 211, 150, 424, 150, 421, 150, 419, 149, 452, 150, 218, 
160, 150, 212, 149, 424, 149, 419, 150, 421, 150, 453, 149, 216, 
165, 150, 210, 150, 426, 150, 419, 150, 421, 150, 455, 150, 219, 
170, 150, 212, 149, 426, 149, 418, 149, 418, 149, 457, 149, 219, 
175, 150, 212, 149, 429, 150, 420, 149, 417, 150, 459, 150, 219, 
180, 150, 211, 149, 432, 150, 419, 150, 421, 150, 461, 149, 221, 
185, 150, 212, 149, 430, 150, 419, 150, 422, 150, 464, 150, 222, 
190, 150, 212, 149, 432, 150, 421, 150, 420, 149, 465, 149, 221, 
195, 150, 214, 149, 432, 150, 421, 149, 420, 150, 463, 150, 219, 
200, 150, 214, 149, 434, 149, 422, 150, 422, 149, 464, 150, 221, 
205, 149, 215, 149, 433, 150, 422, 150, 424, 150, 466, 150, 223, 
210, 149, 216, 150, 433, 150, 421, 150, 422, 149, 466, 150, 221, 
215, 150, 218, 150, 433, 149, 423, 150, 424, 149, 468, 150, 220, 
220, 150, 218, 149, 432, 149, 426, 150, 425, 149, 466, 150, 220, 
225, 150, 219, 150, 433, 150, 426, 150, 425, 150, 468, 150, 223, 
230, 150, 219, 149, 432, 150, 426, 150, 421, 150, 469, 149, 220, 
235, 150, 220, 150, 433, 150, 427, 150, 423, 150, 467, 150, 220, 
240, 150, 221, 149, 432, 149, 426, 150, 425, 150, 468, 150, 221, 
245, 150, 220, 149, 434, 149, 423, 150, 423, 150, 467, 150, 223, 
250, 150, 221, 149, 434, 150, 423, 150, 420, 150, 466, 149, 222, 
255, 150, 220, 149, 434, 150, 425, 150, 421, 149, 465, 150, 223, 
260, 150, 221, 149, 433, 150, 421, 150, 422, 149, 465, 150, 222, 
265, 150, 220, 149, 433, 149, 421, 150, 421, 149, 465, 149, 225, 
270, 150, 221, 150, 434, 150, 421, 150, 420, 150, 465, 149, 222, 
275, 150, 220, 149, 434, 150, 421, 150, 422, 149, 462, 149, 222, 
280, 150, 219, 149, 434, 149, 420, 150, 421, 150, 466, 150, 222, 
285, 150, 220, 149, 433, 150, 419, 150, 420, 150, 465, 150, 224, 
290, 150, 220, 149, 434, 150, 418, 150, 421, 149, 464, 150, 221, 
295, 150, 219, 149, 433, 150, 418, 150, 420, 150, 464, 150, 224, 
300, 150, 218, 150, 432, 150, 418, 150, 419, 150, 465, 150, 224, 
305, 150, 219, 149, 431, 150, 419, 150, 420, 149, 464, 150, 222, 
310, 150, 218, 150, 432, 150, 417, 150, 424, 149, 462, 149, 222, 
315, 150, 219, 149, 430, 149, 419, 150, 422, 149, 460, 150, 223, 
320, 149, 219, 149, 429, 150, 417, 149, 418, 150, 462, 150, 224, 
325, 150, 219, 149, 429, 150, 417, 150, 421, 149, 460, 150, 222, 
330, 150, 219, 149, 430, 150, 417, 150, 422, 150, 462, 150, 223, 
