t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 437, 149, 441, 149, 423, 150, 419, 149, 449, 150, 462, 
10, 149, 441, 149, 440, 150, 425, 150, 424, 150, 453, 150, 463, 
15, 150, 444, 150, 440, 150, 425, 149, 425, 150, 455, 150, 465, 
20, 150, 445, 149, 443, 149, 429, 149, 424, 150, 457, 150, 467, 
25, 150, 448, 150, 440, 150, 428, 149, 427, 149, 456, 149, 466, 
30, 150, 448, 150, 439, 149, 428, 149, 428, 150, 454, 149, 465, 
35, 150, 446, 150, 443, 150, 429, 150, 427, 150, 455, 149, 466, 
40, 150, 445, 149, 442, 149, 427, 150, 427, 149, 455, 150, 464, 
45, 150, 443, 150, 441, 150, 426, 150, 428, 150, 452, 149, 463, 
50, 150, 436, 149, 432, 149, 420, 149, 419, 150, 443, 150, 449, 
55, 150, 433, 149, 432, 150, 419, 150, 419, 149, 440, 150, 444, 
60, 150, 431, 150, 428, 150, 418, 150, 417, 150, 441, 150, 440, 
65, 150, 430, 149, 427, 149, 418, 150, 420, 150, 441, 150, 435, 
70, 150, 422, 149, 424, 149, 415, 150, 417, 150, 439, 149, 432, 
75, 150, 418, 149, 424, 150, 414, 150, 417, 149, 436, 150, 429, 
80, 150, 418, 150, 420, 150, 415, 150, 420, 150, 436, 150, 428, 
85, 150, 417, 149, 418, 149, 414, 149, 420, 150, 435, 150, 427, 
90, 150, 416, 149, 417, 149, 411, 150, 424, 150, 433, 150, 424, 
95, 150, 415, 149, 415, 149, 411, 150, 425, 150, 432, 150, 424, 
100, 150, 414, 149, 416, 150, 412, 149, 423, 150, 431, 150, 424, 
105, 150, 414, 149, 414, 150, 410, 149, 425, 149, 430, 149, 423, 
110, 150, 413, 149, 412, 150, 408, 149, 423, 149, 430, 150, 420, 
115, 150, 413, 150, 413, 150, 409, 149, 425, 150, 430, 150, 419, 
120, 150, 413, 149, 412, 149, 407, 149, 422, 150, 432, 150, 418, 
125, 150, 413, 149, 410, 150, 406, 150, 424, 150, 430, 150, 414, 
130, 150, 413, 150, 411, 150, 408, 150, 423, 150, 431, 149, 416, 
135, 150, 413, 149, 410, 149, 407, 150, 423, 149, 431, 150, 416, 
140, 150, 413, 150, 410, 150, 407, 150, 426, 150, 430, 150, 413, 
145, 150, 413, 149, 411, 149, 408, 149, 427, 149, 431, 150, 414, 
150, 150, 413, 149, 412, 150, 409, 150, 428, 150, 432, 150, 415, 
155, 150, 414, 150, 413, 149, 409, 150, 431, 149, 431, 150, 414, 
160, 149, 414, 149, 412, 150, 410, 149, 433, 150, 432, 150, 415, 
165, 149, 415, 150, 413, 150, 412, 150, 435, 150, 432, 150, 415, 
170, 149, 415, 149, 415, 149, 412, 150, 435, 150, 432, 150, 415, 
175, 150, 416, 149, 415, 149, 412, 150, 438, 150, 433, 150, 413, 
180, 150, 416, 150, 415, 150, 414, 149, 439, 149, 433, 150, 415, 
185, 150, 417, 149, 416, 150, 417, 149, 439, 150, 434, 149, 415, 
190, 150, 418, 150, 416, 150, 415, 149, 443, 150, 434, 150, 414, 
195, 150, 419, 149, 419, 149, 417, 150, 448, 149, 433, 149, 414, 
200, 150, 420, 149, 420, 150, 418, 149, 448, 150, 435, 150, 415, 
205, 150, 420, 149, 421, 149, 419, 150, 451, 150, 435, 150, 415, 
210, 150, 421, 149, 421, 150, 420, 149, 453, 150, 436, 150, 416, 
215, 149, 421, 149, 422, 150, 422, 150, 456, 150, 437, 150, 417, 
220, 150, 422, 149, 425, 149, 421, 150, 456, 149, 437, 149, 416, 
225, 150, 423, 149, 425, 150, 423, 149, 459, 150, 438, 150, 415, 
230, 150, 424, 149, 425, 150, 425, 149, 461, 149, 438, 150, 417, 
235, 150, 425, 149, 425, 149, 426, 150, 460, 150, 438, 149, 416, 
240, 150, 427, 150, 426, 150, 427, 150, 466, 149, 439, 149, 417, 
245, 150, 427, 149, 426, 149, 428, 150, 467, 150, 439, 150, 416, 
250, 150, 428, 149, 428, 150, 432, 150, 468, 150, 441, 150, 417, 
255, 150, 429, 150, 429, 149, 432, 149, 470, 149, 442, 150, 417, 
260, 150, 430, 149, 428, 150, 433, 150, 473, 150, 441, 150, 415, 
265, 149, 430, 149, 429, 150, 434, 149, 473, 150, 441, 150, 417, 
270, 150, 432, 149, 430, 149, 437, 150, 475, 149, 442, 149, 414, 
275, 150, 433, 149, 430, 150, 436, 150, 477, 149, 441, 150, 413, 
280, 150, 433, 149, 431, 149, 437, 150, 479, 149, 440, 150, 415, 
285, 150, 434, 149, 432, 150, 439, 150, 478, 150, 441, 150, 416, 
290, 150, 435, 150, 431, 150, 438, 150, 481, 149, 440, 150, 412, 
295, 150, 436, 149, 432, 149, 438, 150, 484, 149, 440, 150, 412, 
300, 149, 437, 149, 432, 150, 440, 150, 483, 150, 440, 150, 411, 
305, 150, 437, 149, 432, 149, 440, 150, 485, 149, 439, 150, 410, 
310, 150, 438, 149, 433, 150, 440, 150, 485, 150, 440, 150, 408, 
315, 150, 439, 149, 433, 150, 441, 150, 486, 149, 438, 150, 409, 
320, 150, 439, 149, 433, 149, 440, 150, 486, 150, 439, 150, 407, 
325, 150, 439, 149, 431, 150, 440, 149, 485, 150, 439, 150, 404, 
330, 149, 440, 149, 433, 149, 441, 150, 488, 149, 436, 150, 404, 
