t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 424, 149, 418, 150, 407, 150, 404, 149, 430, 150, 437, 
10, 150, 422, 149, 417, 149, 408, 150, 405, 150, 429, 149, 445, 
15, 150, 421, 149, 419, 149, 407, 149, 408, 149, 429, 150, 448, 
20, 150, 420, 150, 418, 150, 406, 149, 407, 150, 430, 149, 448, 
25, 150, 419, 150, 418, 150, 408, 149, 407, 149, 427, 150, 445, 
30, 150, 418, 149, 419, 149, 406, 149, 406, 150, 428, 150, 448, 
35, 150, 416, 149, 418, 150, 404, 149, 405, 149, 428, 150, 446, 
40, 150, 415, 149, 417, 150, 406, 150, 405, 150, 428, 150, 447, 
45, 150, 410, 150, 414, 150, 401, 150, 404, 150, 422, 150, 431, 
50, 150, 407, 149, 412, 149, 398, 150, 401, 150, 418, 150, 418, 
55, 149, 405, 149, 413, 149, 398, 149, 400, 149, 421, 150, 421, 
60, 150, 402, 149, 412, 149, 399, 150, 400, 150, 420, 150, 424, 
65, 150, 400, 149, 410, 149, 399, 150, 407, 149, 420, 149, 430, 
70, 150, 399, 149, 410, 150, 397, 150, 415, 150, 427, 150, 435, 
75, 150, 398, 149, 411, 150, 404, 150, 417, 150, 438, 150, 439, 
80, 150, 397, 149, 416, 150, 408, 150, 420, 150, 441, 150, 443, 
85, 150, 397, 149, 419, 150, 408, 149, 418, 150, 442, 150, 444, 
90, 149, 394, 149, 419, 150, 408, 150, 417, 150, 441, 150, 444, 
95, 150, 393, 150, 419, 150, 409, 149, 415, 150, 441, 150, 443, 
100, 150, 393, 149, 416, 150, 408, 149, 415, 150, 442, 149, 443, 
105, 150, 392, 149, 414, 150, 406, 150, 413, 150, 441, 150, 439, 
110, 150, 392, 150, 415, 150, 407, 149, 410, 150, 440, 150, 438, 
115, 150, 392, 149, 414, 150, 408, 151, 415, 150, 442, 150, 438, 
120, 149, 392, 149, 413, 149, 407, 149, 409, 149, 441, 150, 435, 
125, 149, 398, 149, 412, 149, 408, 149, 408, 150, 441, 149, 432, 
130, 150, 406, 149, 413, 150, 411, 149, 408, 149, 440, 150, 433, 
135, 150, 407, 149, 412, 150, 409, 149, 408, 150, 440, 150, 431, 
140, 150, 408, 149, 411, 150, 409, 150, 406, 149, 438, 149, 429, 
145, 150, 409, 149, 412, 150, 409, 149, 407, 150, 438, 150, 431, 
150, 150, 409, 149, 410, 150, 409, 149, 408, 150, 438, 150, 430, 
155, 150, 409, 149, 410, 149, 409, 150, 408, 150, 438, 150, 429, 
160, 150, 410, 150, 410, 151, 412, 150, 407, 150, 438, 150, 432, 
165, 150, 411, 149, 410, 150, 410, 150, 409, 149, 437, 149, 430, 
170, 150, 412, 149, 409, 149, 409, 149, 409, 149, 437, 150, 428, 
175, 150, 411, 150, 409, 149, 411, 150, 408, 150, 439, 150, 432, 
180, 149, 412, 149, 410, 150, 412, 150, 410, 149, 438, 150, 432, 
185, 150, 412, 149, 408, 150, 412, 149, 409, 150, 439, 150, 432, 
190, 150, 412, 149, 408, 149, 413, 150, 410, 149, 440, 150, 429, 
195, 150, 413, 150, 410, 150, 416, 150, 411, 150, 440, 150, 432, 
200, 150, 414, 149, 410, 150, 417, 150, 412, 150, 444, 150, 434, 
205, 150, 413, 149, 410, 149, 416, 150, 413, 150, 445, 150, 430, 
210, 150, 414, 150, 411, 150, 419, 149, 413, 150, 445, 150, 433, 
215, 150, 414, 149, 410, 150, 422, 149, 415, 150, 446, 149, 433, 
220, 150, 414, 149, 409, 150, 421, 149, 415, 150, 447, 150, 432, 
225, 150, 414, 149, 410, 150, 423, 149, 414, 150, 448, 149, 432, 
230, 150, 415, 149, 409, 149, 424, 150, 418, 150, 449, 150, 431, 
235, 150, 415, 150, 409, 150, 426, 149, 416, 149, 449, 150, 432, 
240, 150, 415, 149, 410, 150, 427, 149, 416, 150, 450, 150, 429, 
245, 150, 415, 149, 410, 150, 429, 149, 418, 150, 448, 150, 431, 
250, 150, 416, 149, 411, 150, 429, 149, 418, 149, 450, 149, 431, 
255, 150, 416, 149, 409, 150, 429, 150, 419, 149, 450, 150, 428, 
260, 150, 416, 149, 410, 150, 431, 149, 419, 150, 450, 150, 432, 
265, 150, 416, 149, 410, 150, 431, 149, 421, 150, 449, 150, 431, 
270, 150, 415, 149, 409, 150, 430, 150, 423, 150, 448, 149, 428, 
275, 150, 416, 149, 410, 150, 431, 149, 421, 149, 447, 149, 429, 
280, 150, 416, 149, 410, 149, 432, 150, 424, 150, 446, 150, 430, 
285, 149, 415, 150, 409, 150, 433, 149, 425, 150, 447, 150, 429, 
290, 150, 416, 149, 410, 149, 433, 150, 425, 149, 446, 150, 427, 
295, 150, 415, 150, 411, 149, 434, 150, 427, 149, 445, 150, 430, 
300, 150, 415, 149, 410, 149, 433, 149, 429, 150, 444, 149, 428, 
305, 150, 415, 149, 410, 149, 433, 149, 429, 150, 444, 150, 426, 
310, 150, 415, 149, 410, 150, 436, 149, 430, 150, 443, 150, 429, 
315, 150, 416, 149, 410, 149, 436, 150, 431, 150, 443, 150, 428, 
320, 150, 415, 150, 411, 150, 436, 149, 432, 150, 443, 150, 425, 
325, 150, 416, 150, 411, 150, 439, 149, 432, 150, 442, 149, 427, 
330, 150, 415, 149, 410, 150, 438, 150, 435, 149, 439, 150, 427, 
