t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 432, 150, 423, 150, 212, 149, 406, 150, 435, 149, 419, 
10, 149, 431, 149, 423, 150, 212, 149, 407, 149, 435, 150, 419, 
15, 150, 432, 149, 423, 150, 211, 149, 408, 150, 434, 150, 421, 
20, 150, 430, 150, 424, 150, 212, 149, 406, 149, 435, 150, 420, 
25, 150, 430, 149, 424, 149, 212, 150, 407, 149, 435, 150, 421, 
30, 150, 429, 149, 423, 150, 211, 149, 407, 150, 434, 149, 420, 
35, 149, 427, 149, 424, 150, 214, 150, 406, 150, 436, 150, 421, 
40, 150, 428, 150, 423, 150, 213, 150, 407, 150, 433, 150, 422, 
45, 150, 429, 149, 422, 150, 213, 149, 407, 150, 434, 150, 421, 
50, 150, 429, 149, 421, 149, 212, 149, 406, 150, 433, 150, 421, 
55, 150, 430, 149, 420, 150, 214, 149, 405, 149, 434, 150, 421, 
60, 150, 431, 150, 418, 150, 212, 150, 406, 150, 434, 150, 421, 
65, 150, 428, 149, 415, 150, 210, 149, 401, 150, 429, 150, 416, 
70, 149, 435, 150, 419, 150, 211, 150, 407, 150, 432, 150, 419, 
75, 150, 437, 149, 417, 150, 210, 149, 406, 150, 430, 150, 418, 
80, 150, 443, 149, 418, 149, 210, 150, 404, 150, 429, 150, 419, 
85, 150, 447, 149, 417, 150, 209, 150, 403, 149, 429, 150, 417, 
90, 149, 453, 149, 417, 150, 210, 151, 407, 149, 429, 150, 417, 
95, 149, 462, 149, 417, 150, 419, 149, 401, 150, 430, 149, 414, 
100, 149, 462, 149, 419, 149, 420, 149, 402, 149, 426, 150, 414, 
105, 150, 458, 150, 417, 150, 421, 150, 400, 150, 425, 150, 413, 
110, 150, 446, 149, 412, 150, 420, 149, 399, 150, 423, 149, 412, 
115, 150, 438, 149, 408, 150, 418, 150, 398, 150, 423, 150, 409, 
120, 149, 430, 149, 408, 150, 417, 150, 396, 149, 421, 150, 409, 
125, 150, 427, 149, 406, 149, 415, 149, 394, 149, 420, 149, 408, 
130, 150, 426, 149, 405, 150, 412, 150, 395, 149, 420, 150, 406, 
135, 150, 426, 149, 404, 149, 414, 150, 393, 150, 421, 150, 404, 
140, 150, 424, 149, 405, 150, 415, 149, 391, 150, 419, 150, 405, 
145, 150, 424, 149, 403, 150, 413, 149, 392, 150, 420, 149, 406, 
150, 150, 422, 150, 404, 150, 413, 150, 390, 150, 420, 150, 403, 
155, 150, 422, 149, 401, 149, 413, 150, 390, 150, 419, 150, 403, 
160, 150, 421, 149, 404, 150, 413, 149, 390, 149, 420, 150, 403, 
165, 150, 420, 149, 404, 149, 411, 150, 389, 150, 419, 149, 404, 
170, 150, 419, 149, 403, 150, 412, 149, 390, 150, 420, 150, 401, 
175, 150, 416, 150, 404, 150, 412, 149, 388, 150, 421, 150, 401, 
180, 150, 415, 150, 405, 150, 412, 149, 388, 150, 419, 150, 403, 
185, 150, 414, 149, 405, 150, 410, 149, 389, 150, 418, 149, 402, 
190, 150, 411, 149, 405, 150, 410, 149, 389, 150, 421, 150, 400, 
195, 150, 409, 150, 406, 150, 409, 150, 388, 150, 420, 149, 401, 
200, 150, 409, 149, 406, 150, 411, 149, 388, 149, 420, 150, 401, 
205, 149, 406, 150, 407, 149, 410, 150, 390, 150, 420, 149, 400, 
210, 150, 408, 149, 406, 150, 409, 149, 389, 150, 420, 150, 399, 
215, 150, 406, 149, 407, 149, 409, 149, 390, 150, 419, 150, 400, 
220, 150, 406, 149, 408, 150, 408, 149, 391, 149, 421, 150, 398, 
225, 149, 403, 150, 409, 149, 409, 150, 391, 150, 422, 150, 399, 
230, 150, 403, 150, 409, 150, 409, 149, 393, 149, 421, 149, 398, 
235, 149, 403, 149, 410, 150, 409, 150, 394, 150, 420, 150, 400, 
240, 150, 402, 149, 409, 150, 408, 149, 394, 150, 422, 150, 398, 
245, 150, 401, 149, 411, 149, 409, 150, 396, 149, 422, 150, 399, 
250, 150, 399, 149, 413, 149, 409, 149, 395, 150, 423, 150, 399, 
255, 150, 399, 149, 411, 149, 409, 150, 395, 150, 422, 150, 398, 
260, 149, 396, 149, 414, 150, 410, 150, 394, 149, 422, 150, 397, 
265, 150, 396, 149, 413, 149, 409, 150, 396, 149, 422, 150, 398, 
270, 150, 393, 149, 414, 150, 410, 149, 397, 149, 421, 150, 395, 
275, 150, 392, 149, 412, 150, 411, 149, 397, 149, 422, 150, 397, 
280, 149, 388, 149, 414, 150, 412, 150, 396, 150, 423, 150, 398, 
285, 149, 387, 149, 414, 150, 413, 150, 398, 149, 421, 150, 398, 
290, 149, 386, 149, 418, 150, 411, 150, 400, 150, 420, 149, 397, 
295, 149, 383, 149, 417, 149, 411, 149, 398, 149, 421, 150, 397, 
300, 150, 382, 149, 417, 150, 413, 149, 399, 149, 421, 150, 397, 
305, 150, 381, 149, 418, 149, 413, 150, 399, 149, 421, 150, 398, 
310, 150, 379, 150, 419, 150, 415, 150, 397, 150, 422, 149, 396, 
315, 150, 378, 150, 419, 150, 415, 150, 399, 150, 421, 150, 397, 
320, 150, 378, 149, 419, 149, 415, 149, 399, 150, 420, 150, 396, 
325, 150, 377, 149, 418, 149, 414, 150, 400, 149, 421, 150, 398, 
330, 149, 376, 149, 420, 150, 415, 151, 403, 149, 420, 150, 396, 
