t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 455, 150, 464, 149, 448, 149, 443, 150, 473, 150, 474, 
10, 150, 458, 149, 464, 149, 449, 150, 443, 150, 474, 150, 472, 
15, 150, 459, 150, 464, 149, 449, 150, 442, 150, 474, 150, 472, 
20, 150, 461, 149, 463, 149, 449, 150, 445, 150, 475, 150, 472, 
25, 150, 461, 149, 465, 150, 449, 150, 444, 150, 476, 149, 472, 
30, 149, 463, 149, 467, 150, 451, 150, 442, 149, 476, 150, 473, 
35, 150, 466, 149, 470, 150, 456, 150, 444, 149, 477, 150, 476, 
40, 150, 466, 149, 470, 150, 456, 150, 446, 150, 479, 150, 477, 
45, 150, 465, 149, 468, 149, 456, 150, 444, 150, 476, 149, 473, 
50, 150, 461, 149, 467, 150, 453, 150, 441, 149, 472, 150, 475, 
55, 150, 458, 149, 464, 150, 452, 150, 442, 150, 473, 150, 473, 
60, 150, 457, 149, 465, 150, 452, 150, 439, 149, 470, 150, 470, 
65, 149, 454, 149, 463, 149, 448, 150, 441, 150, 469, 150, 470, 
70, 150, 452, 150, 461, 150, 444, 149, 439, 149, 468, 149, 471, 
75, 150, 453, 149, 459, 149, 444, 149, 436, 150, 464, 149, 468, 
80, 150, 450, 149, 457, 150, 441, 150, 436, 150, 464, 149, 468, 
85, 150, 449, 150, 457, 150, 440, 149, 435, 149, 465, 150, 468, 
90, 150, 445, 149, 456, 150, 443, 149, 434, 150, 461, 150, 465, 
95, 150, 443, 149, 456, 150, 442, 150, 436, 149, 461, 150, 464, 
100, 149, 442, 149, 453, 149, 440, 149, 434, 150, 461, 150, 462, 
105, 150, 440, 149, 451, 150, 438, 150, 436, 150, 458, 149, 460, 
110, 150, 440, 149, 452, 150, 438, 149, 432, 150, 458, 150, 460, 
115, 150, 440, 150, 451, 150, 437, 149, 434, 150, 458, 149, 459, 
120, 150, 439, 150, 449, 150, 436, 149, 432, 149, 456, 149, 459, 
125, 150, 439, 149, 448, 150, 436, 150, 431, 150, 456, 150, 458, 
130, 150, 438, 150, 446, 150, 436, 149, 433, 150, 457, 150, 458, 
135, 150, 439, 149, 445, 150, 437, 150, 434, 150, 456, 150, 458, 
140, 150, 439, 149, 446, 150, 435, 149, 432, 150, 457, 150, 456, 
145, 150, 439, 149, 444, 150, 435, 149, 434, 150, 458, 149, 458, 
150, 150, 439, 150, 444, 150, 434, 149, 435, 150, 459, 150, 457, 
155, 150, 440, 149, 443, 150, 436, 150, 435, 150, 458, 150, 456, 
160, 150, 440, 149, 443, 149, 435, 149, 436, 150, 460, 149, 458, 
165, 150, 440, 149, 441, 150, 433, 150, 439, 149, 461, 150, 459, 
170, 150, 441, 149, 442, 150, 436, 150, 436, 149, 462, 150, 458, 
175, 150, 442, 150, 443, 150, 437, 149, 437, 150, 463, 149, 459, 
180, 150, 444, 149, 442, 150, 437, 149, 438, 150, 464, 149, 460, 
185, 150, 443, 149, 443, 150, 438, 149, 438, 150, 465, 149, 461, 
190, 150, 444, 149, 443, 150, 439, 150, 440, 150, 465, 150, 462, 
195, 150, 445, 149, 442, 150, 439, 149, 440, 150, 466, 150, 461, 
200, 150, 445, 150, 443, 150, 438, 150, 442, 150, 467, 150, 462, 
205, 150, 447, 149, 445, 150, 440, 150, 441, 150, 465, 149, 460, 
210, 150, 448, 149, 444, 150, 439, 149, 442, 150, 467, 149, 464, 
215, 150, 449, 149, 444, 150, 439, 150, 445, 149, 467, 150, 465, 
220, 150, 450, 150, 445, 150, 440, 150, 444, 149, 469, 150, 466, 
225, 150, 453, 150, 446, 150, 437, 149, 442, 150, 468, 149, 466, 
230, 150, 453, 149, 445, 150, 440, 149, 443, 150, 469, 150, 463, 
235, 150, 454, 150, 446, 149, 441, 150, 445, 150, 470, 149, 464, 
240, 150, 455, 149, 446, 150, 440, 150, 448, 150, 469, 149, 465, 
245, 150, 454, 150, 447, 149, 442, 150, 449, 150, 468, 150, 466, 
250, 150, 456, 149, 447, 149, 441, 150, 450, 150, 470, 150, 464, 
255, 150, 456, 149, 449, 150, 442, 150, 449, 150, 469, 150, 466, 
260, 150, 458, 149, 449, 149, 443, 150, 449, 149, 469, 150, 466, 
265, 150, 458, 149, 449, 150, 444, 150, 450, 150, 470, 149, 465, 
270, 150, 459, 149, 451, 150, 443, 149, 448, 150, 469, 149, 468, 
275, 150, 462, 149, 450, 150, 445, 149, 446, 150, 471, 150, 465, 
280, 150, 464, 149, 450, 149, 445, 150, 451, 150, 471, 150, 466, 
285, 150, 465, 150, 450, 150, 444, 150, 452, 150, 471, 149, 465, 
290, 150, 466, 149, 450, 150, 446, 150, 449, 150, 471, 149, 465, 
295, 150, 468, 150, 451, 150, 446, 150, 452, 149, 470, 150, 465, 
300, 150, 469, 149, 451, 149, 446, 150, 452, 149, 470, 150, 466, 
305, 150, 470, 149, 453, 149, 447, 150, 451, 150, 470, 149, 465, 
310, 150, 471, 149, 452, 149, 447, 150, 452, 149, 471, 150, 466, 
315, 150, 473, 149, 454, 149, 448, 150, 452, 150, 471, 150, 465, 
320, 150, 473, 149, 455, 150, 450, 149, 452, 150, 469, 150, 464, 
325, 150, 474, 149, 453, 150, 452, 150, 454, 150, 471, 150, 465, 
330, 150, 471, 149, 454, 149, 448, 150, 452, 150, 470, 150, 465, 
