t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 497, 149, 507, 150, 496, 150, 492, 149, 519, 149, 500, 
10, 149, 496, 149, 506, 150, 498, 149, 491, 149, 518, 150, 500, 
15, 150, 498, 149, 506, 150, 495, 150, 492, 150, 520, 150, 500, 
20, 150, 498, 149, 506, 150, 493, 149, 494, 149, 516, 149, 499, 
25, 150, 498, 149, 506, 150, 496, 149, 491, 150, 518, 150, 501, 
30, 150, 498, 149, 505, 149, 494, 149, 490, 150, 517, 149, 499, 
35, 150, 499, 150, 507, 149, 492, 149, 492, 150, 516, 150, 499, 
40, 150, 499, 149, 507, 150, 494, 150, 492, 149, 515, 149, 500, 
45, 149, 499, 149, 507, 149, 492, 149, 492, 150, 514, 149, 498, 
50, 150, 499, 149, 506, 150, 496, 150, 489, 150, 514, 150, 498, 
55, 149, 498, 149, 506, 150, 492, 149, 489, 149, 513, 150, 498, 
60, 150, 498, 150, 508, 149, 489, 149, 489, 149, 514, 150, 495, 
65, 150, 498, 149, 505, 149, 488, 149, 488, 150, 511, 150, 495, 
70, 150, 497, 149, 504, 150, 491, 150, 485, 150, 511, 150, 496, 
75, 150, 496, 150, 504, 149, 486, 150, 486, 150, 508, 150, 494, 
80, 150, 496, 149, 504, 150, 490, 150, 486, 150, 509, 150, 492, 
85, 150, 495, 149, 502, 150, 486, 149, 486, 149, 506, 150, 493, 
90, 150, 494, 149, 501, 150, 487, 149, 483, 150, 506, 150, 492, 
95, 150, 494, 150, 501, 150, 487, 150, 484, 150, 505, 150, 489, 
100, 150, 492, 149, 499, 149, 484, 149, 485, 150, 504, 150, 489, 
105, 150, 491, 150, 499, 150, 483, 150, 486, 150, 505, 150, 487, 
110, 150, 487, 150, 498, 149, 483, 150, 487, 150, 504, 150, 488, 
115, 149, 485, 149, 497, 150, 484, 150, 483, 150, 504, 150, 489, 
120, 149, 483, 150, 499, 150, 481, 149, 484, 150, 504, 150, 486, 
125, 150, 482, 149, 495, 150, 480, 149, 484, 149, 505, 150, 486, 
130, 149, 480, 150, 495, 150, 483, 150, 483, 149, 503, 150, 488, 
135, 149, 479, 149, 495, 150, 480, 150, 483, 150, 505, 149, 486, 
140, 149, 477, 149, 494, 149, 480, 150, 485, 150, 504, 150, 485, 
145, 150, 476, 150, 494, 150, 481, 150, 485, 149, 504, 150, 486, 
150, 150, 475, 149, 493, 150, 480, 149, 484, 150, 505, 150, 486, 
155, 150, 474, 149, 494, 150, 479, 149, 485, 150, 503, 150, 484, 
160, 150, 474, 149, 492, 150, 481, 149, 484, 150, 504, 149, 487, 
165, 150, 473, 149, 494, 149, 480, 150, 484, 149, 504, 149, 487, 
170, 150, 473, 149, 495, 150, 479, 150, 485, 150, 503, 150, 485, 
175, 149, 472, 149, 494, 150, 481, 149, 484, 150, 506, 149, 486, 
180, 149, 472, 149, 491, 150, 481, 149, 485, 150, 506, 150, 487, 
185, 150, 473, 149, 494, 150, 480, 150, 486, 149, 506, 150, 487, 
190, 149, 472, 149, 494, 150, 480, 149, 486, 149, 506, 150, 486, 
195, 150, 475, 149, 491, 150, 482, 149, 486, 149, 507, 150, 487, 
200, 150, 474, 149, 494, 150, 482, 149, 484, 150, 508, 150, 489, 
205, 150, 474, 150, 493, 150, 480, 150, 487, 150, 505, 150, 487, 
210, 149, 473, 149, 494, 150, 483, 150, 487, 150, 507, 151, 490, 
215, 150, 474, 150, 493, 150, 484, 149, 483, 150, 506, 150, 489, 
220, 150, 475, 149, 491, 150, 483, 149, 487, 150, 507, 150, 486, 
225, 150, 475, 150, 494, 150, 485, 149, 486, 150, 507, 150, 486, 
230, 150, 475, 149, 491, 150, 484, 150, 485, 150, 506, 150, 488, 
235, 150, 476, 150, 492, 149, 484, 149, 485, 150, 507, 150, 488, 
240, 150, 475, 149, 493, 149, 485, 150, 487, 149, 505, 149, 487, 
245, 150, 476, 149, 494, 150, 487, 149, 487, 149, 507, 150, 488, 
250, 150, 476, 149, 492, 149, 485, 150, 485, 150, 507, 150, 486, 
255, 149, 476, 149, 491, 150, 484, 149, 487, 150, 504, 150, 485, 
260, 150, 476, 149, 493, 149, 488, 149, 486, 149, 506, 150, 486, 
265, 150, 475, 149, 492, 149, 487, 150, 485, 149, 505, 150, 488, 
270, 150, 476, 149, 492, 149, 488, 150, 487, 150, 504, 150, 483, 
275, 150, 476, 149, 493, 150, 486, 150, 486, 150, 504, 150, 485, 
280, 149, 474, 149, 495, 150, 491, 150, 485, 149, 504, 150, 484, 
285, 150, 474, 149, 493, 150, 489, 149, 484, 150, 504, 150, 484, 
290, 150, 475, 149, 492, 149, 487, 150, 487, 149, 502, 150, 482, 
295, 149, 473, 149, 491, 149, 489, 150, 485, 150, 503, 150, 484, 
300, 150, 473, 149, 493, 149, 488, 149, 484, 150, 503, 150, 484, 
305, 149, 472, 149, 494, 149, 489, 150, 483, 150, 502, 150, 483, 
310, 150, 472, 150, 492, 150, 489, 150, 484, 150, 499, 150, 479, 
315, 150, 471, 149, 494, 150, 488, 149, 485, 150, 500, 150, 482, 
320, 150, 470, 149, 492, 149, 489, 149, 483, 149, 499, 150, 482, 
325, 150, 470, 150, 492, 150, 489, 150, 484, 149, 499, 150, 481, 
330, 150, 469, 149, 493, 150, 489, 149, 484, 149, 498, 150, 481, 
