t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 511, 149, 522, 150, 507, 150, 499, 150, 529, 150, 501, 
10, 149, 510, 150, 523, 150, 510, 150, 499, 150, 530, 150, 503, 
15, 150, 511, 149, 523, 149, 509, 149, 500, 150, 530, 150, 502, 
20, 149, 512, 149, 521, 150, 509, 149, 500, 150, 530, 150, 501, 
25, 150, 512, 150, 521, 150, 510, 149, 501, 149, 529, 150, 504, 
30, 150, 512, 149, 522, 150, 510, 149, 502, 149, 527, 150, 502, 
35, 149, 514, 149, 523, 150, 510, 150, 503, 150, 528, 150, 506, 
40, 150, 513, 149, 521, 150, 509, 150, 501, 150, 528, 150, 501, 
45, 150, 512, 150, 520, 150, 508, 150, 499, 150, 525, 150, 502, 
50, 149, 511, 149, 520, 150, 507, 150, 500, 149, 524, 150, 501, 
55, 150, 511, 150, 519, 150, 505, 150, 497, 150, 526, 150, 500, 
60, 150, 509, 149, 517, 149, 503, 150, 493, 149, 525, 150, 497, 
65, 150, 508, 149, 515, 150, 501, 150, 494, 150, 523, 150, 498, 
70, 150, 507, 150, 514, 149, 499, 150, 492, 150, 521, 150, 497, 
75, 150, 507, 149, 510, 150, 497, 150, 490, 149, 520, 150, 493, 
80, 150, 504, 150, 511, 150, 497, 149, 489, 149, 518, 150, 493, 
85, 150, 505, 149, 506, 149, 495, 149, 488, 150, 517, 149, 491, 
90, 149, 504, 149, 507, 150, 492, 149, 485, 150, 516, 150, 489, 
95, 150, 503, 150, 504, 150, 493, 149, 486, 150, 516, 150, 491, 
100, 149, 501, 149, 504, 150, 491, 149, 482, 150, 515, 150, 486, 
105, 150, 501, 149, 502, 149, 490, 149, 482, 150, 514, 150, 488, 
110, 150, 499, 149, 502, 149, 490, 150, 484, 149, 513, 150, 487, 
115, 150, 498, 149, 501, 149, 488, 150, 482, 149, 512, 150, 484, 
120, 150, 497, 150, 500, 150, 490, 150, 482, 149, 511, 149, 484, 
125, 150, 495, 149, 496, 149, 487, 149, 481, 150, 511, 150, 483, 
130, 150, 494, 150, 498, 150, 487, 150, 480, 150, 510, 150, 483, 
135, 150, 493, 149, 497, 149, 486, 149, 478, 150, 510, 150, 483, 
140, 150, 492, 150, 498, 149, 487, 149, 478, 150, 509, 150, 483, 
145, 149, 489, 149, 498, 150, 486, 150, 478, 150, 509, 149, 483, 
150, 150, 487, 150, 496, 150, 488, 150, 479, 150, 509, 150, 483, 
155, 150, 487, 150, 497, 149, 488, 150, 481, 150, 509, 150, 482, 
160, 150, 487, 149, 498, 149, 488, 150, 478, 149, 508, 149, 483, 
165, 149, 486, 149, 497, 150, 487, 150, 481, 149, 508, 150, 481, 
170, 150, 485, 149, 498, 149, 488, 149, 478, 150, 508, 150, 482, 
175, 150, 485, 149, 497, 150, 489, 149, 478, 149, 507, 150, 484, 
180, 150, 484, 149, 497, 149, 488, 149, 479, 149, 508, 149, 482, 
185, 150, 483, 149, 497, 149, 487, 150, 478, 150, 508, 150, 481, 
190, 150, 482, 149, 495, 150, 489, 150, 480, 150, 506, 150, 480, 
195, 149, 482, 149, 497, 150, 489, 150, 482, 150, 507, 150, 480, 
200, 150, 482, 149, 498, 150, 489, 150, 482, 150, 508, 150, 481, 
205, 150, 481, 149, 498, 150, 489, 150, 480, 149, 505, 149, 481, 
210, 150, 482, 149, 497, 149, 489, 150, 483, 150, 506, 150, 482, 
215, 149, 481, 149, 497, 149, 488, 150, 480, 150, 505, 149, 483, 
220, 149, 481, 149, 497, 149, 489, 150, 481, 150, 505, 149, 480, 
225, 150, 481, 150, 498, 150, 491, 150, 482, 150, 506, 150, 482, 
230, 150, 477, 149, 498, 150, 490, 149, 481, 150, 505, 149, 481, 
235, 150, 478, 150, 499, 150, 489, 150, 482, 150, 505, 150, 478, 
240, 150, 476, 149, 497, 149, 489, 149, 482, 150, 503, 150, 480, 
245, 150, 476, 149, 497, 149, 488, 150, 480, 149, 504, 149, 481, 
250, 150, 479, 149, 496, 150, 490, 150, 483, 150, 501, 150, 481, 
255, 150, 479, 149, 496, 150, 489, 149, 481, 149, 502, 150, 482, 
260, 150, 477, 149, 499, 150, 488, 150, 483, 150, 502, 149, 479, 
265, 150, 476, 149, 497, 149, 488, 149, 481, 149, 502, 150, 480, 
270, 150, 478, 150, 496, 150, 489, 150, 482, 149, 501, 150, 479, 
275, 149, 476, 149, 496, 150, 488, 149, 482, 149, 500, 150, 477, 
280, 149, 477, 149, 498, 150, 488, 150, 481, 150, 500, 149, 479, 
285, 150, 476, 150, 496, 150, 489, 150, 482, 150, 500, 149, 477, 
290, 150, 476, 149, 495, 149, 489, 150, 483, 149, 501, 150, 478, 
295, 150, 474, 149, 496, 150, 489, 149, 480, 150, 499, 149, 475, 
300, 150, 474, 150, 494, 150, 489, 150, 482, 149, 498, 150, 474, 
305, 150, 475, 149, 495, 150, 489, 149, 482, 150, 498, 150, 474, 
310, 150, 474, 150, 495, 150, 488, 150, 483, 150, 498, 150, 471, 
315, 150, 473, 149, 494, 149, 489, 149, 479, 150, 496, 150, 473, 
320, 150, 473, 149, 495, 150, 488, 150, 481, 150, 496, 150, 471, 
325, 150, 471, 149, 494, 149, 487, 150, 481, 150, 496, 150, 470, 
330, 150, 471, 149, 494, 149, 486, 150, 480, 149, 494, 150, 470, 
