t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 428, 149, 430, 150, 429, 150, 422, 150, 450, 149, 424, 
10, 150, 430, 149, 431, 149, 427, 150, 424, 150, 449, 150, 424, 
15, 150, 430, 149, 431, 150, 425, 150, 425, 149, 449, 149, 424, 
20, 150, 430, 149, 430, 150, 427, 150, 424, 150, 449, 150, 422, 
25, 150, 430, 149, 430, 149, 427, 149, 421, 149, 450, 150, 425, 
30, 150, 430, 149, 431, 150, 425, 150, 424, 150, 449, 149, 424, 
35, 150, 429, 149, 431, 149, 427, 149, 421, 149, 448, 150, 425, 
40, 150, 429, 149, 431, 150, 427, 150, 425, 150, 448, 149, 425, 
45, 149, 427, 149, 431, 149, 427, 150, 423, 150, 445, 150, 423, 
50, 149, 426, 149, 431, 150, 426, 150, 422, 149, 444, 150, 423, 
55, 150, 425, 149, 430, 150, 425, 150, 421, 150, 443, 150, 425, 
60, 150, 424, 149, 428, 150, 424, 149, 419, 149, 441, 150, 424, 
65, 150, 422, 149, 429, 150, 422, 150, 418, 150, 439, 150, 420, 
70, 150, 420, 149, 426, 150, 420, 149, 417, 150, 435, 150, 420, 
75, 150, 419, 149, 425, 149, 418, 150, 416, 150, 435, 150, 417, 
80, 150, 418, 149, 425, 150, 417, 149, 415, 150, 433, 150, 419, 
85, 150, 414, 149, 423, 150, 414, 149, 412, 150, 431, 150, 417, 
90, 150, 413, 149, 423, 150, 413, 149, 412, 150, 432, 150, 417, 
95, 150, 415, 149, 422, 150, 413, 149, 411, 149, 430, 150, 415, 
100, 150, 413, 149, 420, 149, 412, 149, 411, 149, 429, 149, 414, 
105, 150, 413, 149, 420, 150, 412, 150, 409, 150, 428, 150, 412, 
110, 150, 413, 149, 419, 149, 411, 150, 408, 149, 425, 150, 412, 
115, 150, 410, 149, 418, 150, 411, 150, 409, 150, 426, 150, 411, 
120, 150, 412, 149, 416, 149, 412, 149, 408, 149, 424, 150, 409, 
125, 150, 410, 150, 417, 150, 412, 150, 408, 150, 425, 150, 409, 
130, 150, 412, 149, 416, 150, 412, 149, 404, 149, 422, 149, 409, 
135, 150, 411, 149, 415, 150, 412, 150, 408, 149, 422, 150, 407, 
140, 150, 409, 149, 414, 149, 412, 150, 406, 149, 422, 149, 407, 
145, 150, 410, 150, 414, 150, 412, 149, 407, 149, 422, 150, 408, 
150, 150, 409, 149, 414, 149, 409, 149, 406, 149, 422, 150, 407, 
155, 150, 410, 149, 412, 150, 411, 150, 405, 150, 422, 149, 406, 
160, 149, 412, 149, 413, 150, 410, 149, 408, 150, 424, 150, 406, 
165, 149, 413, 149, 410, 150, 411, 149, 407, 150, 424, 150, 406, 
170, 149, 413, 149, 411, 149, 410, 149, 407, 150, 424, 149, 408, 
175, 149, 414, 149, 412, 150, 413, 149, 407, 149, 425, 150, 407, 
180, 150, 414, 149, 411, 150, 413, 150, 405, 149, 424, 150, 407, 
185, 150, 415, 149, 411, 150, 411, 150, 407, 150, 425, 150, 410, 
190, 150, 416, 149, 412, 150, 413, 149, 407, 150, 427, 150, 408, 
195, 149, 417, 149, 410, 150, 414, 149, 406, 150, 426, 149, 409, 
200, 149, 417, 150, 411, 149, 414, 149, 407, 150, 427, 150, 410, 
205, 150, 418, 149, 410, 150, 413, 149, 408, 149, 427, 150, 411, 
210, 149, 418, 149, 410, 150, 414, 150, 407, 149, 428, 150, 409, 
215, 150, 418, 149, 410, 150, 415, 149, 408, 150, 428, 150, 410, 
220, 150, 419, 149, 410, 150, 414, 150, 410, 149, 430, 150, 411, 
225, 150, 419, 149, 410, 150, 415, 149, 408, 150, 429, 150, 410, 
230, 150, 419, 149, 409, 149, 415, 149, 408, 150, 429, 150, 412, 
235, 149, 420, 149, 410, 150, 415, 149, 410, 150, 430, 149, 411, 
240, 150, 420, 149, 409, 150, 416, 150, 410, 149, 432, 150, 412, 
245, 149, 421, 149, 409, 150, 417, 150, 408, 149, 432, 150, 411, 
250, 150, 420, 149, 409, 150, 416, 150, 411, 149, 432, 150, 413, 
255, 150, 421, 149, 410, 150, 417, 150, 410, 149, 433, 150, 413, 
260, 149, 422, 149, 410, 149, 417, 150, 410, 150, 434, 149, 413, 
265, 150, 423, 150, 411, 150, 417, 149, 412, 150, 434, 150, 414, 
270, 149, 423, 149, 411, 149, 417, 149, 410, 149, 434, 149, 415, 
275, 150, 424, 149, 409, 149, 417, 149, 411, 150, 435, 150, 413, 
280, 150, 425, 149, 411, 150, 418, 149, 410, 149, 434, 150, 414, 
285, 150, 425, 149, 409, 150, 418, 149, 412, 150, 436, 149, 415, 
290, 150, 426, 149, 412, 150, 419, 149, 411, 150, 437, 150, 414, 
295, 150, 427, 149, 412, 149, 420, 149, 411, 150, 437, 150, 416, 
300, 150, 427, 149, 411, 150, 419, 149, 412, 150, 439, 149, 416, 
305, 150, 428, 149, 413, 150, 419, 149, 412, 149, 438, 150, 417, 
310, 150, 429, 149, 412, 150, 419, 149, 413, 150, 438, 149, 415, 
315, 150, 428, 150, 412, 149, 419, 150, 413, 150, 440, 150, 417, 
320, 150, 429, 150, 412, 150, 420, 149, 414, 150, 440, 150, 418, 
325, 150, 430, 150, 413, 150, 420, 149, 414, 149, 440, 150, 417, 
330, 150, 431, 149, 412, 150, 421, 150, 413, 150, 441, 150, 419, 
