t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 434, 150, 440, 149, 430, 150, 431, 150, 450, 150, 434, 
10, 150, 434, 149, 440, 150, 429, 149, 432, 150, 450, 150, 435, 
15, 150, 434, 149, 437, 150, 430, 150, 431, 150, 447, 150, 435, 
20, 150, 433, 149, 437, 149, 429, 149, 430, 149, 449, 150, 432, 
25, 149, 432, 149, 437, 150, 430, 150, 431, 149, 449, 150, 432, 
30, 149, 431, 150, 437, 150, 429, 149, 429, 150, 447, 150, 432, 
35, 150, 431, 149, 439, 149, 429, 150, 431, 150, 448, 150, 432, 
40, 150, 431, 150, 440, 149, 429, 149, 430, 150, 445, 150, 433, 
45, 150, 430, 150, 439, 150, 429, 149, 428, 149, 446, 150, 432, 
50, 149, 430, 149, 440, 150, 429, 149, 429, 150, 447, 150, 432, 
55, 150, 429, 150, 437, 150, 429, 149, 427, 149, 445, 150, 431, 
60, 150, 428, 149, 436, 149, 427, 149, 427, 149, 443, 149, 429, 
65, 150, 427, 150, 435, 149, 425, 150, 426, 150, 443, 150, 427, 
70, 149, 426, 149, 434, 150, 424, 149, 424, 149, 442, 149, 427, 
75, 150, 425, 149, 435, 150, 422, 149, 422, 149, 441, 150, 427, 
80, 150, 424, 149, 432, 149, 420, 150, 421, 150, 439, 149, 425, 
85, 150, 423, 150, 430, 150, 418, 149, 419, 150, 438, 150, 424, 
90, 150, 422, 149, 430, 150, 417, 149, 419, 149, 438, 149, 424, 
95, 150, 421, 150, 430, 149, 417, 149, 418, 149, 436, 150, 423, 
100, 149, 419, 149, 429, 150, 416, 149, 415, 150, 436, 149, 421, 
105, 149, 420, 149, 428, 150, 415, 150, 417, 150, 433, 150, 420, 
110, 149, 419, 150, 428, 149, 416, 149, 415, 150, 432, 150, 419, 
115, 150, 419, 149, 426, 149, 415, 149, 416, 149, 430, 150, 418, 
120, 150, 419, 150, 427, 149, 415, 149, 415, 150, 429, 150, 418, 
125, 150, 419, 149, 425, 150, 415, 149, 414, 150, 430, 150, 416, 
130, 150, 418, 150, 426, 149, 415, 149, 415, 149, 430, 150, 415, 
135, 150, 419, 149, 426, 149, 415, 149, 415, 149, 430, 149, 417, 
140, 150, 419, 149, 426, 150, 416, 149, 414, 150, 429, 150, 416, 
145, 150, 419, 150, 426, 149, 415, 149, 416, 150, 429, 150, 415, 
150, 149, 419, 149, 424, 149, 416, 149, 416, 150, 429, 149, 417, 
155, 150, 420, 149, 424, 150, 417, 150, 417, 149, 428, 149, 417, 
160, 150, 420, 150, 424, 150, 417, 149, 416, 150, 428, 150, 414, 
165, 150, 421, 149, 425, 149, 419, 150, 417, 150, 428, 149, 418, 
170, 150, 421, 149, 424, 150, 419, 150, 418, 149, 429, 150, 417, 
175, 150, 422, 149, 424, 150, 420, 149, 417, 150, 429, 150, 418, 
180, 150, 423, 149, 425, 149, 421, 150, 418, 149, 428, 149, 416, 
185, 150, 423, 149, 425, 149, 421, 150, 420, 150, 430, 150, 416, 
190, 150, 424, 149, 425, 150, 424, 150, 422, 149, 430, 150, 418, 
195, 150, 425, 149, 423, 149, 423, 149, 422, 149, 430, 149, 419, 
200, 150, 426, 149, 424, 150, 426, 149, 422, 149, 430, 150, 416, 
205, 150, 427, 150, 425, 150, 425, 150, 424, 149, 430, 150, 421, 
210, 150, 428, 149, 424, 149, 427, 150, 425, 149, 430, 150, 419, 
215, 150, 429, 149, 426, 150, 428, 149, 425, 150, 433, 150, 420, 
220, 150, 430, 149, 424, 150, 430, 149, 426, 149, 431, 149, 421, 
225, 150, 431, 149, 424, 150, 429, 149, 426, 149, 433, 150, 420, 
230, 150, 432, 149, 424, 150, 431, 149, 427, 149, 433, 149, 422, 
235, 150, 433, 149, 426, 150, 432, 149, 429, 149, 433, 150, 421, 
240, 149, 433, 149, 425, 150, 434, 149, 431, 149, 434, 150, 424, 
245, 150, 434, 150, 424, 150, 434, 149, 431, 150, 433, 150, 425, 
250, 150, 435, 149, 426, 150, 436, 149, 431, 150, 434, 149, 425, 
255, 150, 436, 149, 425, 149, 435, 150, 433, 150, 436, 150, 426, 
260, 149, 437, 149, 424, 149, 438, 149, 434, 149, 435, 150, 427, 
265, 149, 438, 150, 426, 149, 438, 150, 437, 149, 436, 150, 429, 
270, 149, 440, 149, 425, 150, 439, 149, 435, 150, 436, 150, 429, 
275, 150, 441, 150, 428, 150, 440, 149, 439, 150, 437, 149, 429, 
280, 150, 442, 149, 426, 149, 441, 149, 439, 150, 436, 150, 430, 
285, 149, 443, 149, 426, 150, 441, 150, 439, 149, 437, 150, 430, 
290, 150, 444, 150, 429, 149, 441, 149, 442, 150, 437, 150, 429, 
295, 150, 446, 149, 430, 150, 443, 150, 444, 149, 437, 149, 430, 
300, 150, 447, 149, 429, 149, 442, 150, 443, 150, 436, 149, 431, 
305, 150, 448, 150, 431, 150, 443, 149, 446, 150, 437, 150, 430, 
310, 150, 447, 149, 432, 150, 444, 149, 448, 150, 438, 150, 432, 
315, 150, 448, 150, 430, 149, 445, 149, 449, 150, 436, 150, 433, 
320, 150, 449, 149, 431, 150, 445, 149, 448, 150, 438, 150, 433, 
325, 149, 450, 150, 434, 150, 447, 149, 451, 149, 437, 149, 433, 
330, 150, 450, 150, 434, 149, 448, 149, 453, 149, 439, 150, 435, 
