t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 387, 150, 389, 150, 394, 149, 386, 150, 398, 150, 386, 
10, 150, 390, 149, 387, 150, 392, 150, 386, 150, 399, 149, 383, 
15, 149, 391, 149, 387, 149, 391, 149, 382, 149, 398, 150, 382, 
20, 150, 391, 149, 387, 150, 391, 150, 384, 150, 398, 150, 384, 
25, 149, 393, 149, 385, 149, 390, 150, 387, 150, 399, 150, 381, 
30, 149, 398, 149, 390, 149, 392, 149, 389, 150, 401, 150, 384, 
35, 150, 400, 149, 392, 149, 393, 149, 391, 150, 404, 150, 388, 
40, 150, 403, 149, 392, 150, 395, 150, 392, 150, 405, 150, 393, 
45, 150, 406, 149, 395, 150, 399, 149, 395, 150, 408, 149, 397, 
50, 150, 407, 149, 401, 150, 406, 150, 403, 149, 415, 150, 403, 
55, 150, 407, 149, 407, 149, 411, 149, 409, 149, 419, 150, 412, 
60, 150, 407, 149, 409, 150, 417, 150, 412, 150, 426, 150, 417, 
65, 150, 409, 149, 411, 149, 422, 149, 419, 150, 430, 149, 421, 
70, 150, 411, 149, 415, 150, 425, 150, 421, 149, 435, 150, 426, 
75, 150, 411, 150, 417, 150, 426, 150, 425, 150, 437, 150, 426, 
80, 150, 412, 149, 419, 149, 427, 149, 419, 150, 437, 149, 427, 
85, 150, 413, 149, 420, 150, 427, 150, 423, 150, 438, 150, 428, 
90, 150, 415, 150, 419, 149, 426, 149, 422, 149, 439, 149, 430, 
95, 150, 415, 149, 420, 150, 426, 150, 422, 150, 442, 150, 433, 
100, 150, 416, 149, 421, 150, 426, 149, 424, 150, 441, 149, 436, 
105, 150, 418, 149, 420, 150, 426, 149, 428, 150, 444, 150, 437, 
110, 150, 419, 149, 422, 149, 426, 149, 431, 149, 445, 149, 443, 
115, 150, 420, 149, 423, 150, 426, 150, 433, 150, 446, 150, 447, 
120, 149, 422, 149, 424, 150, 427, 150, 433, 149, 448, 150, 449, 
125, 150, 423, 149, 424, 150, 427, 149, 436, 150, 451, 150, 451, 
130, 150, 423, 149, 424, 149, 425, 149, 438, 149, 451, 150, 453, 
135, 150, 426, 150, 425, 150, 427, 149, 437, 149, 453, 150, 452, 
140, 150, 426, 149, 426, 150, 428, 149, 441, 150, 453, 149, 453, 
145, 150, 426, 149, 427, 150, 428, 149, 441, 150, 454, 149, 452, 
150, 150, 427, 150, 429, 150, 426, 149, 442, 150, 455, 150, 452, 
155, 150, 428, 149, 428, 149, 427, 149, 440, 150, 454, 150, 451, 
160, 149, 427, 150, 430, 150, 429, 149, 441, 150, 454, 149, 449, 
165, 150, 428, 149, 431, 149, 428, 149, 441, 149, 454, 150, 449, 
170, 150, 427, 150, 432, 150, 426, 150, 440, 150, 454, 150, 447, 
175, 149, 426, 149, 431, 149, 427, 150, 440, 149, 455, 150, 446, 
180, 150, 426, 149, 435, 150, 426, 149, 440, 150, 454, 149, 444, 
185, 150, 429, 149, 434, 150, 425, 150, 441, 149, 454, 149, 445, 
190, 150, 429, 150, 432, 150, 425, 151, 444, 150, 454, 150, 444, 
195, 150, 428, 149, 432, 149, 426, 150, 437, 150, 452, 150, 442, 
200, 150, 428, 149, 433, 149, 425, 149, 437, 149, 453, 150, 441, 
205, 150, 428, 149, 432, 150, 425, 150, 439, 149, 452, 150, 440, 
210, 150, 427, 150, 432, 149, 425, 149, 436, 149, 452, 150, 438, 
215, 150, 427, 149, 431, 150, 425, 149, 436, 149, 451, 150, 439, 
220, 150, 427, 149, 433, 149, 425, 149, 436, 150, 450, 150, 436, 
225, 150, 426, 150, 433, 149, 425, 150, 435, 149, 450, 150, 434, 
230, 150, 425, 149, 433, 150, 426, 150, 436, 150, 450, 149, 435, 
235, 150, 427, 149, 433, 150, 427, 149, 435, 149, 449, 150, 435, 
240, 150, 423, 149, 436, 150, 425, 150, 436, 150, 448, 150, 433, 
245, 150, 424, 150, 434, 150, 426, 149, 432, 149, 447, 150, 432, 
250, 150, 422, 149, 434, 150, 426, 150, 435, 150, 449, 150, 431, 
255, 150, 423, 149, 434, 150, 427, 149, 434, 150, 448, 150, 431, 
260, 149, 421, 149, 435, 150, 426, 150, 434, 150, 447, 149, 429, 
265, 150, 420, 150, 433, 150, 426, 150, 433, 150, 446, 149, 429, 
270, 150, 419, 150, 434, 150, 427, 149, 433, 150, 446, 150, 428, 
275, 150, 419, 149, 435, 149, 425, 149, 434, 150, 446, 149, 427, 
280, 150, 419, 150, 434, 150, 427, 149, 433, 149, 445, 150, 426, 
285, 150, 417, 149, 433, 150, 427, 150, 434, 150, 445, 150, 426, 
290, 150, 418, 150, 433, 149, 426, 150, 435, 149, 444, 150, 426, 
295, 150, 417, 149, 433, 149, 426, 150, 434, 149, 444, 149, 424, 
300, 150, 416, 149, 433, 150, 426, 149, 432, 149, 442, 150, 421, 
305, 149, 416, 149, 432, 149, 427, 150, 434, 149, 444, 150, 423, 
310, 150, 416, 150, 433, 150, 426, 150, 434, 150, 445, 150, 423, 
315, 150, 415, 149, 432, 150, 425, 150, 434, 150, 443, 149, 421, 
320, 150, 415, 149, 431, 149, 426, 150, 431, 149, 440, 150, 419, 
325, 150, 415, 149, 432, 150, 427, 150, 433, 149, 441, 149, 420, 
330, 150, 415, 149, 432, 149, 426, 150, 434, 150, 441, 150, 419, 
