t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 379, 149, 395, 150, 374, 150, 372, 150, 392, 150, 382, 
10, 150, 378, 150, 394, 150, 374, 150, 373, 150, 395, 149, 383, 
15, 150, 376, 149, 394, 150, 375, 149, 374, 149, 393, 150, 381, 
20, 150, 377, 150, 393, 149, 374, 149, 372, 150, 393, 149, 381, 
25, 150, 378, 149, 390, 150, 374, 150, 371, 150, 390, 149, 380, 
30, 150, 380, 149, 390, 149, 373, 150, 371, 149, 390, 149, 381, 
35, 150, 383, 149, 389, 150, 373, 150, 367, 149, 390, 150, 382, 
40, 150, 387, 150, 390, 149, 373, 149, 368, 150, 391, 150, 382, 
45, 150, 391, 149, 387, 150, 371, 149, 367, 149, 390, 150, 382, 
50, 150, 393, 150, 388, 150, 370, 150, 367, 150, 388, 150, 383, 
55, 150, 398, 149, 387, 150, 369, 150, 368, 150, 390, 150, 387, 
60, 150, 401, 150, 390, 149, 367, 150, 369, 150, 388, 150, 386, 
65, 150, 402, 149, 392, 150, 369, 149, 365, 150, 388, 150, 384, 
70, 150, 403, 149, 397, 150, 367, 150, 365, 150, 385, 150, 385, 
75, 150, 404, 149, 401, 149, 367, 150, 366, 150, 388, 150, 386, 
80, 150, 407, 149, 405, 149, 367, 150, 365, 150, 390, 150, 388, 
85, 150, 409, 149, 398, 150, 367, 150, 363, 150, 389, 150, 376, 
90, 150, 406, 149, 396, 149, 368, 150, 361, 150, 389, 150, 374, 
95, 150, 394, 149, 388, 150, 363, 149, 360, 150, 385, 150, 371, 
100, 149, 387, 150, 385, 149, 362, 149, 360, 149, 383, 149, 368, 
105, 150, 381, 149, 380, 150, 360, 149, 358, 150, 380, 150, 366, 
110, 150, 376, 150, 378, 149, 358, 150, 356, 149, 379, 150, 364, 
115, 150, 371, 149, 378, 150, 359, 149, 355, 150, 376, 150, 366, 
120, 150, 366, 150, 376, 149, 358, 150, 354, 149, 373, 150, 364, 
125, 150, 363, 149, 374, 150, 358, 150, 352, 150, 372, 150, 361, 
130, 150, 361, 149, 373, 149, 357, 150, 349, 149, 371, 149, 361, 
135, 150, 358, 149, 372, 149, 355, 150, 350, 150, 374, 150, 360, 
140, 150, 359, 150, 374, 149, 354, 150, 349, 150, 371, 150, 360, 
145, 150, 358, 149, 374, 150, 355, 150, 347, 150, 373, 150, 358, 
150, 150, 356, 149, 375, 149, 353, 150, 348, 150, 374, 150, 361, 
155, 149, 357, 149, 376, 150, 352, 150, 348, 150, 376, 150, 360, 
160, 150, 357, 150, 376, 149, 354, 149, 350, 150, 379, 150, 361, 
165, 150, 356, 149, 377, 150, 353, 150, 351, 150, 380, 150, 359, 
170, 150, 357, 149, 378, 149, 353, 149, 351, 150, 382, 150, 360, 
175, 150, 357, 149, 380, 150, 352, 150, 354, 149, 384, 149, 360, 
180, 150, 359, 150, 381, 150, 353, 149, 356, 149, 383, 150, 360, 
185, 150, 357, 149, 382, 150, 354, 150, 355, 149, 386, 150, 359, 
190, 150, 359, 149, 386, 149, 354, 150, 355, 150, 386, 150, 361, 
195, 150, 357, 149, 386, 150, 354, 150, 359, 150, 386, 150, 361, 
200, 150, 360, 150, 387, 149, 354, 150, 362, 150, 388, 150, 364, 
205, 150, 360, 149, 388, 150, 357, 150, 359, 150, 386, 150, 362, 
210, 150, 359, 149, 389, 150, 357, 150, 360, 149, 385, 149, 362, 
215, 150, 360, 149, 388, 150, 357, 150, 364, 150, 385, 150, 364, 
220, 149, 359, 149, 389, 149, 357, 149, 363, 149, 385, 150, 364, 
225, 150, 358, 149, 390, 150, 358, 149, 362, 150, 384, 150, 362, 
230, 150, 360, 149, 390, 150, 356, 149, 363, 150, 386, 150, 364, 
235, 150, 360, 149, 390, 150, 358, 149, 363, 150, 383, 150, 361, 
240, 150, 359, 149, 388, 149, 357, 150, 362, 149, 384, 150, 361, 
245, 150, 359, 149, 390, 150, 359, 149, 363, 149, 384, 150, 363, 
250, 150, 359, 149, 390, 150, 359, 149, 364, 150, 383, 150, 365, 
255, 150, 358, 149, 390, 150, 361, 149, 363, 149, 383, 150, 362, 
260, 150, 357, 149, 391, 149, 360, 149, 364, 150, 382, 150, 363, 
265, 150, 357, 149, 390, 150, 361, 150, 364, 150, 382, 150, 363, 
270, 149, 358, 150, 390, 149, 360, 150, 365, 149, 383, 150, 365, 
275, 150, 357, 149, 390, 150, 361, 149, 364, 149, 382, 150, 363, 
280, 150, 357, 149, 389, 150, 362, 150, 364, 150, 380, 150, 364, 
285, 150, 356, 149, 391, 150, 360, 149, 365, 150, 380, 150, 365, 
290, 150, 355, 149, 388, 149, 360, 150, 365, 150, 380, 150, 365, 
295, 150, 355, 149, 389, 150, 362, 149, 364, 150, 379, 150, 363, 
300, 150, 355, 150, 390, 149, 361, 150, 364, 149, 380, 149, 365, 
305, 150, 354, 149, 389, 150, 361, 150, 364, 150, 380, 150, 365, 
310, 149, 353, 149, 390, 150, 361, 150, 365, 150, 378, 150, 365, 
315, 150, 354, 149, 388, 150, 362, 149, 364, 150, 378, 150, 364, 
320, 150, 353, 150, 388, 150, 360, 150, 361, 150, 377, 149, 364, 
325, 150, 353, 149, 388, 150, 360, 150, 363, 150, 378, 150, 365, 
330, 150, 351, 149, 386, 150, 360, 150, 364, 149, 377, 149, 365, 
