t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 414, 149, 408, 149, 413, 150, 404, 149, 431, 149, 411, 
10, 150, 415, 150, 408, 150, 412, 149, 405, 150, 430, 150, 412, 
15, 150, 416, 149, 408, 150, 413, 149, 406, 150, 429, 150, 412, 
20, 150, 417, 149, 407, 150, 411, 150, 404, 150, 430, 150, 412, 
25, 150, 418, 149, 406, 149, 411, 149, 402, 149, 429, 150, 413, 
30, 150, 421, 149, 407, 150, 412, 149, 404, 149, 429, 150, 410, 
35, 150, 424, 149, 406, 149, 411, 150, 404, 150, 428, 150, 412, 
40, 150, 428, 150, 406, 149, 410, 151, 406, 150, 428, 150, 412, 
45, 150, 427, 149, 405, 149, 410, 149, 404, 149, 427, 150, 411, 
50, 150, 421, 149, 401, 150, 411, 150, 402, 150, 428, 149, 409, 
55, 150, 414, 149, 401, 149, 408, 149, 401, 150, 425, 150, 409, 
60, 150, 404, 150, 400, 150, 407, 150, 400, 150, 424, 150, 406, 
65, 150, 397, 149, 396, 149, 405, 149, 396, 149, 421, 149, 404, 
70, 150, 395, 150, 397, 150, 404, 150, 398, 150, 421, 150, 402, 
75, 150, 393, 149, 395, 149, 403, 149, 396, 150, 419, 150, 401, 
80, 150, 391, 150, 391, 150, 400, 149, 394, 150, 420, 150, 402, 
85, 150, 391, 149, 390, 150, 401, 149, 392, 149, 418, 150, 399, 
90, 150, 390, 149, 389, 150, 401, 150, 395, 149, 418, 150, 399, 
95, 150, 390, 149, 389, 150, 399, 149, 393, 150, 417, 150, 398, 
100, 149, 390, 149, 389, 150, 398, 151, 394, 150, 418, 150, 399, 
105, 150, 390, 149, 389, 150, 399, 149, 391, 149, 416, 149, 395, 
110, 150, 390, 149, 389, 149, 400, 149, 391, 150, 416, 149, 394, 
115, 150, 391, 149, 388, 150, 398, 150, 390, 150, 416, 150, 396, 
120, 150, 391, 149, 389, 150, 398, 150, 391, 149, 415, 150, 396, 
125, 150, 392, 149, 391, 149, 398, 149, 391, 150, 416, 150, 394, 
130, 150, 393, 149, 393, 150, 401, 149, 393, 150, 415, 149, 394, 
135, 150, 395, 149, 395, 149, 400, 149, 393, 150, 417, 150, 395, 
140, 150, 395, 149, 397, 149, 399, 150, 393, 150, 419, 149, 396, 
145, 150, 396, 150, 398, 150, 402, 150, 395, 150, 418, 149, 394, 
150, 150, 397, 149, 398, 150, 401, 150, 395, 150, 420, 149, 395, 
155, 150, 398, 149, 399, 149, 400, 149, 395, 150, 421, 150, 397, 
160, 150, 399, 149, 398, 150, 399, 150, 393, 149, 421, 149, 396, 
165, 150, 400, 150, 399, 150, 402, 149, 396, 150, 424, 150, 394, 
170, 150, 401, 149, 401, 150, 402, 149, 396, 149, 423, 150, 394, 
175, 150, 402, 150, 401, 150, 401, 149, 397, 149, 423, 150, 396, 
180, 149, 403, 149, 399, 149, 401, 149, 394, 149, 425, 150, 396, 
185, 150, 405, 149, 401, 150, 404, 149, 396, 149, 424, 150, 394, 
190, 150, 404, 149, 401, 150, 403, 149, 398, 149, 424, 149, 396, 
195, 150, 404, 149, 399, 150, 403, 150, 398, 150, 427, 150, 397, 
200, 150, 405, 149, 400, 149, 403, 149, 395, 150, 427, 150, 397, 
205, 150, 406, 149, 401, 150, 404, 150, 397, 150, 426, 150, 394, 
210, 150, 406, 149, 401, 150, 404, 149, 397, 149, 426, 149, 396, 
215, 149, 406, 150, 402, 150, 403, 150, 398, 150, 426, 150, 398, 
220, 149, 406, 149, 402, 149, 404, 149, 396, 150, 427, 150, 397, 
225, 150, 406, 149, 403, 150, 404, 150, 397, 149, 427, 150, 396, 
230, 150, 406, 149, 401, 150, 404, 149, 397, 150, 426, 150, 396, 
235, 150, 406, 150, 402, 150, 405, 149, 397, 149, 426, 150, 398, 
240, 149, 406, 149, 402, 150, 404, 150, 396, 149, 426, 150, 399, 
245, 149, 406, 149, 401, 150, 405, 150, 397, 150, 426, 150, 396, 
250, 149, 406, 150, 403, 149, 406, 150, 396, 150, 427, 150, 396, 
255, 150, 406, 150, 401, 150, 407, 149, 396, 149, 427, 150, 396, 
260, 150, 406, 149, 403, 150, 404, 149, 394, 149, 427, 150, 397, 
265, 150, 406, 149, 401, 149, 405, 149, 395, 150, 426, 150, 397, 
270, 150, 406, 149, 403, 150, 406, 149, 395, 150, 426, 149, 396, 
275, 150, 406, 149, 402, 150, 405, 149, 394, 150, 426, 150, 397, 
280, 150, 406, 149, 400, 150, 404, 149, 394, 149, 426, 150, 396, 
285, 150, 406, 149, 400, 150, 406, 149, 394, 150, 427, 150, 396, 
290, 150, 404, 149, 403, 150, 405, 150, 395, 150, 424, 150, 394, 
295, 150, 404, 149, 401, 150, 406, 150, 392, 149, 425, 150, 395, 
300, 149, 403, 149, 401, 150, 405, 150, 392, 150, 424, 149, 396, 
305, 150, 404, 149, 400, 150, 405, 149, 392, 150, 424, 150, 394, 
310, 150, 403, 149, 401, 150, 407, 149, 392, 150, 423, 149, 393, 
315, 150, 404, 150, 399, 150, 407, 150, 392, 150, 424, 150, 394, 
320, 150, 404, 149, 400, 150, 405, 150, 388, 150, 424, 150, 393, 
325, 149, 403, 149, 401, 150, 405, 150, 389, 150, 424, 150, 393, 
330, 150, 403, 149, 402, 150, 405, 150, 388, 150, 423, 150, 393, 
