t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 410, 149, 414, 150, 414, 150, 417, 149, 435, 150, 422, 
10, 150, 412, 149, 414, 150, 414, 149, 414, 149, 433, 149, 417, 
15, 150, 414, 149, 416, 150, 415, 150, 416, 150, 435, 150, 420, 
20, 150, 415, 149, 416, 150, 415, 150, 417, 150, 435, 150, 421, 
25, 150, 418, 149, 416, 149, 415, 150, 415, 150, 434, 149, 420, 
30, 149, 422, 149, 414, 150, 415, 149, 414, 149, 435, 149, 420, 
35, 149, 426, 149, 414, 149, 416, 149, 416, 149, 435, 150, 419, 
40, 150, 429, 149, 415, 150, 416, 150, 416, 149, 434, 149, 421, 
45, 150, 431, 149, 414, 150, 415, 150, 416, 150, 435, 150, 419, 
50, 149, 424, 149, 413, 150, 413, 149, 415, 150, 434, 149, 420, 
55, 149, 417, 150, 413, 150, 414, 149, 416, 149, 433, 150, 422, 
60, 150, 407, 149, 412, 149, 411, 149, 412, 150, 429, 149, 422, 
65, 150, 402, 149, 410, 149, 411, 150, 411, 150, 430, 150, 418, 
70, 149, 398, 149, 408, 149, 409, 150, 412, 149, 428, 150, 420, 
75, 149, 397, 150, 408, 150, 407, 150, 407, 149, 426, 149, 417, 
80, 150, 396, 149, 406, 149, 407, 150, 407, 150, 426, 150, 416, 
85, 150, 396, 150, 403, 150, 407, 149, 405, 149, 424, 149, 415, 
90, 150, 395, 149, 402, 149, 403, 149, 404, 150, 423, 150, 415, 
95, 150, 396, 149, 403, 150, 402, 150, 402, 150, 423, 149, 416, 
100, 150, 397, 150, 402, 149, 404, 150, 403, 150, 422, 149, 413, 
105, 149, 395, 149, 401, 150, 405, 149, 402, 150, 421, 150, 414, 
110, 150, 395, 150, 401, 150, 404, 150, 401, 150, 420, 149, 415, 
115, 150, 394, 150, 399, 149, 402, 149, 401, 149, 420, 150, 410, 
120, 150, 394, 149, 399, 150, 403, 150, 402, 149, 419, 150, 414, 
125, 150, 395, 149, 398, 149, 401, 150, 401, 150, 418, 150, 414, 
130, 150, 395, 149, 399, 150, 400, 150, 401, 150, 418, 150, 413, 
135, 150, 394, 150, 398, 150, 401, 150, 400, 150, 418, 149, 412, 
140, 150, 393, 149, 398, 150, 401, 150, 401, 150, 418, 150, 412, 
145, 150, 393, 149, 397, 150, 399, 150, 398, 149, 417, 149, 410, 
150, 150, 392, 150, 397, 150, 400, 150, 400, 150, 417, 150, 408, 
155, 150, 393, 149, 398, 150, 401, 149, 400, 150, 417, 150, 405, 
160, 150, 394, 150, 398, 149, 402, 149, 399, 150, 416, 149, 404, 
165, 150, 393, 149, 399, 150, 400, 149, 399, 150, 416, 150, 405, 
170, 150, 393, 149, 398, 150, 403, 150, 400, 149, 418, 149, 404, 
175, 150, 393, 149, 397, 149, 402, 150, 398, 150, 418, 150, 406, 
180, 149, 393, 149, 399, 150, 401, 150, 397, 149, 418, 150, 404, 
185, 150, 395, 149, 398, 150, 404, 150, 398, 150, 420, 150, 404, 
190, 150, 395, 149, 399, 149, 403, 151, 402, 150, 421, 150, 411, 
195, 150, 396, 149, 400, 150, 402, 150, 398, 150, 420, 149, 410, 
200, 150, 397, 150, 399, 149, 403, 149, 399, 150, 421, 150, 409, 
205, 150, 396, 149, 399, 149, 404, 150, 401, 149, 421, 149, 412, 
210, 150, 400, 150, 401, 150, 403, 149, 401, 150, 419, 150, 413, 
215, 150, 399, 149, 400, 149, 401, 149, 400, 150, 420, 150, 414, 
220, 150, 400, 150, 400, 149, 402, 149, 401, 150, 420, 149, 411, 
225, 150, 398, 149, 399, 150, 405, 150, 402, 150, 419, 150, 406, 
230, 150, 399, 149, 400, 149, 404, 150, 400, 149, 419, 150, 410, 
235, 150, 401, 149, 400, 150, 405, 150, 402, 150, 420, 150, 409, 
240, 150, 399, 149, 400, 150, 405, 150, 402, 149, 422, 150, 414, 
245, 150, 400, 150, 400, 150, 407, 149, 402, 150, 420, 150, 413, 
250, 150, 401, 149, 400, 150, 402, 150, 405, 150, 422, 150, 415, 
255, 150, 401, 149, 400, 150, 405, 150, 404, 150, 421, 149, 413, 
260, 149, 404, 149, 400, 150, 407, 150, 404, 149, 422, 150, 416, 
265, 150, 404, 149, 400, 150, 404, 149, 402, 150, 419, 150, 415, 
270, 150, 404, 149, 399, 150, 406, 149, 404, 150, 420, 150, 413, 
275, 150, 402, 149, 399, 149, 407, 150, 407, 149, 418, 150, 412, 
280, 150, 401, 149, 399, 150, 406, 150, 405, 150, 420, 150, 413, 
285, 150, 404, 149, 398, 150, 404, 150, 406, 150, 420, 149, 414, 
290, 150, 404, 149, 397, 150, 404, 150, 406, 149, 420, 149, 415, 
295, 149, 403, 150, 397, 149, 405, 149, 405, 150, 418, 150, 416, 
300, 150, 405, 149, 397, 150, 407, 150, 404, 150, 418, 149, 415, 
305, 150, 404, 149, 395, 150, 405, 150, 405, 150, 418, 150, 412, 
310, 150, 404, 149, 395, 150, 407, 149, 405, 150, 417, 150, 415, 
315, 150, 403, 149, 394, 149, 406, 150, 404, 150, 417, 149, 416, 
320, 150, 403, 149, 393, 149, 403, 149, 405, 150, 415, 150, 415, 
325, 150, 404, 149, 394, 149, 404, 150, 407, 150, 415, 150, 415, 
330, 150, 403, 149, 393, 150, 405, 150, 404, 149, 415, 150, 414, 
