t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 368, 150, 370, 149, 365, 149, 357, 149, 381, 150, 370, 
10, 150, 367, 149, 371, 150, 364, 150, 356, 150, 382, 150, 368, 
15, 150, 367, 149, 371, 149, 364, 149, 355, 150, 380, 150, 368, 
20, 149, 367, 150, 371, 150, 362, 150, 357, 150, 380, 150, 370, 
25, 150, 369, 149, 371, 150, 365, 150, 358, 149, 380, 149, 364, 
30, 150, 371, 149, 370, 150, 365, 149, 355, 150, 380, 150, 367, 
35, 150, 373, 149, 369, 150, 364, 149, 357, 149, 379, 150, 366, 
40, 150, 374, 149, 369, 149, 363, 149, 356, 150, 381, 150, 368, 
45, 150, 378, 149, 370, 150, 365, 149, 355, 149, 379, 150, 365, 
50, 150, 382, 149, 369, 149, 360, 150, 355, 150, 378, 150, 367, 
55, 150, 384, 149, 371, 150, 361, 149, 355, 149, 379, 150, 370, 
60, 150, 385, 150, 371, 150, 359, 150, 354, 150, 381, 150, 369, 
65, 150, 388, 149, 369, 150, 360, 149, 355, 149, 379, 150, 368, 
70, 150, 375, 149, 364, 149, 359, 149, 354, 150, 377, 150, 365, 
75, 150, 366, 149, 362, 150, 355, 150, 355, 149, 377, 150, 363, 
80, 150, 362, 150, 360, 150, 355, 150, 353, 150, 376, 150, 360, 
85, 150, 360, 149, 360, 149, 356, 149, 350, 149, 374, 150, 358, 
90, 150, 358, 149, 359, 149, 354, 149, 351, 149, 372, 150, 358, 
95, 149, 358, 149, 359, 149, 351, 150, 351, 150, 372, 149, 356, 
100, 150, 357, 149, 356, 150, 353, 150, 347, 150, 374, 150, 354, 
105, 150, 357, 149, 357, 149, 352, 149, 347, 149, 373, 150, 355, 
110, 150, 357, 149, 355, 149, 353, 150, 348, 150, 370, 150, 355, 
115, 149, 357, 150, 354, 149, 352, 149, 347, 150, 371, 150, 356, 
120, 150, 358, 150, 354, 149, 352, 150, 344, 150, 371, 150, 353, 
125, 150, 357, 149, 353, 150, 353, 150, 344, 149, 370, 150, 352, 
130, 150, 357, 149, 353, 149, 350, 150, 344, 150, 368, 150, 353, 
135, 149, 356, 150, 352, 149, 350, 149, 345, 149, 367, 149, 351, 
140, 150, 354, 149, 351, 150, 352, 150, 343, 150, 368, 150, 350, 
145, 149, 354, 149, 353, 150, 351, 150, 343, 149, 367, 150, 351, 
150, 150, 355, 149, 352, 150, 349, 149, 344, 150, 367, 150, 351, 
155, 150, 355, 150, 353, 149, 349, 149, 343, 149, 365, 150, 352, 
160, 150, 355, 149, 352, 150, 348, 150, 343, 150, 365, 150, 354, 
165, 150, 354, 150, 352, 149, 348, 149, 341, 150, 364, 149, 353, 
170, 149, 354, 149, 352, 150, 348, 150, 343, 149, 365, 150, 354, 
175, 150, 354, 150, 352, 149, 347, 149, 341, 150, 365, 150, 354, 
180, 150, 354, 149, 351, 150, 348, 150, 342, 149, 366, 150, 353, 
185, 150, 353, 149, 353, 150, 349, 149, 341, 149, 365, 150, 356, 
190, 150, 353, 149, 353, 150, 348, 150, 341, 150, 365, 150, 354, 
195, 150, 353, 150, 353, 149, 348, 149, 340, 150, 364, 150, 356, 
200, 150, 353, 149, 353, 150, 350, 150, 343, 149, 365, 149, 354, 
205, 149, 353, 150, 353, 149, 348, 149, 341, 149, 366, 149, 355, 
210, 150, 354, 149, 353, 150, 349, 149, 341, 149, 366, 150, 356, 
215, 150, 354, 150, 354, 149, 349, 149, 341, 150, 365, 149, 355, 
220, 150, 355, 149, 354, 150, 350, 150, 341, 149, 367, 150, 354, 
225, 150, 354, 149, 354, 149, 350, 150, 341, 150, 366, 150, 355, 
230, 150, 354, 149, 354, 150, 349, 150, 344, 150, 367, 150, 355, 
235, 150, 353, 150, 355, 149, 349, 149, 343, 150, 367, 149, 356, 
240, 149, 354, 149, 354, 150, 350, 150, 342, 149, 367, 150, 356, 
245, 150, 353, 149, 355, 149, 349, 150, 343, 150, 367, 150, 356, 
250, 150, 354, 149, 354, 150, 350, 150, 343, 149, 368, 150, 356, 
255, 150, 352, 149, 355, 150, 352, 149, 342, 150, 368, 150, 356, 
260, 150, 354, 149, 354, 149, 352, 150, 345, 149, 367, 150, 354, 
265, 150, 354, 149, 355, 149, 352, 150, 343, 150, 368, 150, 356, 
270, 150, 353, 149, 356, 150, 352, 150, 345, 149, 367, 150, 357, 
275, 150, 353, 149, 355, 150, 351, 149, 343, 150, 370, 150, 355, 
280, 150, 353, 149, 355, 149, 353, 150, 341, 149, 368, 150, 354, 
285, 150, 352, 149, 354, 150, 351, 150, 343, 150, 368, 150, 355, 
290, 150, 353, 149, 354, 149, 352, 149, 346, 149, 368, 150, 355, 
295, 150, 352, 149, 355, 150, 353, 149, 345, 150, 369, 150, 355, 
300, 149, 351, 149, 355, 150, 355, 150, 344, 149, 369, 150, 356, 
305, 150, 351, 149, 354, 149, 353, 149, 344, 149, 369, 149, 354, 
310, 150, 352, 149, 354, 150, 354, 150, 344, 150, 370, 150, 355, 
315, 150, 351, 149, 354, 150, 354, 149, 343, 150, 368, 149, 354, 
320, 150, 351, 149, 354, 150, 353, 150, 346, 149, 369, 150, 356, 
325, 150, 351, 149, 354, 149, 352, 149, 346, 150, 368, 149, 355, 
330, 150, 350, 149, 352, 150, 354, 150, 344, 149, 368, 150, 354, 
