t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 377, 149, 369, 150, 370, 149, 369, 149, 388, 150, 372, 
10, 150, 376, 149, 372, 149, 369, 150, 369, 150, 389, 150, 371, 
15, 150, 376, 149, 371, 150, 368, 150, 366, 150, 388, 149, 371, 
20, 150, 376, 149, 368, 150, 368, 150, 371, 150, 388, 150, 372, 
25, 150, 375, 149, 369, 149, 367, 150, 368, 150, 387, 150, 373, 
30, 150, 376, 149, 371, 150, 366, 150, 368, 149, 386, 150, 372, 
35, 150, 376, 150, 371, 150, 368, 150, 368, 150, 387, 149, 372, 
40, 150, 374, 149, 369, 150, 366, 149, 365, 150, 385, 150, 371, 
45, 150, 374, 150, 369, 149, 364, 150, 365, 150, 384, 149, 370, 
50, 150, 371, 149, 366, 149, 362, 149, 363, 150, 381, 150, 367, 
55, 150, 369, 150, 363, 150, 361, 149, 362, 149, 379, 149, 365, 
60, 150, 367, 149, 361, 150, 358, 149, 359, 150, 379, 150, 363, 
65, 150, 368, 149, 361, 150, 357, 150, 359, 149, 378, 149, 362, 
70, 149, 367, 149, 361, 150, 358, 150, 359, 150, 379, 150, 362, 
75, 150, 366, 149, 359, 149, 358, 150, 357, 150, 378, 149, 361, 
80, 150, 365, 149, 361, 150, 357, 150, 354, 149, 377, 150, 363, 
85, 150, 365, 149, 361, 150, 358, 150, 356, 150, 377, 150, 363, 
90, 150, 366, 149, 361, 149, 357, 150, 354, 150, 378, 150, 361, 
95, 150, 365, 149, 361, 149, 355, 150, 352, 150, 377, 150, 360, 
100, 150, 366, 150, 360, 150, 355, 149, 353, 150, 378, 150, 363, 
105, 149, 366, 149, 360, 149, 356, 149, 353, 149, 378, 150, 363, 
110, 150, 366, 149, 360, 150, 355, 150, 354, 150, 380, 150, 361, 
115, 150, 368, 149, 361, 149, 355, 150, 355, 149, 381, 150, 364, 
120, 150, 368, 149, 360, 150, 356, 149, 356, 149, 383, 149, 364, 
125, 150, 368, 149, 360, 149, 356, 149, 354, 150, 384, 150, 362, 
130, 149, 367, 149, 362, 150, 355, 149, 355, 149, 385, 150, 365, 
135, 150, 369, 149, 362, 149, 356, 150, 356, 150, 387, 150, 364, 
140, 150, 370, 150, 361, 150, 357, 149, 355, 149, 387, 150, 365, 
145, 149, 372, 149, 361, 149, 356, 150, 355, 150, 387, 150, 363, 
150, 149, 370, 150, 361, 149, 357, 150, 360, 150, 392, 150, 365, 
155, 150, 371, 149, 361, 150, 358, 150, 358, 150, 388, 150, 364, 
160, 150, 372, 149, 360, 149, 357, 150, 357, 150, 389, 149, 363, 
165, 150, 371, 149, 362, 150, 358, 150, 356, 149, 389, 150, 364, 
170, 149, 372, 149, 361, 150, 358, 150, 358, 150, 392, 150, 364, 
175, 150, 372, 149, 361, 149, 358, 150, 356, 149, 391, 149, 363, 
180, 150, 372, 149, 360, 150, 357, 149, 355, 150, 389, 150, 362, 
185, 150, 369, 149, 361, 150, 358, 149, 356, 150, 390, 150, 363, 
190, 149, 369, 149, 361, 149, 359, 149, 356, 149, 389, 150, 363, 
195, 150, 368, 149, 360, 149, 359, 149, 355, 150, 391, 150, 361, 
200, 150, 369, 150, 360, 149, 357, 149, 356, 149, 389, 150, 361, 
205, 150, 368, 149, 359, 150, 357, 149, 356, 150, 389, 150, 361, 
210, 150, 368, 149, 359, 149, 357, 150, 356, 149, 390, 150, 360, 
215, 150, 369, 149, 358, 150, 356, 150, 356, 150, 387, 150, 359, 
220, 149, 369, 150, 359, 149, 356, 150, 355, 149, 387, 150, 360, 
225, 150, 368, 149, 358, 150, 356, 150, 357, 150, 386, 149, 359, 
230, 150, 369, 149, 359, 149, 356, 150, 355, 150, 388, 150, 359, 
235, 150, 367, 149, 358, 150, 354, 150, 356, 150, 386, 149, 358, 
240, 150, 367, 149, 358, 150, 356, 150, 355, 149, 387, 150, 359, 
245, 150, 367, 149, 358, 149, 355, 149, 354, 150, 387, 150, 358, 
250, 150, 366, 149, 359, 150, 355, 150, 354, 150, 384, 150, 358, 
255, 150, 366, 150, 358, 150, 354, 149, 354, 150, 386, 150, 359, 
260, 150, 365, 149, 356, 150, 355, 149, 354, 150, 385, 150, 357, 
265, 150, 365, 149, 358, 150, 355, 149, 355, 150, 385, 150, 356, 
270, 150, 364, 149, 357, 149, 354, 150, 353, 150, 384, 149, 356, 
275, 150, 364, 149, 355, 150, 354, 150, 354, 149, 383, 149, 357, 
280, 150, 363, 149, 357, 150, 353, 150, 354, 150, 383, 150, 356, 
285, 150, 363, 150, 356, 150, 353, 149, 352, 150, 383, 150, 356, 
290, 150, 362, 149, 356, 150, 354, 149, 354, 150, 384, 150, 356, 
295, 150, 360, 149, 357, 150, 354, 150, 353, 150, 382, 150, 355, 
300, 150, 360, 150, 356, 150, 352, 150, 355, 150, 381, 149, 354, 
305, 150, 361, 149, 356, 150, 354, 150, 354, 150, 383, 150, 355, 
310, 150, 360, 149, 355, 149, 353, 150, 353, 150, 382, 150, 354, 
315, 150, 358, 149, 357, 150, 351, 149, 351, 150, 380, 150, 355, 
320, 150, 358, 149, 356, 150, 353, 150, 353, 150, 381, 150, 354, 
325, 150, 358, 150, 357, 150, 352, 149, 352, 150, 380, 150, 354, 
330, 150, 357, 149, 357, 149, 352, 150, 351, 150, 377, 149, 351, 
