t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 409, 150, 397, 149, 392, 150, 387, 150, 412, 150, 406, 
10, 150, 413, 149, 401, 149, 396, 150, 391, 149, 417, 149, 410, 
15, 150, 414, 150, 403, 149, 398, 149, 395, 150, 420, 150, 412, 
20, 149, 415, 150, 403, 149, 399, 149, 397, 150, 422, 150, 413, 
25, 150, 416, 149, 405, 150, 398, 149, 394, 150, 420, 150, 413, 
30, 150, 416, 150, 405, 149, 401, 150, 398, 149, 420, 150, 415, 
35, 150, 412, 150, 400, 149, 398, 149, 392, 149, 415, 149, 412, 
40, 150, 411, 149, 398, 149, 397, 150, 392, 150, 412, 150, 412, 
45, 150, 410, 150, 398, 150, 395, 149, 390, 150, 412, 150, 411, 
50, 150, 406, 149, 395, 149, 391, 149, 387, 150, 408, 150, 410, 
55, 150, 404, 149, 394, 149, 390, 150, 387, 150, 409, 150, 409, 
60, 149, 402, 150, 396, 150, 389, 149, 387, 149, 408, 150, 408, 
65, 150, 403, 149, 395, 150, 389, 149, 385, 150, 407, 149, 406, 
70, 150, 399, 150, 394, 150, 389, 150, 388, 150, 407, 150, 407, 
75, 150, 398, 150, 394, 150, 386, 149, 384, 149, 406, 150, 405, 
80, 150, 398, 149, 393, 150, 385, 150, 382, 150, 406, 149, 402, 
85, 150, 397, 150, 391, 150, 385, 150, 385, 150, 406, 150, 404, 
90, 1, 5, 1, -1, 1, -1, 1, -4, 1, 0, 0, 2, 
95, 0, 5, 0, 0, 1, 0, 1, -2, 1, 1, 0, 3, 
100, 0, 5, 1, 0, 1, -1, 1, -3, 1, 1, 0, 3, 
