t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 3, 150, 0, 149, 204, 150, 199, 150, 2, 150, 2, 
10, 149, 3, 149, 1, 149, 205, 149, 200, 149, 3, 149, 2, 
15, 149, 3, 151, 1, 149, 204, 150, 201, 150, 2, 150, 3, 
20, 150, 3, 149, 2, 150, 204, 149, 201, 149, 3, 150, 3, 
25, 149, 3, 150, 0, 149, 205, 149, 199, 150, 3, 149, 2, 
30, 149, 3, 149, 1, 150, 204, 150, 201, 150, 3, 149, 4, 
35, 149, 3, 150, 1, 149, 204, 150, 202, 150, 3, 150, 3, 
40, 150, 2, 149, 0, 149, 205, 150, 201, 150, 2, 150, 2, 
45, 150, 2, 149, 2, 150, 205, 150, 202, 149, 3, 150, 3, 
50, 149, 3, 149, 0, 150, 206, 150, 202, 149, 2, 150, 3, 
55, 150, 3, 149, 0, 149, 205, 150, 202, 149, 2, 149, 2, 
60, 150, 2, 149, 0, 150, 204, 149, 199, 150, 2, 149, 2, 
65, 150, 2, 150, 2, 149, 205, 150, 200, 149, 2, 150, 3, 
70, 150, 2, 149, 1, 150, 205, 149, 200, 149, 3, 150, 3, 
75, 149, 2, 149, 1, 150, 205, 150, 202, 149, 2, 150, 3, 
80, 150, 2, 149, 2, 150, 204, 150, 201, 149, 3, 150, 2, 
85, 150, 3, 149, 1, 150, 206, 150, 200, 149, 3, 150, 2, 
90, 149, 3, 149, 2, 150, 205, 150, 201, 149, 4, 150, 3, 
95, 150, 4, 149, 0, 149, 205, 150, 201, 149, 4, 150, 1, 
100, 149, 2, 149, 2, 149, 203, 149, 201, 149, 3, 150, 1, 
105, 150, 3, 149, 0, 150, 205, 150, 200, 150, 3, 150, 2, 
110, 149, 2, 150, 1, 150, 205, 150, 201, 150, 4, 150, 2, 
115, 149, 2, 150, 1, 149, 205, 150, 201, 149, 3, 150, 1, 
120, 149, 2, 149, 1, 149, 204, 150, 200, 150, 3, 149, 2, 
125, 149, 3, 149, 0, 150, 205, 150, 199, 149, 2, 150, 2, 
130, 150, 3, 150, 2, 150, 204, 150, 201, 150, 0, 150, 3, 
135, 149, 2, 151, 0, 149, 204, 150, 202, 149, 3, 150, 2, 
140, 149, 1, 151, 1, 150, 205, 150, 202, 149, 3, 150, 3, 
145, 150, 1, 148, 1, 150, 205, 150, 200, 150, 2, 149, 2, 
150, 149, 2, 149, 1, 149, 205, 150, 202, 150, 3, 149, 2, 
155, 150, 3, 149, 2, 150, 203, 149, 200, 149, 2, 149, 2, 
160, 150, 3, 149, 0, 150, 204, 149, 201, 150, 2, 150, 1, 
165, 150, 2, 150, 0, 149, 205, 150, 201, 149, 2, 150, 2, 
170, 150, 2, 149, 1, 150, 203, 150, 202, 150, 2, 150, 2, 
175, 149, 2, 150, 0, 149, 205, 150, 201, 150, 2, 150, 1, 
180, 150, 2, 150, 0, 150, 206, 150, 201, 150, 4, 149, 2, 
185, 149, 2, 151, 0, 150, 204, 150, 201, 149, 3, 149, 2, 
190, 149, 2, 150, 2, 149, 204, 150, 200, 150, 3, 150, 2, 
195, 149, 2, 149, 0, 150, 205, 150, 201, 150, 2, 150, 2, 
200, 149, 3, 150, 1, 150, 205, 150, 202, 149, 3, 150, 2, 
205, 149, 3, 150, 2, 150, 204, 149, 201, 149, 3, 149, 3, 
210, 149, 3, 150, 0, 150, 204, 149, 200, 150, 3, 150, 1, 
215, 149, 3, 150, 2, 150, 204, 150, 201, 150, 3, 150, 3, 
220, 150, 3, 149, 3, 150, 203, 150, 201, 149, 4, 149, 2, 
225, 149, 3, 150, 0, 150, 204, 150, 201, 149, 2, 149, 1, 
230, 149, 3, 149, 1, 150, 205, 150, 201, 149, 3, 149, 2, 
235, 149, 3, 149, 2, 149, 204, 150, 202, 149, 3, 149, 3, 
240, 149, 3, 149, 2, 149, 204, 150, 200, 150, 3, 149, 2, 
245, 149, 2, 149, 0, 150, 204, 150, 201, 150, 4, 149, 2, 
250, 149, 1, 150, 3, 150, 203, 150, 201, 149, 2, 149, 2, 
255, 149, 1, 151, 3, 149, 203, 150, 200, 149, 3, 149, 3, 
260, 150, 3, 150, 1, 150, 205, 150, 201, 149, 2, 150, 2, 
265, 150, 4, 149, 1, 149, 204, 150, 201, 150, 2, 149, 2, 
270, 150, 3, 149, 2, 150, 204, 150, 201, 150, 3, 150, 3, 
275, 149, 2, 149, 3, 149, 204, 150, 200, 150, 3, 150, 1, 
280, 150, 2, 149, 1, 149, 204, 150, 201, 150, 3, 150, 3, 
285, 149, 2, 151, 3, 150, 204, 150, 201, 149, 4, 150, 3, 
290, 150, 2, 149, 2, 149, 204, 150, 201, 150, 3, 150, 2, 
295, 150, 1, 151, 1, 149, 204, 150, 201, 150, 3, 149, 2, 
300, 150, 3, 149, 2, 149, 203, 150, 201, 150, 3, 149, 2, 
305, 149, 3, 150, 2, 150, 204, 149, 201, 150, 3, 150, 2, 
310, 149, 0, 150, 0, 150, 204, 150, 201, 150, 3, 150, 2, 
315, 149, 1, 148, 3, 149, 204, 150, 202, 149, 3, 150, 2, 
320, 150, 1, 149, 3, 150, 204, 150, 201, 149, 4, 150, 2, 
325, 150, 1, 149, 2, 149, 204, 150, 200, 150, 3, 150, 2, 
330, 150, 0, 149, 3, 149, 205, 150, 201, 149, 3, 149, 3, 
