t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 3, 150, 2, 150, 2, 150, -1, 149, 216, 150, 206, 
10, 150, 7, 149, 3, 150, 2, 150, -1, 150, 214, 150, 206, 
15, 149, 8, 149, 2, 149, 4, 150, 0, 149, 215, 150, 205, 
20, 150, 8, 149, 2, 149, 2, 150, 0, 149, 214, 150, 207, 
25, 150, 8, 149, 2, 150, 3, 150, -1, 150, 214, 149, 208, 
30, 150, 7, 150, 2, 150, 2, 149, 0, 150, 214, 150, 205, 
35, 150, 7, 149, 3, 149, 2, 150, 0, 150, 216, 149, 206, 
40, 150, 7, 149, 2, 149, 3, 149, 0, 149, 215, 150, 205, 
45, 150, 7, 150, 3, 149, 2, 149, 0, 150, 213, 150, 207, 
50, 150, 7, 149, 3, 150, 3, 150, -1, 149, 215, 150, 208, 
55, 150, 8, 150, 2, 150, 2, 150, 0, 149, 214, 150, 207, 
60, 150, 8, 149, 3, 150, 2, 150, -1, 150, 214, 149, 207, 
65, 150, 7, 150, 2, 149, 2, 150, -1, 150, 215, 150, 207, 
70, 149, 8, 150, 2, 149, 2, 149, -1, 149, 214, 150, 208, 
75, 150, 8, 150, 2, 149, 2, 150, 0, 150, 215, 149, 207, 
80, 149, 7, 149, 2, 150, 2, 150, -1, 150, 215, 150, 206, 
85, 149, 7, 149, 3, 150, 2, 150, -1, 149, 214, 150, 206, 
90, 150, 2, 149, 3, 150, 2, 149, 0, 150, 215, 150, 205, 
95, 150, 2, 149, 3, 150, 2, 150, 0, 149, 214, 150, 208, 
100, 149, 7, 149, 2, 149, 2, 149, -2, 150, 214, 150, 208, 
105, 149, 7, 149, 2, 150, 2, 149, 0, 150, 215, 150, 207, 
110, 150, 7, 149, 3, 149, 2, 150, 0, 149, 213, 150, 207, 
115, 149, 7, 149, 2, 149, 3, 149, -1, 149, 215, 150, 209, 
120, 150, 7, 149, 3, 149, 2, 149, 0, 150, 214, 150, 208, 
125, 150, 6, 149, 3, 150, 2, 149, -1, 150, 214, 150, 205, 
130, 149, 7, 150, 3, 149, 2, 149, 0, 150, 216, 150, 206, 
135, 150, 7, 149, 3, 149, 1, 150, 0, 150, 214, 150, 206, 
140, 149, 3, 149, 2, 150, 2, 150, 0, 149, 215, 150, 206, 
145, 149, 2, 151, 2, 149, 2, 150, -1, 149, 214, 150, 206, 
150, 150, 8, 149, 3, 149, 2, 150, -1, 150, 215, 149, 206, 
155, 149, 7, 149, 3, 150, 2, 149, -2, 150, 213, 150, 205, 
160, 149, 6, 149, 2, 149, 4, 150, 0, 149, 213, 150, 206, 
165, 150, 8, 149, 3, 149, 4, 150, -2, 150, 214, 150, 206, 
170, 149, 7, 149, 3, 150, 1, 150, 0, 150, 214, 150, 206, 
175, 149, 2, 149, 3, 149, 2, 149, 0, 150, 213, 149, 205, 
180, 149, 2, 149, 3, 150, 3, 150, -1, 149, 214, 150, 206, 
185, 150, 5, 150, 3, 150, 2, 150, 0, 150, 213, 150, 206, 
190, 149, 5, 149, 4, 150, 2, 150, 0, 149, 215, 150, 204, 
195, 150, 3, 149, 2, 149, 3, 150, 0, 149, 217, 150, 203, 
200, 149, 2, 149, 3, 149, 4, 150, 0, 149, 213, 150, 205, 
205, 150, 3, 149, 4, 149, 3, 150, 0, 150, 215, 150, 204, 
210, 150, 7, 149, 3, 150, 3, 150, 0, 149, 213, 150, 207, 
215, 150, 7, 150, 3, 150, 3, 150, -1, 149, 214, 150, 208, 
220, 149, 7, 150, 2, 149, 2, 149, 0, 150, 215, 150, 205, 
225, 150, 7, 149, 2, 149, 2, 149, 0, 150, 215, 150, 208, 
230, 149, 7, 150, 1, 149, 2, 149, -1, 150, 216, 150, 208, 
235, 150, 7, 149, 3, 149, 2, 150, 0, 149, 214, 150, 208, 
240, 150, 8, 150, 1, 149, 3, 150, 0, 149, 215, 150, 207, 
245, 150, 7, 149, 2, 149, 3, 150, -1, 149, 214, 150, 208, 
250, 149, 7, 150, 3, 149, 2, 150, -1, 150, 215, 150, 208, 
255, 149, 2, 149, 3, 149, 3, 150, -1, 150, 213, 150, 207, 
260, 149, 2, 150, 1, 150, 3, 150, -1, 150, 211, 150, 209, 
265, 150, 3, 149, 2, 150, 3, 150, -1, 150, 215, 150, 209, 
270, 149, 3, 150, 2, 150, 2, 150, 0, 149, 212, 150, 205, 
275, 150, 3, 149, 2, 150, 2, 150, 0, 150, 213, 150, 207, 
280, 150, 6, 151, 4, 150, 2, 150, 0, 150, 213, 150, 208, 
285, 150, 7, 149, 3, 150, 2, 149, -1, 150, 215, 150, 208, 
290, 149, 6, 149, 3, 150, 3, 150, -1, 150, 213, 150, 208, 
295, 150, 6, 149, 3, 149, 3, 150, -1, 149, 212, 150, 209, 
300, 150, 6, 149, 3, 150, 1, 150, 0, 149, 213, 150, 209, 
305, 149, 6, 149, 3, 150, 4, 150, -1, 149, 213, 150, 206, 
310, 149, 6, 150, 2, 149, 3, 150, 0, 149, 212, 150, 209, 
315, 150, 6, 150, 4, 150, 3, 150, -1, 150, 213, 150, 209, 
320, 150, 6, 150, 5, 150, 2, 150, -1, 150, 212, 150, 206, 
325, 149, 7, 150, 3, 150, 1, 150, 0, 150, 212, 150, 208, 
330, 149, 6, 149, 2, 150, 3, 150, -1, 150, 213, 150, 208, 
