t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 149, 439, 150, 434, 149, 437, 150, 433, 150, 454, 150, 437, 
10, 150, 438, 149, 435, 150, 436, 149, 432, 150, 455, 150, 437, 
15, 150, 437, 150, 434, 150, 435, 150, 430, 149, 455, 150, 436, 
20, 150, 436, 149, 433, 149, 434, 150, 432, 149, 453, 150, 437, 
25, 150, 437, 150, 435, 149, 435, 149, 430, 150, 455, 150, 438, 
30, 150, 436, 149, 434, 150, 433, 150, 432, 150, 454, 150, 437, 
35, 150, 435, 150, 434, 149, 432, 149, 432, 150, 454, 150, 440, 
40, 150, 435, 150, 434, 150, 432, 150, 432, 150, 454, 150, 440, 
45, 150, 430, 149, 429, 150, 429, 150, 426, 150, 449, 150, 434, 
50, 150, 428, 150, 427, 150, 427, 149, 425, 150, 446, 150, 432, 
55, 150, 424, 150, 425, 149, 425, 149, 422, 150, 444, 150, 427, 
60, 150, 421, 149, 423, 150, 423, 149, 417, 149, 440, 149, 423, 
65, 150, 418, 149, 421, 149, 421, 149, 414, 149, 437, 150, 423, 
70, 150, 416, 150, 419, 150, 419, 150, 413, 149, 436, 150, 420, 
75, 150, 415, 149, 421, 149, 417, 149, 411, 149, 435, 150, 418, 
80, 150, 414, 149, 419, 150, 416, 149, 409, 150, 433, 150, 416, 
85, 150, 413, 149, 417, 150, 414, 150, 412, 150, 435, 150, 416, 
90, 149, 411, 149, 417, 150, 415, 150, 410, 150, 434, 150, 416, 
95, 150, 411, 149, 416, 149, 411, 150, 405, 150, 431, 150, 414, 
100, 150, 410, 149, 417, 150, 409, 150, 406, 150, 428, 149, 413, 
105, 150, 409, 149, 415, 149, 408, 149, 405, 150, 427, 150, 412, 
110, 149, 408, 149, 415, 150, 406, 149, 403, 149, 426, 150, 411, 
115, 150, 407, 149, 413, 150, 405, 149, 402, 150, 424, 150, 408, 
120, 150, 407, 150, 413, 150, 405, 150, 403, 150, 425, 150, 409, 
125, 150, 407, 149, 411, 150, 404, 149, 401, 150, 426, 150, 408, 
130, 149, 406, 150, 411, 150, 403, 149, 400, 150, 424, 150, 406, 
135, 150, 406, 149, 411, 150, 404, 150, 401, 150, 424, 149, 407, 
140, 150, 406, 149, 410, 150, 404, 150, 401, 150, 424, 150, 406, 
145, 150, 406, 149, 410, 150, 402, 150, 398, 150, 424, 150, 407, 
150, 150, 408, 149, 409, 149, 403, 149, 400, 149, 424, 150, 406, 
155, 150, 408, 150, 409, 149, 404, 149, 401, 150, 425, 150, 406, 
160, 150, 408, 149, 410, 150, 403, 150, 401, 149, 425, 150, 406, 
165, 150, 408, 149, 409, 150, 406, 150, 401, 150, 424, 150, 404, 
170, 150, 407, 150, 409, 149, 406, 150, 403, 150, 425, 150, 404, 
175, 150, 408, 149, 410, 150, 406, 149, 402, 149, 425, 150, 404, 
180, 150, 409, 150, 409, 150, 404, 149, 401, 150, 425, 150, 404, 
185, 150, 409, 149, 409, 150, 405, 149, 403, 150, 425, 150, 404, 
190, 150, 409, 149, 410, 149, 405, 150, 404, 150, 425, 150, 405, 
195, 150, 410, 149, 410, 150, 406, 150, 403, 150, 426, 150, 406, 
200, 149, 411, 149, 410, 150, 407, 150, 405, 150, 427, 150, 406, 
205, 150, 411, 149, 409, 150, 409, 149, 404, 149, 426, 150, 407, 
210, 150, 412, 149, 411, 150, 408, 150, 406, 149, 426, 150, 407, 
215, 150, 412, 150, 409, 149, 409, 150, 402, 150, 425, 150, 405, 
220, 150, 410, 149, 409, 150, 410, 149, 405, 149, 426, 150, 407, 
225, 150, 411, 150, 410, 149, 410, 149, 406, 150, 427, 149, 405, 
230, 150, 409, 149, 409, 150, 408, 150, 404, 149, 427, 150, 404, 
235, 149, 409, 150, 410, 150, 409, 149, 406, 150, 425, 150, 407, 
240, 150, 412, 149, 411, 150, 410, 149, 406, 150, 426, 149, 405, 
245, 149, 413, 149, 410, 150, 409, 149, 405, 150, 426, 150, 406, 
250, 149, 412, 149, 409, 149, 410, 149, 406, 150, 425, 149, 406, 
255, 150, 412, 150, 409, 149, 410, 149, 406, 150, 426, 150, 406, 
260, 150, 412, 149, 410, 150, 409, 149, 406, 150, 425, 150, 408, 
265, 150, 412, 150, 409, 150, 411, 149, 405, 149, 424, 150, 406, 
270, 150, 409, 150, 409, 149, 411, 150, 406, 150, 424, 150, 406, 
275, 150, 409, 150, 409, 150, 408, 150, 406, 149, 424, 149, 406, 
280, 150, 410, 150, 408, 150, 406, 150, 405, 149, 425, 150, 404, 
285, 149, 409, 149, 408, 150, 407, 150, 407, 150, 423, 150, 407, 
290, 149, 409, 150, 409, 150, 407, 149, 407, 149, 421, 150, 407, 
295, 150, 409, 149, 408, 150, 406, 150, 405, 150, 422, 150, 405, 
300, 150, 410, 149, 409, 149, 406, 149, 406, 149, 421, 150, 405, 
305, 150, 409, 150, 408, 149, 407, 150, 407, 150, 422, 150, 406, 
310, 149, 409, 149, 409, 150, 407, 149, 405, 150, 422, 150, 406, 
315, 150, 408, 149, 407, 150, 407, 149, 404, 150, 420, 150, 404, 
320, 150, 405, 149, 408, 150, 408, 149, 405, 150, 420, 150, 405, 
325, 149, 405, 149, 408, 149, 409, 149, 404, 150, 420, 150, 403, 
330, 150, 404, 149, 406, 150, 408, 150, 407, 150, 419, 150, 404, 
