t(s), L1 Voltage(v), L1 Current(uA),L2 Voltage(v), L2 Current(uA),L3 Voltage(v), L3 Current(uA),L4 Voltage(v), L4 Current(uA),L5 Voltage(v), L5 Current(uA),L6 Voltage(v), L6 Current(uA),
5, 150, 401, 149, 392, 150, 388, 150, 386, 149, 406, 150, 398, 
10, 150, 401, 150, 395, 150, 390, 149, 382, 150, 407, 150, 399, 
15, 150, 402, 149, 395, 149, 388, 150, 384, 149, 407, 150, 399, 
20, 150, 404, 149, 393, 150, 388, 149, 384, 150, 408, 149, 397, 
25, 150, 409, 150, 394, 150, 390, 149, 384, 150, 407, 150, 399, 
30, 149, 413, 149, 392, 150, 390, 150, 387, 150, 407, 150, 398, 
35, 150, 417, 150, 392, 150, 387, 149, 385, 149, 407, 150, 399, 
40, 150, 422, 150, 391, 150, 388, 149, 384, 150, 407, 149, 399, 
45, 150, 424, 150, 394, 149, 387, 150, 385, 150, 408, 150, 399, 
50, 149, 428, 150, 392, 149, 387, 149, 385, 150, 407, 150, 398, 
55, 150, 431, 149, 394, 150, 387, 150, 383, 149, 407, 150, 398, 
60, 149, 426, 150, 392, 149, 386, 149, 381, 150, 405, 149, 397, 
65, 149, 419, 149, 390, 150, 388, 150, 385, 150, 405, 150, 397, 
70, 150, 407, 149, 387, 149, 385, 149, 381, 150, 402, 150, 396, 
75, 150, 399, 149, 387, 150, 382, 150, 380, 150, 400, 150, 395, 
80, 149, 393, 150, 385, 150, 384, 150, 378, 150, 399, 150, 397, 
85, 150, 390, 150, 384, 149, 381, 150, 379, 150, 397, 150, 394, 
90, 150, 387, 149, 381, 150, 378, 149, 377, 150, 396, 150, 391, 
95, 149, 385, 149, 380, 150, 376, 150, 376, 150, 397, 150, 394, 
100, 150, 384, 149, 379, 150, 375, 150, 376, 150, 394, 150, 392, 
105, 149, 384, 149, 377, 150, 374, 150, 374, 149, 394, 150, 393, 
110, 150, 382, 149, 377, 150, 372, 150, 373, 149, 394, 150, 391, 
115, 150, 382, 149, 377, 150, 373, 149, 371, 150, 392, 150, 390, 
120, 150, 382, 149, 376, 149, 373, 150, 371, 149, 391, 150, 390, 
125, 150, 382, 150, 375, 149, 372, 150, 372, 150, 392, 150, 389, 
130, 150, 381, 149, 375, 149, 373, 151, 372, 150, 391, 150, 390, 
135, 150, 380, 149, 377, 150, 373, 150, 371, 150, 388, 150, 389, 
140, 150, 380, 149, 374, 149, 372, 149, 371, 150, 389, 150, 386, 
145, 150, 380, 149, 374, 150, 372, 150, 370, 150, 389, 150, 387, 
150, 150, 381, 150, 376, 150, 373, 150, 369, 150, 387, 149, 385, 
155, 150, 381, 149, 376, 150, 373, 149, 370, 150, 388, 150, 386, 
160, 150, 381, 149, 376, 149, 370, 150, 368, 149, 388, 150, 385, 
165, 150, 381, 149, 376, 150, 373, 150, 368, 150, 387, 150, 385, 
170, 150, 381, 149, 374, 150, 372, 150, 369, 149, 387, 150, 385, 
175, 150, 380, 149, 374, 150, 372, 150, 370, 150, 387, 150, 383, 
180, 150, 381, 149, 373, 150, 372, 150, 369, 150, 386, 150, 384, 
185, 150, 380, 149, 375, 150, 371, 150, 368, 150, 385, 150, 383, 
190, 150, 381, 149, 374, 150, 371, 150, 369, 150, 387, 150, 384, 
195, 150, 380, 149, 373, 150, 369, 149, 368, 150, 386, 149, 384, 
200, 150, 381, 149, 373, 149, 371, 149, 367, 150, 387, 150, 384, 
205, 150, 380, 149, 373, 149, 370, 150, 368, 150, 386, 150, 382, 
210, 150, 381, 149, 373, 149, 370, 150, 369, 150, 386, 150, 383, 
215, 149, 380, 149, 373, 149, 370, 150, 367, 150, 387, 150, 384, 
220, 149, 380, 150, 374, 150, 371, 149, 367, 150, 385, 149, 383, 
225, 150, 381, 149, 373, 149, 370, 150, 369, 150, 386, 150, 382, 
230, 150, 380, 149, 373, 149, 369, 150, 370, 149, 386, 149, 383, 
235, 149, 380, 150, 375, 150, 370, 149, 367, 150, 387, 150, 385, 
240, 149, 379, 149, 375, 149, 370, 149, 368, 150, 385, 149, 383, 
245, 150, 379, 149, 374, 150, 369, 150, 371, 150, 386, 150, 384, 
250, 150, 379, 150, 374, 149, 369, 150, 366, 150, 387, 149, 382, 
255, 150, 379, 149, 374, 150, 371, 150, 370, 150, 386, 150, 383, 
260, 150, 379, 149, 375, 150, 369, 149, 368, 149, 387, 150, 382, 
265, 150, 380, 149, 374, 150, 368, 149, 368, 149, 386, 149, 383, 
270, 150, 379, 149, 376, 150, 369, 149, 368, 150, 386, 150, 383, 
275, 150, 379, 149, 376, 150, 369, 149, 369, 149, 386, 150, 383, 
280, 150, 379, 149, 376, 150, 366, 149, 368, 150, 387, 149, 382, 
285, 149, 378, 149, 375, 150, 369, 150, 367, 149, 385, 150, 382, 
290, 150, 378, 149, 376, 149, 368, 149, 368, 150, 385, 150, 383, 
295, 150, 378, 150, 375, 150, 368, 149, 368, 150, 385, 150, 381, 
300, 150, 378, 150, 376, 149, 369, 150, 367, 150, 386, 149, 382, 
305, 150, 377, 150, 376, 149, 368, 149, 370, 149, 383, 149, 381, 
310, 150, 378, 149, 375, 150, 368, 149, 368, 150, 385, 149, 380, 
315, 150, 377, 149, 374, 150, 367, 150, 368, 150, 385, 150, 381, 
320, 150, 377, 150, 375, 150, 367, 149, 367, 150, 383, 149, 382, 
325, 150, 377, 149, 375, 149, 367, 149, 369, 150, 384, 150, 381, 
330, 150, 377, 149, 375, 150, 366, 150, 368, 149, 383, 149, 380, 
